window_id,site,turbine,stratum,anchor,source,scale,source_clock
M001,sdwpf,23,falling_screen,2021-03-30 12:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.81,source clock (timezone not reverified)
M002,pizhou,HRPZ#04(F04),steady_screen,2025-01-20 23:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#04(F04).csv.gz,2681.441928147833,UTC (cleaned source)
M003,pizhou,HRPZ#04(F04),random_screen,2025-01-20 11:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#04(F04).csv.gz,2681.441928147833,UTC (cleaned source)
M004,sdwpf,1,random_screen,2021-05-04 11:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1549.82,source clock (timezone not reverified)
M005,greece,WT03,falling_screen,2020-05-22 08:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT03_data.csv.gz,2999.7940000000003,source clock (timezone unresolved)
M006,sdwpf,46,falling_screen,2021-12-05 19:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.59,source clock (timezone not reverified)
M007,yandun,102,random_screen,2024-07-12 08:30:00+00:00,data/event_clean_v2/yandun/102.csv.gz,2030.0348999999999,UTC (cleaned source)
M008,greece,WT01,random_screen,2020-04-28 00:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M009,yandun,10,random_screen,2024-08-13 12:30:00+00:00,data/event_clean_v2/yandun/10.csv.gz,1531.2428,UTC (cleaned source)
M010,yandun,100,rising_screen,2024-07-12 05:30:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
M011,yandun,10,steady_screen,2024-08-06 20:00:00+00:00,data/event_clean_v2/yandun/10.csv.gz,1531.2428,UTC (cleaned source)
M012,yandun,100,steady_screen,2024-08-13 18:00:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
M013,greece,WT03,turning_screen,2020-05-02 22:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT03_data.csv.gz,2999.7940000000003,source clock (timezone unresolved)
M014,yandun,100,steady_screen,2024-07-11 06:00:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
M015,greece,WT04,steady_screen,2020-06-28 23:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT04_data.csv.gz,3000.3,source clock (timezone unresolved)
M016,yandun,100,steady_screen,2024-07-31 16:00:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
M017,pizhou,HRPZ#06(F06),random_screen,2024-09-02 17:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#06(F06).csv.gz,2680.939464558167,UTC (cleaned source)
M018,greece,WT06,turning_screen,2020-05-03 01:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT06_data.csv.gz,3000.4,source clock (timezone unresolved)
M019,sdwpf,114,steady_screen,2021-08-16 23:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.5,source clock (timezone not reverified)
M020,pizhou,HRPZ#04(F04),steady_screen,2024-10-18 08:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#04(F04).csv.gz,2681.441928147833,UTC (cleaned source)
M021,sdwpf,91,turning_screen,2021-03-22 17:00:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.49,source clock (timezone not reverified)
M022,pizhou,HRPZ#02(F02),turning_screen,2024-10-15 17:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#02(F02).csv.gz,2681.1422765999996,UTC (cleaned source)
M023,sdwpf,91,steady_screen,2021-10-28 19:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.49,source clock (timezone not reverified)
M024,pizhou,HRPZ#03(F03),turning_screen,2024-09-05 19:30:00+00:00,data/event_clean_v2/pizhou/HRPZ#03(F03).csv.gz,2680.920904541667,UTC (cleaned source)
M025,greece,WT01,turning_screen,2020-05-11 18:00:00,data/external_samples/greece_smd10towfgr/clean_native/WT01_data.csv.gz,3000.4,source clock (timezone unresolved)
M026,pizhou,HRPZ#02(F02),falling_screen,2024-12-12 22:00:00+00:00,data/event_clean_v2/pizhou/HRPZ#02(F02).csv.gz,2681.1422765999996,UTC (cleaned source)
M027,yandun,100,falling_screen,2024-08-06 19:00:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
M028,sdwpf,46,rising_screen,2021-10-15 22:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.59,source clock (timezone not reverified)
M029,sdwpf,114,steady_screen,2021-10-27 04:30:00,data/external_public/sdwpf/sdwpf_2001_2112_full.parquet,1519.5,source clock (timezone not reverified)
M030,yandun,100,random_screen,2024-07-18 02:00:00+00:00,data/event_clean_v2/yandun/100.csv.gz,2064.828,UTC (cleaned source)
