site_id,turbine_id,file,rows,power_valid_rows,wind_valid_rows,interval_minutes,first_index,last_index,scale_basis,file_bytes
WF01,T001,tables/WF01/T001.parquet,24960,15531,24675,30,0,24959,frozen_primary_analysis_scale,342898
WF01,T002,tables/WF01/T002.parquet,24960,15246,24681,30,0,24959,frozen_primary_analysis_scale,339696
WF01,T003,tables/WF01/T003.parquet,24960,14902,24598,30,0,24959,frozen_primary_analysis_scale,335028
WF01,T004,tables/WF01/T004.parquet,24960,14947,24596,30,0,24959,frozen_primary_analysis_scale,335224
WF01,T005,tables/WF01/T005.parquet,24960,14924,24499,30,0,24959,frozen_primary_analysis_scale,336504
WF01,T006,tables/WF01/T006.parquet,24960,15287,24670,30,0,24959,frozen_primary_analysis_scale,339000
WF01,T007,tables/WF01/T007.parquet,24960,14987,24673,30,0,24959,frozen_primary_analysis_scale,336788
WF01,T008,tables/WF01/T008.parquet,24960,15121,24666,30,0,24959,frozen_primary_analysis_scale,336863
WF01,T009,tables/WF01/T009.parquet,24960,15012,24669,30,0,24959,frozen_primary_analysis_scale,336062
WF01,T010,tables/WF01/T010.parquet,24960,15496,24675,30,0,24959,frozen_primary_analysis_scale,340003
WF01,T011,tables/WF01/T011.parquet,24960,15268,24605,30,0,24959,frozen_primary_analysis_scale,339595
WF01,T012,tables/WF01/T012.parquet,24960,15246,24414,30,0,24959,frozen_primary_analysis_scale,337738
WF01,T013,tables/WF01/T013.parquet,24960,15381,24577,30,0,24959,frozen_primary_analysis_scale,339677
WF01,T014,tables/WF01/T014.parquet,24960,15443,24575,30,0,24959,frozen_primary_analysis_scale,341415
WF01,T015,tables/WF01/T015.parquet,24960,15137,24604,30,0,24959,frozen_primary_analysis_scale,338181
WF01,T016,tables/WF01/T016.parquet,24960,15645,24613,30,0,24959,frozen_primary_analysis_scale,341857
WF01,T017,tables/WF01/T017.parquet,24960,15381,24613,30,0,24959,frozen_primary_analysis_scale,340238
WF01,T018,tables/WF01/T018.parquet,24960,15303,24601,30,0,24959,frozen_primary_analysis_scale,337333
WF01,T019,tables/WF01/T019.parquet,24960,15753,24608,30,0,24959,frozen_primary_analysis_scale,343234
WF01,T020,tables/WF01/T020.parquet,24960,15885,24523,30,0,24959,frozen_primary_analysis_scale,345434
WF01,T021,tables/WF01/T021.parquet,24960,15714,24737,30,0,24959,frozen_primary_analysis_scale,346271
WF01,T022,tables/WF01/T022.parquet,24960,15558,24740,30,0,24959,frozen_primary_analysis_scale,343443
WF01,T023,tables/WF01/T023.parquet,24960,15437,24694,30,0,24959,frozen_primary_analysis_scale,341646
WF01,T024,tables/WF01/T024.parquet,24960,15779,24737,30,0,24959,frozen_primary_analysis_scale,345578
WF01,T025,tables/WF01/T025.parquet,24960,15617,24733,30,0,24959,frozen_primary_analysis_scale,342240
WF01,T026,tables/WF01/T026.parquet,24960,15859,24734,30,0,24959,frozen_primary_analysis_scale,346859
WF01,T027,tables/WF01/T027.parquet,24960,15136,24619,30,0,24959,frozen_primary_analysis_scale,337939
WF01,T028,tables/WF01/T028.parquet,24960,15063,24725,30,0,24959,frozen_primary_analysis_scale,337157
WF01,T029,tables/WF01/T029.parquet,24960,15515,24733,30,0,24959,frozen_primary_analysis_scale,341353
WF01,T030,tables/WF01/T030.parquet,24960,15088,24693,30,0,24959,frozen_primary_analysis_scale,338828
WF01,T031,tables/WF01/T031.parquet,24960,15344,24733,30,0,24959,frozen_primary_analysis_scale,340392
WF01,T032,tables/WF01/T032.parquet,24960,15402,24760,30,0,24959,frozen_primary_analysis_scale,339769
WF01,T033,tables/WF01/T033.parquet,24960,15640,24726,30,0,24959,frozen_primary_analysis_scale,342577
WF04,T001,tables/WF04/T001.parquet,17569,14284,17549,30,0,17568,frozen_primary_analysis_scale,309308
WF04,T002,tables/WF04/T002.parquet,17569,13539,17527,30,0,17568,frozen_primary_analysis_scale,302815
WF04,T003,tables/WF04/T003.parquet,17569,14399,17442,30,0,17568,frozen_primary_analysis_scale,311304
WF04,T004,tables/WF04/T004.parquet,17569,14374,17548,30,0,17568,frozen_primary_analysis_scale,313244
WF04,T005,tables/WF04/T005.parquet,17569,14089,17435,30,0,17568,frozen_primary_analysis_scale,305544
WF04,T006,tables/WF04/T006.parquet,17569,12443,17480,30,0,17568,frozen_primary_analysis_scale,293662
WF04,T007,tables/WF04/T007.parquet,17569,14583,17456,30,0,17568,frozen_primary_analysis_scale,313366
WF04,T008,tables/WF04/T008.parquet,17569,14183,17491,30,0,17568,frozen_primary_analysis_scale,307709
WF04,T009,tables/WF04/T009.parquet,17569,13852,17216,30,0,17568,frozen_primary_analysis_scale,301860
WF04,T010,tables/WF04/T010.parquet,17569,13441,17526,30,0,17568,frozen_primary_analysis_scale,302387
WF04,T011,tables/WF04/T011.parquet,17569,14452,17549,30,0,17568,frozen_primary_analysis_scale,309293
WF04,T012,tables/WF04/T012.parquet,17569,14807,17532,30,0,17568,frozen_primary_analysis_scale,313261
WF04,T013,tables/WF04/T013.parquet,17569,14799,17509,30,0,17568,frozen_primary_analysis_scale,312226
WF04,T014,tables/WF04/T014.parquet,17569,14602,17550,30,0,17568,frozen_primary_analysis_scale,311785
WF04,T015,tables/WF04/T015.parquet,17569,13109,17544,30,0,17568,frozen_primary_analysis_scale,301558
WF04,T016,tables/WF04/T016.parquet,17569,13428,17547,30,0,17568,frozen_primary_analysis_scale,301898
WF04,T017,tables/WF04/T017.parquet,17569,9118,17210,30,0,17568,frozen_primary_analysis_scale,260017
WF04,T018,tables/WF04/T018.parquet,17569,12382,17428,30,0,17568,frozen_primary_analysis_scale,294635
WF04,T019,tables/WF04/T019.parquet,17569,14302,17477,30,0,17568,frozen_primary_analysis_scale,308192
WF04,T020,tables/WF04/T020.parquet,17569,14233,17546,30,0,17568,frozen_primary_analysis_scale,309058
WF04,T021,tables/WF04/T021.parquet,17569,14413,17433,30,0,17568,frozen_primary_analysis_scale,309463
WF02,T001,tables/WF02/T001.parquet,17568,12319,17374,30,0,17567,frozen_primary_analysis_scale,264302
WF02,T002,tables/WF02/T002.parquet,17568,12551,17377,30,0,17567,frozen_primary_analysis_scale,264977
WF02,T003,tables/WF02/T003.parquet,17568,12452,17334,30,0,17567,frozen_primary_analysis_scale,264764
WF02,T004,tables/WF02/T004.parquet,17568,12354,17378,30,0,17567,frozen_primary_analysis_scale,263301
WF02,T005,tables/WF02/T005.parquet,17568,12430,17378,30,0,17567,frozen_primary_analysis_scale,262228
WF02,T006,tables/WF02/T006.parquet,17568,12543,17376,30,0,17567,frozen_primary_analysis_scale,265555
WF02,T007,tables/WF02/T007.parquet,17568,12487,17378,30,0,17567,frozen_primary_analysis_scale,265793
WF02,T008,tables/WF02/T008.parquet,17568,12228,17378,30,0,17567,frozen_primary_analysis_scale,263197
WF02,T009,tables/WF02/T009.parquet,17568,12463,17376,30,0,17567,frozen_primary_analysis_scale,264663
WF02,T010,tables/WF02/T010.parquet,17568,12373,17377,30,0,17567,frozen_primary_analysis_scale,263625
WF02,T011,tables/WF02/T011.parquet,17568,12330,17377,30,0,17567,frozen_primary_analysis_scale,263975
WF02,T012,tables/WF02/T012.parquet,17568,12411,17377,30,0,17567,frozen_primary_analysis_scale,264749
WF02,T013,tables/WF02/T013.parquet,17568,12199,17376,30,0,17567,frozen_primary_analysis_scale,262178
WF02,T014,tables/WF02/T014.parquet,17568,12297,17377,30,0,17567,frozen_primary_analysis_scale,263643
WF05,T001,tables/WF05/T001.parquet,35040,27969,34861,30,0,35039,frozen_primary_analysis_scale,518913
WF05,T002,tables/WF05/T002.parquet,35040,26386,34618,30,0,35039,frozen_primary_analysis_scale,501330
WF05,T003,tables/WF05/T003.parquet,35040,26757,34880,30,0,35039,frozen_primary_analysis_scale,510151
WF05,T004,tables/WF05/T004.parquet,35040,27186,34873,30,0,35039,frozen_primary_analysis_scale,511046
WF03,T001,tables/WF03/T001.parquet,8863,3682,4350,30,0,8862,frozen_primary_analysis_scale,65886
WF03,T002,tables/WF03/T002.parquet,8815,3617,4302,30,48,8862,frozen_primary_analysis_scale,65227
WF03,T003,tables/WF03/T003.parquet,8431,3592,3918,30,432,8862,frozen_primary_analysis_scale,60975
WF03,T004,tables/WF03/T004.parquet,8431,3528,3918,30,432,8862,frozen_primary_analysis_scale,60697
