site,left_minutes,right_minutes,config,left_events,right_events,matched_pairs,left_coverage,right_coverage,nmi,ari,agreement,informative,prototype,normalization,block_days,occupied_blocks,bootstrap_valid_nmi,bootstrap_valid_ari,nmi_low,nmi_high,ari_low,ari_high,coverage
greece,10,30,adaptive_corridor,754,620,105,0.1392572944297082,0.1693548387096774,1.0,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.9999999999999998,1.0000000000000002,1.0,1.0,0.1392572944297082
greece,10,30,endpoint_corridor_0.025,603,468,65,0.1077943615257048,0.1388888888888889,1.0000000000000002,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.9999999999999998,1.0000000000000002,1.0,1.0,0.1077943615257048
greece,10,30,endpoint_corridor_0.050,884,647,156,0.1764705882352941,0.241112828438949,1.0,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,1.0,1.0000000000000002,1.0,1.0,0.1764705882352941
greece,10,30,endpoint_corridor_0.100,1105,710,268,0.2425339366515837,0.3774647887323943,0.8893223001839068,0.9409490211299796,0.9850746268656716,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.7711516923077787,1.0,0.8571833466089394,1.0,0.2425339366515837
greece,10,30,financial_tail_120min,271,192,180,0.6642066420664207,0.9375,0.8601636334872959,0.9080624469560638,0.9555555555555556,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,5,1998.0,1998.0,0.8217023212906525,0.9593125074284172,0.8768933954458844,0.9722945524800858,0.6642066420664207
greece,10,30,financial_tail_240min,188,155,148,0.7872340425531915,0.9548387096774194,0.7136449464377992,0.7678654372523824,0.8783783783783784,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,4,2000.0,2000.0,0.629525312911852,0.8223651574247358,0.5869255101407926,0.8749507136842765,0.7872340425531915
greece,10,30,financial_tail_60min,445,273,245,0.550561797752809,0.8974358974358975,0.7995573942096218,0.8423309273762724,0.9183673469387756,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,5,1998.0,1998.0,0.765550951642125,0.8806909394638519,0.7964231531031928,0.9106372973582496,0.550561797752809
greece,10,30,mean_shift_120min,298,300,285,0.9563758389261744,0.95,0.626594572447245,0.5987826292590458,0.7719298245614035,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.5935568803640094,0.7390699590200254,0.5254778522252672,0.7700083514209625,0.95
greece,10,30,mean_shift_240min,184,189,179,0.9728260869565216,0.9470899470899472,0.6878685785658926,0.6481101259426493,0.8324022346368715,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6500162637852462,0.7810445001543072,0.573731711745795,0.7769401922617428,0.9470899470899472
greece,10,30,mean_shift_60min,342,302,289,0.8450292397660819,0.956953642384106,0.6572295151391581,0.6032816984128201,0.7474048442906575,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6362030039494229,0.7243415185757253,0.5437693909665438,0.7271406134994942,0.8450292397660819
greece,10,30,opsda_cui2015_120min_0.025,1734,475,305,0.1758938869665513,0.6421052631578947,0.872550013048582,0.9424316380755854,0.9737704918032788,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.8368223667477304,0.9804077924205052,0.9163240471181636,0.992151101520238,0.1758938869665513
greece,10,30,opsda_cui2015_240min_0.025,2165,935,505,0.2332563510392609,0.5401069518716578,0.8939301290596945,0.9534176732482972,0.9801980198019802,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.8496591199395843,0.9754553670283128,0.9235619286885997,0.9893021198230552,0.2332563510392609
greece,10,30,opsda_cui2015_60min_0.025,935,185,101,0.1080213903743315,0.5459459459459459,0.8445736897719351,0.9023559237013292,0.9603960396039604,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.7712537808389233,1.0,0.8221855815076856,1.0,0.1080213903743315
greece,10,30,sda_florita2013_0.025,494,425,57,0.1153846153846153,0.1341176470588235,0.813176963417439,0.859539719758356,0.9473684210526316,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,5,2000.0,2000.0,0.6827418622632349,1.0,0.7327333903519381,1.0,0.1153846153846153
greece,10,30,threshold_120min,852,630,582,0.6830985915492958,0.923809523809524,0.7695635829365548,0.866011835377532,0.936426116838488,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.7062510878935295,0.9220852519770918,0.8045684781055795,0.9631273334823216,0.6830985915492958
greece,10,30,threshold_240min,575,455,414,0.72,0.90989010989011,0.6679538211803395,0.7108341063466996,0.8357487922705314,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6328069837350344,0.7650676028828199,0.6477970463506161,0.8179360098940076,0.72
greece,10,30,threshold_60min,991,554,528,0.5327951564076691,0.9530685920577616,0.7917680107969719,0.8427307614923839,0.9166666666666666,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.7540445338783249,0.8633505352158297,0.7974504818317367,0.9009816492386968,0.5327951564076691
greece,10,60,adaptive_corridor,754,468,39,0.0517241379310344,0.0833333333333333,1.0,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,1998.0,1998.0,0.9999999999999998,1.0000000000000002,1.0,1.0,0.0517241379310344
greece,10,60,endpoint_corridor_0.025,603,389,22,0.0364842454394693,0.0565552699228791,1.0,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,1998.0,1998.0,0.9999999999999996,1.0000000000000002,1.0,1.0,0.0364842454394693
greece,10,60,endpoint_corridor_0.050,884,488,54,0.0610859728506787,0.110655737704918,0.8776986524053494,0.925429398178874,0.9814814814814816,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6825414284549264,1.0000000000000002,0.7153659017686895,1.0,0.0610859728506787
greece,10,60,endpoint_corridor_0.100,1105,511,99,0.0895927601809954,0.1937377690802348,0.9266902535337778,0.9595574611438634,0.98989898989899,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.8348160920473539,1.0000000000000002,0.8824145678101706,1.0,0.0895927601809954
greece,10,60,financial_tail_120min,271,169,155,0.5719557195571956,0.9171597633136096,0.8871169586233602,0.9073138495280691,0.9548387096774194,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,4,2000.0,2000.0,0.8619920255570517,0.954282636330926,0.8627550566096228,0.9693500481419142,0.5719557195571956
greece,10,60,financial_tail_240min,188,144,140,0.7446808510638298,0.9722222222222222,0.6825652323462781,0.690889458533803,0.8285714285714286,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,4,2000.0,2000.0,0.6137430272537355,0.824468646050757,0.5032441200324412,0.8762587651777126,0.7446808510638298
greece,10,60,financial_tail_60min,445,179,111,0.249438202247191,0.6201117318435754,0.8422268132287767,0.8723081033659991,0.9369369369369368,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,5,1998.0,1998.0,0.7776785865586205,0.920982062343234,0.7921796254886613,0.9509326363312344,0.249438202247191
greece,10,60,mean_shift_120min,298,289,259,0.8691275167785235,0.8961937716262975,0.631148949378022,0.5425590582448879,0.6833976833976834,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6130178742082193,0.7121568357655815,0.5140349457229649,0.6690601505485474,0.8691275167785235
greece,10,60,mean_shift_240min,184,189,171,0.9293478260869564,0.9047619047619048,0.6396705698268956,0.5714384146777498,0.7660818713450293,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6169782898255194,0.7163706228651423,0.4625192004851616,0.7095909857631778,0.9047619047619048
greece,10,60,mean_shift_60min,342,258,55,0.1608187134502924,0.2131782945736434,0.722721416575185,0.6877619948738831,0.7818181818181819,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6841895683386229,0.8650291146687318,0.5613387681239771,0.9018509377208463,0.1608187134502924
greece,10,60,opsda_cui2015_120min_0.025,1734,203,123,0.0709342560553633,0.6059113300492611,0.911342582662803,0.9496252176039824,0.983739837398374,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.833986102396085,1.0,0.8868297469930214,1.0,0.0709342560553633
greece,10,60,opsda_cui2015_240min_0.025,2165,426,213,0.0983833718244803,0.5,0.8859107003822022,0.935048841682181,0.976525821596244,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.8412340211870941,0.9573407758732624,0.8952370527605304,0.9789383357649344,0.0983833718244803
greece,10,60,opsda_cui2015_60min_0.025,935,0,0,0.0,,,,,False,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,0,,,,,,,0.0
greece,10,60,sda_florita2013_0.025,494,374,5,0.0101214574898785,0.0133689839572192,1.0,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,3,1857.0,1857.0,0.9999999999999998,1.0,1.0,1.0,0.0101214574898785
greece,10,60,threshold_120min,852,437,369,0.4330985915492957,0.8443935926773455,0.781482242789516,0.8489347987764976,0.926829268292683,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.7329793674620706,0.9058337301762438,0.7981591285372176,0.946911354363616,0.4330985915492957
greece,10,60,threshold_240min,575,393,337,0.5860869565217391,0.8575063613231552,0.7072581056828209,0.7200653543808087,0.8338278931750742,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6685022169594427,0.8131722097388514,0.6613247285585024,0.8365221553325874,0.5860869565217391
greece,10,60,threshold_60min,991,258,149,0.1503531786074672,0.5775193798449613,0.780404934170794,0.8193044812043587,0.8993288590604027,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.7467735040483993,0.8824891585811779,0.7753227959988289,0.9193368863777194,0.1503531786074672
greece,30,60,adaptive_corridor,620,468,261,0.4209677419354838,0.5576923076923077,1.0,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.9999999999999996,1.0000000000000002,1.0,1.0,0.4209677419354838
greece,30,60,endpoint_corridor_0.025,468,389,187,0.3995726495726496,0.480719794344473,1.0,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.9999999999999998,1.0000000000000002,1.0,1.0,0.3995726495726496
greece,30,60,endpoint_corridor_0.050,647,488,287,0.4435857805255023,0.5881147540983607,1.0,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.9999999999999996,1.0000000000000002,1.0,1.0,0.4435857805255023
greece,30,60,endpoint_corridor_0.100,710,511,341,0.4802816901408451,0.6673189823874756,1.0,1.0,1.0,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.9999999999999996,1.0000000000000002,1.0,1.0,0.4802816901408451
greece,30,60,financial_tail_120min,192,169,157,0.8177083333333334,0.9289940828402368,0.9767043125244176,0.9864397486034748,0.9936305732484076,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,4,2000.0,2000.0,0.960700798286772,1.0000000000000002,0.974682915034168,1.0,0.8177083333333334
greece,30,60,financial_tail_240min,155,144,134,0.864516129032258,0.9305555555555556,0.7269805089663863,0.7846441155562061,0.8880597014925373,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,4,2000.0,2000.0,0.6482711651135908,0.8135837853271571,0.6285477247850974,0.8630417731834295,0.864516129032258
greece,30,60,financial_tail_60min,273,179,133,0.4871794871794871,0.7430167597765364,0.9271046638159124,0.9535403726708076,0.9774436090225564,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,5,1998.0,1998.0,0.8866804310156796,1.0,0.913196687496046,1.0,0.4871794871794871
greece,30,60,mean_shift_120min,300,289,273,0.91,0.944636678200692,0.6897302213628279,0.7054479776293129,0.8205128205128205,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6629543444816027,0.7763578400014267,0.6491892520862833,0.8138819218033101,0.91
greece,30,60,mean_shift_240min,189,189,182,0.9629629629629628,0.9629629629629628,0.7249346681246333,0.698162829753536,0.8571428571428571,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.6779419655236115,0.8234635120009103,0.5577282712335839,0.8427256250535343,0.9629629629629628
greece,30,60,mean_shift_60min,302,258,225,0.7450331125827815,0.872093023255814,0.8929234041247158,0.9177796966556468,0.96,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.8831386678946013,0.9208561929021798,0.8945297766448638,0.9407526470876856,0.7450331125827815
greece,30,60,opsda_cui2015_120min_0.025,475,203,123,0.2589473684210526,0.6059113300492611,0.8721569209620096,0.9230691782986316,0.959349593495935,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.8146629203904747,1.0,0.8475093199243123,1.0,0.2589473684210526
greece,30,60,opsda_cui2015_240min_0.025,935,426,302,0.3229946524064171,0.7089201877934272,0.8271577093077969,0.8963826553516262,0.956953642384106,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.7618539406063178,0.9562612405570674,0.8421169158212183,0.9699663636083744,0.3229946524064171
greece,30,60,opsda_cui2015_60min_0.025,185,0,0,0.0,,,,,False,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,0,,,,,,,0.0
greece,30,60,sda_florita2013_0.025,425,374,142,0.3341176470588235,0.3796791443850267,0.8824311185912271,0.9310251357606352,0.971830985915493,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.7500519789186997,1.0,0.7937949972015624,1.0,0.3341176470588235
greece,30,60,threshold_120min,630,437,414,0.6571428571428571,0.9473684210526316,0.9157509429840002,0.9527024312908184,0.9758454106280192,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.8773513908430337,0.9858364047896888,0.9209203004114264,0.994124704300916,0.6571428571428571
greece,30,60,threshold_240min,455,393,366,0.8043956043956044,0.931297709923664,0.781974459430795,0.8411994933311219,0.9153005464480874,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.7336987513112551,0.8977223332768021,0.7761948867433724,0.9410046060292012,0.8043956043956044
greece,30,60,threshold_60min,554,258,221,0.3989169675090253,0.8565891472868217,0.9468918636203492,0.9651110144703058,0.9819004524886876,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,6,2000.0,2000.0,0.9145872561486368,1.0,0.9279676107772248,1.0,0.3989169675090253
yandun,15,30,adaptive_corridor,31713,22212,12092,0.3812947371740295,0.5443904195930128,0.6596099089075772,0.7609722914577589,0.9354118425405228,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6242440124906629,0.7134503141857998,0.7270599063112363,0.8097583763180655,0.3812947371740295
yandun,15,30,endpoint_corridor_0.025,31503,21517,13633,0.4327524362759102,0.633592043500488,0.6482643570043212,0.7507280381655967,0.932516687449571,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6129851644425989,0.7026997987088022,0.7164777725618406,0.7987786823201881,0.4327524362759102
yandun,15,30,endpoint_corridor_0.050,32822,23041,13041,0.3973249649625251,0.565991059415824,0.6626480482516699,0.7637796131355182,0.9363545740357334,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6287903956955858,0.7145378696786209,0.7325590243024127,0.809008576302051,0.3973249649625251
yandun,15,30,endpoint_corridor_0.100,35184,23500,12564,0.357094133697135,0.5346382978723404,0.7095467839040807,0.8062922198574203,0.9484240687679084,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6756602260068785,0.7604452759974969,0.7764117356825916,0.8481525240848045,0.357094133697135
yandun,15,30,financial_tail_120min,13431,11791,10959,0.8159481795845432,0.9294377067254684,0.7176455950713503,0.8148006490125757,0.9023633543206496,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6923612870379496,0.7469042917426554,0.7941151110775848,0.8379860608722182,0.8159481795845432
yandun,15,30,financial_tail_240min,10342,9292,8811,0.8519628698510926,0.948235040895394,0.669634857968514,0.7689691640094417,0.8802633072295993,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.6394499504386294,0.712288838069384,0.7355092320003433,0.8171390246088429,0.8519628698510926
yandun,15,30,financial_tail_60min,19388,16278,14530,0.7494326387456158,0.8926158004668878,0.7799218558494995,0.8680599268100598,0.9326909841706812,True,pizhou_raw25_kmeans_k4_s41_frozen,fixed_30min_training_reference,7,7,2000.0,2000.0,0.7645205117896853,0.8065924897077623,0.8565555675478608,0.8867683573622259,0.7494326387456158
