split,horizon_hours,model,power_fraction,days,intervals,gross_before_gbp,gross_after_gbp,signed_before_gbp,signed_after_gbp,throughput_mwh,schedule_deviation_before,delivery_deviation_after,gross_reduction_pct
test,2,persistence,0.0,58,2784,200154.2490725029,200154.2490725029,12209.869141847332,12209.869141847332,0.0,0.1341755957222128,0.1341755957222128,0.0
test,2,persistence,0.05,58,2784,200154.2490725029,175280.7596569895,12209.869141847332,17399.77538091535,1308.761957082661,0.1341755957222128,0.1166199973446516,12.427160317992223
test,2,persistence,0.1,58,2784,200154.2490725029,157609.58384486652,12209.869141847332,22263.219529450555,2310.246316858237,0.1341755957222128,0.1037412762881991,21.255939069385043
test,2,persistence,0.2,58,2784,200154.2490725029,130742.44452787128,12209.869141847332,27074.73576278042,3823.506856638695,0.1341755957222128,0.0847744358349813,34.67915613397158
test,2,selected_weather,0.0,58,2784,216497.4168644327,216497.4168644327,45813.74350647824,45813.74350647824,0.0,0.1332506706483473,0.1332506706483473,0.0
test,2,selected_weather,0.05,58,2784,216497.4168644327,193532.9252212612,45813.74350647824,50482.05884802977,1227.2996973982908,0.1332506706483473,0.117008480386533,10.607282052492817
test,2,selected_weather,0.1,58,2784,216497.4168644327,177484.3718808595,45813.74350647824,54150.17942763785,2177.6520948673933,0.1332506706483473,0.1049876889344636,18.020097213447382
test,2,selected_weather,0.2,58,2784,216497.4168644327,153643.62535476277,45813.74350647824,59809.09022975846,3678.603034424927,0.1332506706483473,0.0873890480809243,29.0321207615276
test,2,selected_weather_events,0.0,58,2784,223344.8398851765,223344.8398851765,57194.62997921643,57194.62997921643,0.0,0.1339937259819399,0.1339937259819399,0.0
test,2,selected_weather_events,0.05,58,2784,223344.8398851765,200986.0696752504,57194.62997921643,61132.19291241493,1211.2220098180865,0.1339937259819399,0.1180900615979901,10.010873867254311
test,2,selected_weather_events,0.1,58,2784,223344.8398851765,185328.97920193253,57194.62997921643,64837.176786099066,2167.337985936359,0.1339937259819399,0.1061848606341871,17.02115021004661
test,2,selected_weather_events,0.2,58,2784,223344.8398851765,162784.11562354065,57194.62997921643,71074.92676312655,3648.949755274122,0.1339937259819399,0.0891935805640121,27.115345173307198
