site,arm,configuration_pairs,supported_component_pairs,components,edges,one_to_one_components,one_to_many_components,many_to_one_components,many_to_many_components,mixed_level_components,non_one_to_one_fraction,longer_than_4h_fraction,left_coverage,right_coverage,component_mean_overlap,low,high,occupied_7day_blocks,one_to_one_left_coverage,one_to_one_right_coverage
greece,hierarchy_containment50,136,111,26804,60419,17029,2962,3243,3570,5903,0.3646843754663483,0.3879271750485002,0.6045267428554444,0.5910706583976562,0.8626462266198873,0.8398950175412526,0.902283641340182,6,,
greece,hierarchy_iou30,136,86,22477,40300,16158,1934,2157,2228,4735,0.2811318236419451,0.2627574854295502,0.4428212635051791,0.4390011749133687,0.8877082239141234,0.8625658186022374,0.930904782562168,6,,
greece,hierarchy_iou50,136,69,18327,27051,14698,890,1228,1511,2998,0.1980138593332242,0.1552354449718994,0.3280328136842574,0.3244991745861776,0.9136022314202048,0.8945092225484935,0.945391904799888,6,,
greece,hierarchy_iou70,136,34,10032,10457,9705,109,157,61,438,0.0325956937799043,0.0800438596491228,0.1523577404925025,0.1517274200984547,0.940806087187666,0.9319234436725242,0.9597190829835324,6,,
greece,primitive_iou50,136,66,18233,19737,16993,593,568,79,0,0.068008555915099,0.1266933581966763,0.3181634983542688,0.3129901799248665,0.949904934276678,0.9356688600760554,0.973637901861252,6,0.3074494525424867,0.3016542542674487
hill,hierarchy_containment50,136,136,264225,1369933,97490,32901,48139,85695,131153,0.6310341564954112,0.3990084208534393,0.7202557247663339,0.7301720351909482,0.7912734337320898,0.7822674791001658,0.8013120884298799,12,,
hill,hierarchy_iou30,136,132,256868,809578,130702,25678,34488,66000,117535,0.4911705623121604,0.2635049908902627,0.4902743850948052,0.5439780599643935,0.807313834120397,0.7988775259927667,0.8180206011139103,12,,
hill,hierarchy_iou50,136,116,245457,516463,155391,15481,22887,51698,87764,0.3669318862366931,0.1212880463787954,0.3725649919056191,0.4178925098815162,0.8502520099103718,0.8417388798612099,0.8598324967247944,12,,
hill,hierarchy_iou70,136,91,162297,176133,152320,3691,3789,2497,15728,0.0614737179368688,0.0452996666605051,0.1739643105770696,0.1991402962802053,0.9136521315859196,0.9083577610513466,0.918842378962378,12,,
hill,primitive_iou50,136,105,241599,270294,220323,8359,10526,2391,0,0.0880632784076093,0.069507738028717,0.3486648437638094,0.3766854652083855,0.9243718783131196,0.918574435335679,0.9304024309766834,12,0.3319976558792696,0.3615153529649529
hill_2021,hierarchy_containment50,136,136,428205,1915462,171301,52672,77947,126285,197443,0.5999556287292301,0.4032904800270898,0.7162781336535058,0.7337958854763743,0.7984182426986742,0.7834362982705299,0.8154303024473619,26,,
hill_2021,hierarchy_iou30,136,133,401531,1124851,217288,40481,54587,89175,168757,0.4588512468526714,0.2684076696444359,0.4819229781593321,0.5370905102463374,0.8163801508552211,0.80132823157646,0.8356667551210477,26,,
hill_2021,hierarchy_iou50,136,120,370583,721887,246835,23420,34281,66047,118191,0.3339278919972044,0.1274478321995342,0.3618617659918522,0.4076598506978254,0.8609489596331326,0.8484041861261693,0.8784452373175883,26,,
hill_2021,hierarchy_iou70,136,99,233372,252206,220495,4136,4992,3749,19940,0.0551779990744391,0.055036593935862,0.1684007800734268,0.1931199166031117,0.921931936993298,0.9147122186351112,0.9319429597606688,26,,
hill_2021,primitive_iou50,136,112,363643,406110,331684,13566,15209,3184,0,0.0878856460869589,0.0817065088562133,0.3428631792143515,0.3730457544812243,0.9286501033260904,0.9204392530600184,0.9389963196774588,26,0.327251300172762,0.356963522046826
lahaute,hierarchy_containment50,136,136,52013,146994,27866,6143,8014,9990,16981,0.4642493222848134,0.38584584623075,0.6499833473876657,0.6553721203840753,0.8233424127469424,0.8111872178115929,0.8379954961931089,21,,
lahaute,hierarchy_iou30,136,116,44613,93250,29370,3910,4729,6604,13295,0.3416717100396745,0.25584470894134,0.4564799920634358,0.4809822004630156,0.8531417420362346,0.8404137839819202,0.8685531650279237,21,,
