epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.07756138905882835,0.053007613867521286
2,50,0.04205211609601975,0.028234487399458885
3,75,0.02574333555996418,0.020010560750961304
4,100,0.019904817566275598,0.016657933592796326
5,125,0.01683181297034025,0.014151462353765965
6,150,0.014331312626600265,0.011621392332017422
7,175,0.011997644305229187,0.009218282997608185
8,200,0.010033482424914838,0.0073432945646345615
9,225,0.008651943579316139,0.006112212315201759
10,250,0.007666707374155522,0.005215749144554138
11,275,0.006803179048001766,0.004461087752133608
12,300,0.006148996446281672,0.003843944054096937
13,325,0.005553716532886028,0.0033898090478032827
14,350,0.005053393207490444,0.002993097063153982
15,375,0.004670286178588867,0.002662370912730694
16,400,0.004319219402968883,0.002366257831454277
17,425,0.004006428364664316,0.002120416844263673
18,450,0.0037551421858370306,0.0019626140128821135
19,475,0.0035363481286913158,0.0018319791415706277
20,500,0.0033254846651107075,0.0016389606753364205
21,525,0.0031456093490123747,0.001536039519123733
22,550,0.0029957991372793914,0.0014272391563281417
23,575,0.0028475503716617824,0.0013548218412324786
24,600,0.0026898397505283355,0.0012008905177935958
25,625,0.0025724410451948643,0.00115150713827461
26,650,0.0024455540999770166,0.001053779968060553
27,675,0.0023568960465490817,0.0009867664193734527
28,700,0.0022776206955313683,0.0009217270417138934
29,725,0.002204596768133342,0.0008683331543579698
30,750,0.0020805171178653837,0.0008318548207171261
