epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.9898548316955567,0.8780399560928345
2,50,0.8547893142700196,0.5825449824333191
3,75,0.3094181609153748,0.09889082610607147
4,100,0.08524751782417297,0.06884592771530151
5,125,0.06908023193478584,0.06586882472038269
6,150,0.06750071212649346,0.06548693031072617
7,175,0.0670417520403862,0.0649249404668808
8,200,0.0665602894127369,0.06470770388841629
9,225,0.06615030333399773,0.06432478874921799
10,250,0.06576851710677147,0.063994862139225
11,275,0.06540973216295243,0.0637306347489357
12,300,0.06498694628477096,0.06327561289072037
13,325,0.06450953483581542,0.06290959566831589
14,350,0.06396319538354873,0.06222979351878166
15,375,0.06326646760106086,0.06178020313382149
16,400,0.06234493643045425,0.0606067031621933
17,425,0.06104097843170166,0.0592510811984539
18,450,0.05932370916008949,0.05736350268125534
19,475,0.05682949930429459,0.05459745228290558
20,500,0.05328609526157379,0.0508117601275444
21,525,0.048646183609962465,0.04624834656715393
22,550,0.04355925142765045,0.041037388145923615
23,575,0.03915700167417526,0.03725958243012428
24,600,0.03612902000546456,0.03488340601325035
25,625,0.03413578800857067,0.033346228301525116
26,650,0.03273620627820492,0.03234650939702988
27,675,0.0319936852902174,0.031819116324186325
28,700,0.031658953726291655,0.031583022326231
29,725,0.03148844815790653,0.03152082487940788
30,750,0.03142146252095699,0.03142116591334343
