epoch,optimizer_steps,train_mse,validation_normal_mse
1,25,0.6989186012744903,0.32252252101898193
2,50,0.19701625108718873,0.09339555352926254
3,75,0.08298900216817856,0.06890532374382019
4,100,0.07173784971237182,0.06509207934141159
5,125,0.06852180048823357,0.06179509311914444
6,150,0.06366762131452561,0.05608971789479256
7,175,0.055208348780870435,0.04766200855374336
8,200,0.04687489882111549,0.040518686175346375
9,225,0.04174037531018257,0.037840791046619415
10,250,0.0388986337184906,0.03536677360534668
11,275,0.03707496613264084,0.034010205417871475
12,300,0.03576954320073128,0.03303556516766548
13,325,0.03484954699873924,0.0323815643787384
14,350,0.03415894374251366,0.03170272335410118
15,375,0.033239087164402006,0.03128759562969208
16,400,0.032582170367240905,0.030036931857466698
17,425,0.03139641635119915,0.028561919927597046
18,450,0.02999683439731598,0.027431190013885498
19,475,0.028791049867868422,0.026370786130428314
20,500,0.027703452333807947,0.025094324722886086
21,525,0.026958349272608758,0.024743951857089996
22,550,0.026442183777689934,0.024474674835801125
23,575,0.025769862085580825,0.02379077486693859
24,600,0.02541702091693878,0.02380751445889473
25,625,0.025254411473870277,0.023400375619530678
26,650,0.02501723639667034,0.023204056546092033
27,675,0.02503996543586254,0.023046784102916718
28,700,0.024824671372771265,0.022983338683843613
29,725,0.024592267498373985,0.02304026298224926
30,750,0.024413858726620673,0.022853754460811615
