group,representation,block_days,pairs,calendar_blocks,occupied_blocks,nmi,ari,nmi_low,nmi_high,ari_low,ari_high,delta_nmi_vs_raw_low,delta_nmi_vs_raw_high,defined_resamples
hill,raw25,3,243684,26,26,0.6006059964610503,0.621500189412288,0.5887793922547092,0.6283161559047935,0.6060363540205328,0.6541371274037174,0.0,0.0,2000
hill,statistics9,3,243684,26,26,0.47384465426246897,0.45275307279310767,0.4666230996624889,0.5179873023047182,0.44622425273886834,0.4998256598293943,-0.14756366928929865,-0.08912935533653848,2000
hill,raw_pca6,3,243684,26,26,0.5969870740400625,0.6175584669920114,0.5846720629764708,0.6254965515075508,0.6012694641293865,0.6506558256983185,-0.005439964442562719,-0.001970208869628068,2000
hill,gaf_pca6,3,243684,26,26,0.2717116452013302,0.24165806026368897,0.2696662008496426,0.3095820200679574,0.2372657628575005,0.2810639403876743,-0.342747754102458,-0.29335469724982277,2000
hill,gaf_signed_pca6,3,243684,26,26,0.27561307168203436,0.24512259265978456,0.27430942751320136,0.31129485832373555,0.24139838300676267,0.2839652927535649,-0.33749236079754374,-0.29181536753918824,2000
hill,event_row_permutation,3,243684,26,26,0.023955025303334307,-0.006966034060274746,0.026803109028919758,0.06697460042646879,0.00090927366526474,0.04285054333400253,-0.5853626955439891,-0.5386053954104018,2000
hill,within_event_time_permutation,3,243684,26,26,0.48910572283621817,0.5938080913477679,0.4794262230358371,0.5361733676568359,0.5793039192846112,0.651203260804166,-0.12114532625774933,-0.08365805989551205,2000
hill,covariate_conditional_row_permutation,3,243684,26,26,0.48933771202161447,0.5312689159577967,0.4761834716811254,0.521485864667021,0.5189514856146967,0.579410618114263,-0.13054977404360948,-0.08969508623451382,2000
hill,raw25,7,243684,12,12,0.6006059964610503,0.621500189412288,0.5918548909844229,0.6298374785262737,0.6166010480274452,0.6484738026513903,0.0,0.0,2000
hill,statistics9,7,243684,12,12,0.47384465426246897,0.45275307279310767,0.4707320425297124,0.5201960104997501,0.4473895414278921,0.5047643130048812,-0.1393648900695419,-0.09176514157789188,2000
hill,raw_pca6,7,243684,12,12,0.5969870740400625,0.6175584669920114,0.5880226585031019,0.6268274931119531,0.6126290139834845,0.6441049833110881,-0.005376728435014322,-0.002090822794944822,2000
hill,gaf_pca6,7,243684,12,12,0.2717116452013302,0.24165806026368897,0.2699700653207233,0.31153337594131564,0.23955292334984757,0.2804442682373073,-0.34330509472298,-0.29604209922148883,2000
hill,gaf_signed_pca6,7,243684,12,12,0.27561307168203436,0.24512259265978456,0.27356938083577587,0.31393227683427105,0.2426454571167786,0.2832046165488603,-0.340322503273111,-0.29421335473757215,2000
hill,event_row_permutation,7,243684,12,12,0.023955025303334307,-0.006966034060274746,0.026902210036199962,0.07430759606162422,-0.0022902097465287126,0.04874145744512304,-0.583519791368659,-0.5404454138172394,2000
hill,within_event_time_permutation,7,243684,12,12,0.48910572283621817,0.5938080913477679,0.48067552910169536,0.5374349727813675,0.588778658641145,0.6440687971466053,-0.11707451921723173,-0.08803276961641303,2000
hill,covariate_conditional_row_permutation,7,243684,12,12,0.48933771202161447,0.5312689159577967,0.4828290957769403,0.5183533397318947,0.5306835614064519,0.5686880223102972,-0.1262696123760294,-0.09750698497909555,2000
hill,raw25,14,243684,6,6,0.6006059964610503,0.621500189412288,0.590919698167946,0.6385126458169524,0.6115347704861952,0.651864605622423,0.0,0.0,2000
hill,statistics9,14,243684,6,6,0.47384465426246897,0.45275307279310767,0.4716282058141037,0.5174715737140605,0.44835607277416145,0.5024631082142005,-0.13611346182787337,-0.09727836699886305,2000
hill,raw_pca6,14,243684,6,6,0.5969870740400625,0.6175584669920114,0.5857531373150542,0.6355216076827431,0.6066349138696624,0.6481997224393294,-0.006421862149327828,-0.001966894026575461,2000
hill,gaf_pca6,14,243684,6,6,0.2717116452013302,0.24165806026368897,0.2704359852266728,0.31090080322062186,0.2397563962203875,0.2786868887799899,-0.3484279777562977,-0.29405802379233326,2000
hill,gaf_signed_pca6,14,243684,6,6,0.27561307168203436,0.24512259265978456,0.27561307168203436,0.3113127880240456,0.24401955981715057,0.28071138648804916,-0.346039511859989,-0.29256031610547134,2000
hill,event_row_permutation,14,243684,6,6,0.023955025303334307,-0.006966034060274746,0.02468102133168569,0.07461114749460582,-0.0037983684379866373,0.04888333033072812,-0.5839985294342981,-0.5380679191592417,2000
hill,within_event_time_permutation,14,243684,6,6,0.48910572283621817,0.5938080913477679,0.4783291570672714,0.5407066215375176,0.585582177523417,0.6469541277421232,-0.11649580643337465,-0.0890723246747776,2000
hill,covariate_conditional_row_permutation,14,243684,6,6,0.48933771202161447,0.5312689159577967,0.48023119989929375,0.5282647007112741,0.5270846818383386,0.5694714380040279,-0.12186263270441065,-0.0993126092405241,2000
lahaute,raw25,3,34042,50,45,0.6976846098560997,0.6874948090904582,0.6900460032931618,0.7415133651093151,0.6759865355239673,0.7402743578137914,0.0,0.0,2000
lahaute,statistics9,3,34042,50,45,0.4753761647096904,0.5168938417570396,0.4501762043211513,0.5357868883966576,0.4894322128771235,0.5835550902192845,-0.2719715467204244,-0.17355764870700388,2000
lahaute,raw_pca6,3,34042,50,45,0.6962705062290211,0.685948899633453,0.6885286752125389,0.7401943071487181,0.6756244971303428,0.7390276541135395,-0.003419508603880239,0.0007531808917684721,2000
lahaute,gaf_pca6,3,34042,50,45,0.3005259989078976,0.2375134021183311,0.29121066300576604,0.361403048783506,0.23858034009734846,0.3041632194234392,-0.4351743371789745,-0.3416569495469706,2000
lahaute,gaf_signed_pca6,3,34042,50,45,0.28892630230933575,0.23406569946151756,0.28622276594966883,0.3544135793495154,0.23626952751293848,0.30113981298916614,-0.4378811908964874,-0.3509379306314166,2000
lahaute,event_row_permutation,3,34042,50,45,0.06710845548540978,0.022636856837335385,0.07165147129137435,0.12140633287235361,0.026195907214668964,0.07948366917108785,-0.6476653954000915,-0.5898704947757533,2000
lahaute,within_event_time_permutation,3,34042,50,45,0.6005671178805436,0.6603158754751492,0.5993836287877675,0.6695936757385489,0.6487144212382219,0.7399397336656389,-0.10413737306036278,-0.05375078555461981,2000
lahaute,covariate_conditional_row_permutation,3,34042,50,45,0.6255566873538116,0.634700682392596,0.6233449182361316,0.6760609368663832,0.6245115186920916,0.6997134301171595,-0.08704098315838223,-0.04321943213029815,2000
lahaute,raw25,7,34042,22,21,0.6976846098560997,0.6874948090904582,0.6908653667216571,0.7440223393088017,0.6774908270600816,0.7453522349254416,0.0,0.0,2000
lahaute,statistics9,7,34042,22,21,0.4753761647096904,0.5168938417570396,0.45413961927308455,0.5335732447559801,0.49609948224174727,0.5762325954792986,-0.26633817573645563,-0.17988991042787106,2000
lahaute,raw_pca6,7,34042,22,21,0.6962705062290211,0.685948899633453,0.6900818132287071,0.7420471985488682,0.6771067885111323,0.7429314237521332,-0.003490164750005578,0.0009333590862516384,2000
lahaute,gaf_pca6,7,34042,22,21,0.3005259989078976,0.2375134021183311,0.2897918175538356,0.3639125942685775,0.23882071558687742,0.30987090328029965,-0.43403773073241736,-0.34745910887025183,2000
lahaute,gaf_signed_pca6,7,34042,22,21,0.28892630230933575,0.23406569946151756,0.28305879142377216,0.3601165462161751,0.2331337567832191,0.30914057388945987,-0.4379605074027693,-0.3534687507280284,2000
lahaute,event_row_permutation,7,34042,22,21,0.06710845548540978,0.022636856837335385,0.06980810916580464,0.12765804224820837,0.02474402874836697,0.0826914684553016,-0.6446997012957902,-0.5938815296995689,2000
lahaute,within_event_time_permutation,7,34042,22,21,0.6005671178805436,0.6603158754751492,0.6002306141147554,0.6699015695932304,0.6514068713524759,0.739711776783189,-0.09989421545590654,-0.05920902640800658,2000
lahaute,covariate_conditional_row_permutation,7,34042,22,21,0.6255566873538116,0.634700682392596,0.6258854566549763,0.675956930466351,0.6289411917194686,0.6992972599449957,-0.08459768841938753,-0.04785027725881598,2000
lahaute,raw25,14,34042,12,12,0.6976846098560997,0.6874948090904582,0.6956336584020748,0.7481086246198148,0.6829401551810258,0.7399592429417537,0.0,0.0,2000
lahaute,statistics9,14,34042,12,12,0.4753761647096904,0.5168938417570396,0.45668171457467355,0.5286137064639949,0.5027237384886891,0.5664683420402563,-0.2665794844939201,-0.18975372787900444,2000
lahaute,raw_pca6,14,34042,12,12,0.6962705062290211,0.685948899633453,0.695176835957518,0.7455440589377338,0.6826845052911212,0.7378169284474584,-0.003819701390194677,0.0010391526088413359,2000
lahaute,gaf_pca6,14,34042,12,12,0.3005259989078976,0.2375134021183311,0.2839805457882227,0.3764960795863641,0.23060961552012446,0.31606612290262504,-0.43569135198249176,-0.34734627479421387,2000
lahaute,gaf_signed_pca6,14,34042,12,12,0.28892630230933575,0.23406569946151756,0.2757086052703613,0.3747569080847348,0.22541899390354178,0.31795575615246535,-0.4394352043873852,-0.3495459392823991,2000
lahaute,event_row_permutation,14,34042,12,12,0.06710845548540978,0.022636856837335385,0.06314409254713646,0.13928675192173248,0.020038834962281635,0.08983922401563842,-0.6423299675061992,-0.593523239636575,2000
lahaute,within_event_time_permutation,14,34042,12,12,0.6005671178805436,0.6603158754751492,0.6052578761594879,0.6723834194237505,0.6592168811445902,0.7314194926963028,-0.09789810806274271,-0.059082405508048365,2000
lahaute,covariate_conditional_row_permutation,14,34042,12,12,0.6255566873538116,0.634700682392596,0.6277297324874552,0.6745702087118705,0.6321823635257429,0.690134226128785,-0.08889608223288097,-0.05114969225694202,2000
pizhou,raw25,3,274570,35,34,0.6425246622473616,0.6643382288025745,0.633359792642469,0.6755756908303241,0.6469268673363509,0.6973953950690058,0.0,0.0,2000
pizhou,statistics9,3,274570,35,34,0.5182610316173735,0.49967303490197035,0.5064841216143177,0.5476018208908258,0.489017698951291,0.5374851560119916,-0.15262588874915345,-0.09945974110658204,2000
pizhou,raw_pca6,3,274570,35,34,0.6389474849159917,0.6599725295010557,0.6295251487160364,0.6722902187514713,0.6420953514931252,0.6930272071365583,-0.005024812807024842,-0.0021459963082455357,2000
pizhou,gaf_pca6,3,274570,35,34,0.27341214950992393,0.2517879122066497,0.26627740038636566,0.3124406663847059,0.24154124106139302,0.28639940050433144,-0.3871870403598187,-0.34547427462647107,2000
pizhou,gaf_signed_pca6,3,274570,35,34,0.2750306085763029,0.2551471276710633,0.26757347094261946,0.31449880157624865,0.24501783982559827,0.28955633597674896,-0.3856357268003677,-0.3441255491465319,2000
pizhou,event_row_permutation,3,274570,35,34,0.05466566225156875,0.025000039128631572,0.04391224845740919,0.08404699746938833,0.013664504400553399,0.05778826033143877,-0.6110734293789574,-0.5721652066998509,2000
pizhou,within_event_time_permutation,3,274570,35,34,0.5321589711596865,0.6443451177731495,0.5212272695962161,0.5710980524182182,0.6125284220795052,0.6828374478597161,-0.12549492016331346,-0.09328244980887933,2000
pizhou,covariate_conditional_row_permutation,3,274570,35,34,0.5433213701707118,0.5825301433084837,0.5367158094006799,0.5725218992706783,0.5755097171298198,0.6126314822934039,-0.11927173642334392,-0.08087648865845586,2000
pizhou,raw25,7,274570,16,16,0.6425246622473616,0.6643382288025745,0.6308366103336495,0.6756057689405421,0.6438281366537838,0.6965308256654095,0.0,0.0,2000
pizhou,statistics9,7,274570,16,16,0.5182610316173735,0.49967303490197035,0.5083128921881257,0.5439051824357747,0.4907016303960039,0.5356506435960652,-0.15315219353188309,-0.1026416126929331,2000
pizhou,raw_pca6,7,274570,16,16,0.6389474849159917,0.6599725295010557,0.6270116429316996,0.6718330549177436,0.6398427921816525,0.691349154222991,-0.005024611157743683,-0.002272385621356136,2000
pizhou,gaf_pca6,7,274570,16,16,0.27341214950992393,0.2517879122066497,0.26899325805278856,0.31187743214626734,0.24385860768151646,0.2859762936845187,-0.3837875214949268,-0.3476424331859521,2000
pizhou,gaf_signed_pca6,7,274570,16,16,0.2750306085763029,0.2551471276710633,0.2699556225506189,0.31369464927989177,0.24730382068533302,0.2890764387719908,-0.38200953680559474,-0.346154450726264,2000
pizhou,event_row_permutation,7,274570,16,16,0.05466566225156875,0.025000039128631572,0.045556866985689976,0.08364236017052953,0.015518693977907495,0.05857692029373784,-0.6099647171771332,-0.5722253366125952,2000
pizhou,within_event_time_permutation,7,274570,16,16,0.5321589711596865,0.6443451177731495,0.5255872074946922,0.5679647611659256,0.6114909297309927,0.6792313497677116,-0.12259950699752364,-0.09595109650398105,2000
pizhou,covariate_conditional_row_permutation,7,274570,16,16,0.5433213701707118,0.5825301433084837,0.538932835171907,0.573803296345543,0.5752118967902445,0.6139123078344978,-0.12102408726837535,-0.07882859605066168,2000
pizhou,raw25,14,274570,9,9,0.6425246622473616,0.6643382288025745,0.635845914748537,0.66653174723113,0.638101689918067,0.692806914599951,0.0,0.0,2000
pizhou,statistics9,14,274570,9,9,0.5182610316173735,0.49967303490197035,0.509013116542456,0.5423100900158285,0.49094069953695535,0.5344080964860982,-0.1505538135848399,-0.10325812677694525,2000
pizhou,raw_pca6,14,274570,9,9,0.6389474849159917,0.6599725295010557,0.6324739447919112,0.6630265691335133,0.6351668568141173,0.6876623390166794,-0.004334903162371137,-0.0022666435793217785,2000
pizhou,gaf_pca6,14,274570,9,9,0.27341214950992393,0.2517879122066497,0.2695975276054159,0.3113395582916059,0.24388522443916713,0.28283432872050146,-0.38196427235862906,-0.34628523272231226,2000
pizhou,gaf_signed_pca6,14,274570,9,9,0.2750306085763029,0.2551471276710633,0.27052998477400464,0.3133724409938802,0.2471959531136622,0.28588648416119694,-0.38092830214964674,-0.3442196192794044,2000
pizhou,event_row_permutation,14,274570,9,9,0.05466566225156875,0.025000039128631572,0.052495012650657986,0.07963670223551052,0.018839211207788004,0.05275973201301642,-0.6039223118124193,-0.573482349398434,2000
pizhou,within_event_time_permutation,14,274570,9,9,0.5321589711596865,0.6443451177731495,0.5253239343811613,0.5637762159017257,0.6074129133128222,0.6805269829029128,-0.11916300139544901,-0.09639280454018143,2000
pizhou,covariate_conditional_row_permutation,14,274570,9,9,0.5433213701707118,0.5825301433084837,0.5369117785846443,0.5704190072937093,0.5722885258266485,0.6111256421333986,-0.11992723968941985,-0.07794489568284031,2000
suining,raw25,3,102248,24,24,0.6147559961756034,0.6300977146136341,0.6147768733503906,0.6635733267744884,0.6262090581307781,0.6812266687807391,0.0,0.0,2000
suining,statistics9,3,102248,24,24,0.526979149741847,0.5165716387766812,0.5152391986755693,0.5627697564934337,0.5029901417609908,0.5601618323675431,-0.125981705130884,-0.07525750835166267,2000
suining,raw_pca6,3,102248,24,24,0.613576704512943,0.6292400812225825,0.6141455707322548,0.662209967997036,0.6262057486713735,0.67917349320352,-0.00251477467988791,0.002023301221457454,2000
