site,model,price_case,tail_premium,storage_fraction,duration_h,mean_difference,sd_difference,seeds,better_seeds,better_fraction
pizhou,tcn,base,0.0,0.0,0.0,4531.940172168688,3322.1071360025903,3,0,0.0
pizhou,tcn,base,0.0,0.05,1.0,4924.79523574535,3410.973898225132,3,0,0.0
pizhou,tcn,base,0.0,0.05,2.0,5173.667656256672,3573.708642205232,3,0,0.0
pizhou,tcn,base,0.0,0.05,4.0,5432.914508347447,3717.6747714410003,3,0,0.0
pizhou,tcn,base,0.0,0.1,1.0,5263.231162055089,3544.7456658907404,3,0,0.0
pizhou,tcn,base,0.0,0.1,2.0,5720.735931934675,3761.026862518784,3,0,0.0
pizhou,tcn,base,0.0,0.1,4.0,5921.029670591165,3953.8878890624283,3,0,0.0
pizhou,tcn,base,0.0,0.2,1.0,5852.268009253782,3711.583698776157,3,0,0.0
pizhou,tcn,base,0.0,0.2,2.0,6341.959828344962,3902.467138420539,3,0,0.0
pizhou,tcn,base,0.0,0.2,4.0,6253.185288366473,4087.51388911959,3,0,0.0
pizhou,tcn,base,1000.0,0.0,0.0,3658.8721654178394,2150.603154879567,3,0,0.0
pizhou,tcn,base,1000.0,0.05,1.0,4142.9362686797585,2082.1750986503175,3,0,0.0
pizhou,tcn,base,1000.0,0.05,2.0,4492.525641101117,2255.826338872552,3,0,0.0
pizhou,tcn,base,1000.0,0.05,4.0,4933.619386911031,2469.915775579571,3,0,0.0
pizhou,tcn,base,1000.0,0.1,1.0,4570.269724212037,2163.3943503336163,3,0,0.0
pizhou,tcn,base,1000.0,0.1,2.0,5534.231137625325,2559.4117106350895,3,0,0.0
pizhou,tcn,base,1000.0,0.1,4.0,5763.37384024853,2779.557239621561,3,0,0.0
pizhou,tcn,base,1000.0,0.2,1.0,5637.193239865393,1997.465369535085,3,0,0.0
pizhou,tcn,base,1000.0,0.2,2.0,7140.601409452742,2726.026047757501,3,0,0.0
pizhou,tcn,base,1000.0,0.2,4.0,6837.113824891047,2983.4578540816074,3,0,0.0
pizhou,tcn,base,5000.0,0.0,0.0,166.60013841444743,2730.4180723160166,3,2,0.6666666666666666
pizhou,tcn,base,5000.0,0.05,1.0,1015.500400417363,3461.2083838418544,3,2,0.6666666666666666
pizhou,tcn,base,5000.0,0.05,2.0,2157.6558871992697,2768.871197504523,3,0,0.0
pizhou,tcn,base,5000.0,0.05,4.0,2630.9576490515997,3074.6555465937395,3,0,0.0
pizhou,tcn,base,5000.0,0.1,1.0,1798.423972839829,3430.3981230646827,3,2,0.6666666666666666
pizhou,tcn,base,5000.0,0.1,2.0,4605.4450312418485,2936.932187640858,3,0,0.0
pizhou,tcn,base,5000.0,0.1,4.0,4885.585062101571,2774.131407194162,3,0,0.0
pizhou,tcn,base,5000.0,0.2,1.0,5251.352564393572,4400.779508724495,3,0,0.0
pizhou,tcn,base,5000.0,0.2,2.0,10101.88150262218,3123.2757628072573,3,0,0.0
pizhou,tcn,base,5000.0,0.2,4.0,8864.186075785843,2517.9713473786796,3,0,0.0
pizhou,tcn,high,0.0,0.0,0.0,9063.880344337376,6644.2142720051825,3,0,0.0
pizhou,tcn,high,0.0,0.05,1.0,9911.131637336659,6829.957200909266,3,0,0.0
pizhou,tcn,high,0.0,0.05,2.0,10440.62176053968,7172.686321182035,3,0,0.0
pizhou,tcn,high,0.0,0.05,4.0,10985.234054604067,7470.996510731036,3,0,0.0
pizhou,tcn,high,0.0,0.1,1.0,10634.340328722321,7109.341664022723,3,0,0.0
pizhou,tcn,high,0.0,0.1,2.0,11603.069298363276,7560.744216944436,3,0,0.0
pizhou,tcn,high,0.0,0.1,4.0,12016.522989812749,7960.543178306911,3,0,0.0
pizhou,tcn,high,0.0,0.2,1.0,11886.631958557695,7454.16755242279,3,0,0.0
pizhou,tcn,high,0.0,0.2,2.0,12922.383241197245,7848.820022629677,3,0,0.0
pizhou,tcn,high,0.0,0.2,4.0,12723.870022478526,8203.894001511284,3,0,0.0
pizhou,tcn,high,1000.0,0.0,0.0,8190.812337586535,5468.017436060513,3,0,0.0
pizhou,tcn,high,1000.0,0.05,1.0,9129.272670271073,5494.015472249453,3,0,0.0
pizhou,tcn,high,1000.0,0.05,2.0,9759.479745384111,5852.439363812475,3,0,0.0
pizhou,tcn,high,1000.0,0.05,4.0,10416.747573809718,6137.071416940831,3,0,0.0
pizhou,tcn,high,1000.0,0.1,1.0,9941.378890879265,5725.757164320732,3,0,0.0
pizhou,tcn,high,1000.0,0.1,2.0,11199.57545677953,6095.973338099921,3,0,0.0
pizhou,tcn,high,1000.0,0.1,4.0,11737.151132224712,6633.34316929815,3,0,0.0
pizhou,tcn,high,1000.0,0.2,1.0,11671.55718916931,5739.804600460396,3,0,0.0
pizhou,tcn,high,1000.0,0.2,2.0,13363.427938742612,6238.099750912704,3,0,0.0
pizhou,tcn,high,1000.0,0.2,4.0,13165.769063615538,6912.980406616762,3,0,0.0
pizhou,tcn,high,5000.0,0.0,0.0,4698.540310583155,1178.5740235965934,3,0,0.0
pizhou,tcn,high,5000.0,0.05,1.0,6001.836802008659,1081.405607644674,3,0,0.0
pizhou,tcn,high,5000.0,0.05,2.0,7302.312666920251,1307.5828635940165,3,0,0.0
pizhou,tcn,high,5000.0,0.05,4.0,8547.004217012616,1028.8181113928438,3,0,0.0
pizhou,tcn,high,5000.0,0.1,1.0,7169.533139507049,614.5429126326535,3,0,0.0
pizhou,tcn,high,5000.0,0.1,2.0,10096.214287751145,1151.8838930867666,3,0,0.0
pizhou,tcn,high,5000.0,0.1,4.0,11586.202298167706,2104.3215118109615,3,0,0.0
pizhou,tcn,high,5000.0,0.2,1.0,11563.73971498741,1179.431964499081,3,0,0.0
pizhou,tcn,high,5000.0,0.2,2.0,16052.715813986099,1295.8806760022824,3,0,0.0
pizhou,tcn,high,5000.0,0.2,4.0,14939.85024025071,1914.2147115523953,3,0,0.0
pizhou,tcn,low,0.0,0.0,0.0,2265.970086084344,1661.0535680012986,3,0,0.0
pizhou,tcn,low,0.0,0.05,1.0,2431.6270349496936,1701.484579473296,3,0,0.0
pizhou,tcn,low,0.0,0.05,2.0,2540.19060411517,1774.2259886670868,3,0,0.0
pizhou,tcn,low,0.0,0.05,4.0,2656.7547352191345,1841.0163467873979,3,0,0.0
pizhou,tcn,low,0.0,0.1,1.0,2577.6765787214767,1762.457060676718,3,0,0.0
pizhou,tcn,low,0.0,0.1,2.0,2779.569248720378,1861.1815226455635,3,0,0.0
pizhou,tcn,low,0.0,0.1,4.0,2873.283010980374,1950.5609149977213,3,0,0.0
pizhou,tcn,low,0.0,0.2,1.0,2835.086034601822,1840.306822326801,3,0,0.0
pizhou,tcn,low,0.0,0.2,2.0,3051.7481219188026,1929.2972284595864,3,0,0.0
pizhou,tcn,low,0.0,0.2,4.0,3017.842921310456,2029.4202666313925,3,0,0.0
pizhou,tcn,low,1000.0,0.0,0.0,1392.9020793334942,515.1023407494733,3,0,0.0
pizhou,tcn,low,1000.0,0.05,1.0,1649.7680678840989,422.101602997181,3,0,0.0
pizhou,tcn,low,1000.0,0.05,2.0,1909.804893962725,547.2503097125657,3,0,0.0
pizhou,tcn,low,1000.0,0.05,4.0,2162.4457440669307,541.2572965883504,3,0,0.0
pizhou,tcn,low,1000.0,0.1,1.0,1884.7151408784218,397.5634604124499,3,0,0.0
pizhou,tcn,low,1000.0,0.1,2.0,2473.2719347432662,531.7924468073718,3,0,0.0
pizhou,tcn,low,1000.0,0.1,4.0,2775.637997092376,744.9516121933129,3,0,0.0
pizhou,tcn,low,1000.0,0.2,1.0,2765.2789514109695,369.6719370328303,3,0,0.0
pizhou,tcn,low,1000.0,0.2,2.0,3674.410512510425,558.9058663151749,3,0,0.0
pizhou,tcn,low,1000.0,0.2,4.0,3671.5679870343374,865.0888219321685,3,0,0.0
pizhou,tcn,low,5000.0,0.0,0.0,-2099.3699476699016,4331.922526685566,3,2,0.6666666666666666
pizhou,tcn,low,5000.0,0.05,1.0,-1477.6678003782824,5113.933830838532,3,2,0.6666666666666666
pizhou,tcn,low,5000.0,0.05,2.0,-636.5186995861537,4697.574955066729,3,2,0.6666666666666666
pizhou,tcn,low,5000.0,0.05,4.0,-327.06563492891047,5098.543812436964,3,2,0.6666666666666666
pizhou,tcn,low,5000.0,0.1,1.0,-581.7370478387747,4917.194852426427,3,2,0.6666666666666666
pizhou,tcn,low,5000.0,0.1,2.0,1412.6897504208464,5022.810807616954,3,2,0.6666666666666666
pizhou,tcn,low,5000.0,0.1,4.0,1535.2764440685085,4951.629935074388,3,1,0.3333333333333333
pizhou,tcn,low,5000.0,0.2,1.0,2475.8385149375777,6133.5689346708705,3,1,0.3333333333333333
pizhou,tcn,low,5000.0,0.2,2.0,6443.757427066285,5310.1962329839125,3,0,0.0
pizhou,tcn,low,5000.0,0.2,4.0,5259.858687818724,4777.484780956843,3,0,0.0
pizhou,timesnet,base,0.0,0.0,0.0,2176.40231119986,1236.8281378250228,3,0,0.0
pizhou,timesnet,base,0.0,0.05,1.0,2454.3879984963983,978.670195403888,3,0,0.0
pizhou,timesnet,base,0.0,0.05,2.0,2531.0550576048954,860.3587438407643,3,0,0.0
pizhou,timesnet,base,0.0,0.05,4.0,2524.779800476396,786.8635185830699,3,0,0.0
pizhou,timesnet,base,0.0,0.1,1.0,2592.639873997888,825.6199196818942,3,0,0.0
pizhou,timesnet,base,0.0,0.1,2.0,2691.96404716233,601.1388007256184,3,0,0.0
pizhou,timesnet,base,0.0,0.1,4.0,2486.4443838339016,555.2281695606302,3,0,0.0
pizhou,timesnet,base,0.0,0.2,1.0,2745.774220906962,556.0690221966815,3,0,0.0
pizhou,timesnet,base,0.0,0.2,2.0,2697.871268055673,352.1162529401129,3,0,0.0
pizhou,timesnet,base,0.0,0.2,4.0,2219.4511653870723,334.6013696024032,3,0,0.0
pizhou,timesnet,base,1000.0,0.0,0.0,5030.044280428275,1651.6865012918151,3,0,0.0
pizhou,timesnet,base,1000.0,0.05,1.0,5161.278470138229,1206.1026201254272,3,0,0.0
pizhou,timesnet,base,1000.0,0.05,2.0,5290.45137975387,771.279513397404,3,0,0.0
pizhou,timesnet,base,1000.0,0.05,4.0,5090.472614260871,645.8804879852843,3,0,0.0
pizhou,timesnet,base,1000.0,0.1,1.0,5425.350977613595,887.6358395256125,3,0,0.0
pizhou,timesnet,base,1000.0,0.1,2.0,5564.278803354995,458.0663135431297,3,0,0.0
pizhou,timesnet,base,1000.0,0.1,4.0,4838.588437350892,594.4259236389809,3,0,0.0
pizhou,timesnet,base,1000.0,0.2,1.0,5584.890984932067,663.1436340192841,3,0,0.0
pizhou,timesnet,base,1000.0,0.2,2.0,5454.375438404863,819.0056185388581,3,0,0.0
