site,conditioning,representation,strata,defined_strata,strata_n_ge_30,both_constant_strata,one_side_constant_strata,original_matched_pairs,retained_pairs,retained_pair_fraction,catalogue_left_views,catalogue_right_views,conditional_left_coverage,conditional_right_coverage,scored_pairs_n_ge_30,scored_fraction_of_retained,equal_stratum_nmi_n_ge_30,equal_stratum_ari_n_ge_30,median_nmi_n_ge_30,median_ari_n_ge_30,pair_weighted_nmi_n_ge_30,pair_weighted_ari_n_ge_30
hill,amplitude_abs,event_row_permutation,497,438,340,2,9,243684,151847,0.6231307759229165,736758,671034,0.20610159645365236,0.22628808674374173,150681,0.9923212180681871,0.024342985764295468,-0.0003236158251667865,0.0132888745382535,-0.0007700549364975,0.009468061160196967,0.0002971972263081797
hill,amplitude_abs,gaf_pca6,497,436,340,4,7,243684,151847,0.6231307759229165,736758,671034,0.20610159645365236,0.22628808674374173,150681,0.9923212180681871,0.4331609235816957,0.42341641498011967,0.3652813423515633,0.35391771589076226,0.5784750522406596,0.5895652747216981
hill,amplitude_abs,gaf_signed_pca6,497,436,340,4,5,243684,151847,0.6231307759229165,736758,671034,0.20610159645365236,0.22628808674374173,150681,0.9923212180681871,0.4342189218340294,0.424732221132558,0.37220931072186125,0.3517456326982472,0.5802481112712511,0.5914550978511564
hill,amplitude_abs,raw25,497,437,340,3,6,243684,151847,0.6231307759229165,736758,671034,0.20610159645365236,0.22628808674374173,150681,0.9923212180681871,0.7247376127002195,0.7632495684595886,0.7175087426755115,0.7785100856550935,0.8135441802673263,0.8553148341688575
hill,amplitude_abs,raw_pca6,497,437,340,3,6,243684,151847,0.6231307759229165,736758,671034,0.20610159645365236,0.22628808674374173,150681,0.9923212180681871,0.721632849593779,0.7601557403895202,0.7152692269187146,0.7752580204656809,0.8112877073196302,0.853348063834647
hill,amplitude_abs,statistics9,497,430,340,10,20,243684,151847,0.6231307759229165,736758,671034,0.20610159645365236,0.22628808674374173,150681,0.9923212180681871,0.6889915645908017,0.723586987177233,0.6749850513563491,0.7676968010312439,0.7885326926653836,0.8323583413534509
hill,amplitude_abs,within_event_time_permutation,497,437,340,3,7,243684,151847,0.6231307759229165,736758,671034,0.20610159645365236,0.22628808674374173,150681,0.9923212180681871,0.6100638486814033,0.7115457378128985,0.6250521097773216,0.737136400117276,0.6201934921697984,0.7371590321415801
hill,direction,event_row_permutation,250,244,218,1,2,243684,239933,0.9846071141314161,736758,671034,0.325660528966092,0.3575571431551903,239611,0.9986579586801315,0.01366553119858378,-0.00025091850194176006,0.00477701877172255,-0.0006590191102550001,0.0037886084219342533,-5.097876748498208e-06
hill,direction,gaf_pca6,250,245,218,0,3,243684,239933,0.9846071141314161,736758,671034,0.325660528966092,0.3575571431551903,239611,0.9986579586801315,0.2814157115059676,0.2597262580377018,0.22571710724584415,0.21467814986420436,0.3897468348581547,0.38909002178687835
hill,direction,gaf_signed_pca6,250,245,218,0,2,243684,239933,0.9846071141314161,736758,671034,0.325660528966092,0.3575571431551903,239611,0.9986579586801315,0.2829352609336871,0.26196724643476516,0.22632692400672194,0.21732870340711646,0.3912836518379583,0.3915033297408576
hill,direction,raw25,250,240,218,5,19,243684,239933,0.9846071141314161,736758,671034,0.325660528966092,0.3575571431551903,239611,0.9986579586801315,0.1477561117259686,0.17856589513886667,0.05361741919324575,0.06538985297475439,0.27522510087819646,0.33543886188255656
hill,direction,raw_pca6,250,240,218,5,18,243684,239933,0.9846071141314161,736758,671034,0.325660528966092,0.3575571431551903,239611,0.9986579586801315,0.14642309892576297,0.17676316761400265,0.05201682089288355,0.061634896780307896,0.27353017892251963,0.33313121174973626
hill,direction,statistics9,250,244,218,1,9,243684,239933,0.9846071141314161,736758,671034,0.325660528966092,0.3575571431551903,239611,0.9986579586801315,0.4404834333469785,0.447115832714932,0.4274473185655979,0.4459655554151335,0.5502184095499938,0.6017599943609127
hill,direction,within_event_time_permutation,250,239,216,6,21,243684,239933,0.9846071141314161,736758,671034,0.325660528966092,0.3575571431551903,239524,0.9982953574539559,0.06382782393929987,0.10700769116033318,0.0245903728915745,0.06406208792917026,0.09438338847941055,0.1748219770900576
hill,duration_hours,event_row_permutation,320,183,145,1,4,243684,131317,0.5388823230084864,736758,671034,0.17823627296887173,0.19569351180417088,131013,0.9976849912806415,0.013917953273665249,-0.0011663046649329075,0.0054931424952226,-0.0003942552974352,0.0043714753814297165,-0.00036141400609159577
hill,duration_hours,gaf_pca6,320,173,145,11,6,243684,131317,0.5388823230084864,736758,671034,0.17823627296887173,0.19569351180417088,131013,0.9976849912806415,0.5273298286364683,0.5179254368151622,0.3665378973858145,0.3475319101742102,0.679894876621552,0.6819110313716377
hill,duration_hours,gaf_signed_pca6,320,173,145,11,6,243684,131317,0.5388823230084864,736758,671034,0.17823627296887173,0.19569351180417088,131013,0.9976849912806415,0.5296425165802477,0.5205719871326174,0.3637298356937405,0.3500236101824284,0.6805425698151106,0.682827293084835
hill,duration_hours,raw25,320,178,145,6,0,243684,131317,0.5388823230084864,736758,671034,0.17823627296887173,0.19569351180417088,131013,0.9976849912806415,0.7839961080959839,0.8078646814825489,0.7826180123582024,0.8598783974193431,0.8372435233198995,0.8530744043946259
