condition,model,seed,tp,fp,fn,precision,recall,f1,mean_delay_steps,sequences,truth_events
same_family,mean_rule,0,598,235,202,0.7178871548619448,0.7475,0.7323943661971831,1.294314381270903,1600,800
higher_noise,mean_rule,0,607,1897,193,0.24241214057507987,0.75875,0.36743341404358354,0.26359143327841844,1600,800
same_family,timesnet,41,476,231,324,0.6732673267326733,0.595,0.6317186463171864,3.3949579831932772,1600,800
higher_noise,timesnet,41,461,382,339,0.5468564650059312,0.57625,0.5611685940353013,3.407809110629067,1600,800
same_family,timesnet,42,441,230,359,0.6572280178837556,0.55125,0.5995921142080217,3.0385487528344672,1600,800
higher_noise,timesnet,42,406,340,394,0.5442359249329759,0.5075,0.5252263906856404,2.9261083743842367,1600,800
same_family,timesnet,43,419,222,381,0.6536661466458659,0.52375,0.5815405968077724,2.9618138424821003,1600,800
higher_noise,timesnet,43,382,312,418,0.5504322766570605,0.4775,0.5113788487282463,2.8743455497382198,1600,800
same_family,kanad,41,635,43,165,0.9365781710914455,0.79375,0.8592692828146143,1.8236220472440945,1600,800
higher_noise,kanad,41,685,409,115,0.6261425959780622,0.85625,0.723336853220697,1.6832116788321168,1600,800
same_family,kanad,42,609,63,191,0.90625,0.76125,0.8274456521739131,1.9507389162561577,1600,800
higher_noise,kanad,42,651,465,149,0.5833333333333334,0.81375,0.6795407098121086,1.8341013824884793,1600,800
same_family,kanad,43,550,239,250,0.697084917617237,0.6875,0.6922592825676526,1.990909090909091,1600,800
higher_noise,kanad,43,575,773,225,0.42655786350148367,0.71875,0.5353817504655494,1.7217391304347827,1600,800
same_family,tcn_ae,41,578,236,222,0.7100737100737101,0.7225,0.7162329615861215,1.5726643598615917,1600,800
higher_noise,tcn_ae,41,628,707,172,0.4704119850187266,0.785,0.5882903981264637,1.2356687898089171,1600,800
same_family,tcn_ae,42,586,263,214,0.690223792697291,0.7325,0.7107337780473014,1.2593856655290103,1600,800
higher_noise,tcn_ae,42,624,783,176,0.44349680170575695,0.78,0.5654734934299954,1.3814102564102564,1600,800
same_family,tcn_ae,43,590,245,210,0.7065868263473054,0.7375,0.7217125382262997,1.4576271186440677,1600,800
higher_noise,tcn_ae,43,627,743,173,0.4576642335766423,0.78375,0.5778801843317972,1.5103668261563,1600,800
same_family,transformer_ae,41,574,393,226,0.59358841778697,0.7175,0.6496887379739672,1.1097560975609757,1600,800
higher_noise,transformer_ae,41,603,1069,197,0.36064593301435405,0.75375,0.4878640776699029,0.4925373134328358,1600,800
same_family,transformer_ae,42,585,424,215,0.5797819623389494,0.73125,0.6467661691542289,1.1384615384615384,1600,800
higher_noise,transformer_ae,42,613,1158,187,0.3461321287408244,0.76625,0.4768572539867756,0.5399673735725938,1600,800
same_family,transformer_ae,43,605,448,195,0.5745489078822412,0.75625,0.652995143011333,0.9619834710743802,1600,800
higher_noise,transformer_ae,43,632,1328,168,0.3224489795918367,0.79,0.4579710144927536,0.5522151898734177,1600,800
