config,model,f1,f1_sd,precision,recall
h08_z08,timesnet,0.6308481204090398,0.024436832019861406,0.6802806163526537,0.5891666666666667
h16_z16,timesnet,0.6088398898959331,0.01392767641161194,0.7418449569324812,0.5183333333333334
h32_z16,timesnet,0.6152676370871751,0.006846051945243867,0.768067420776516,0.5158333333333333
h08_z08,kanad,0.7099602513108733,0.09602809516524238,0.6980293298588539,0.7258333333333334
h16_z16,kanad,0.7951307556138891,0.09713132531848301,0.8292516412678261,0.765
h32_z16,kanad,0.751264774774865,0.014989392268056772,0.7290176786418548,0.7758333333333333
sequence_h08_z08,tcn_ae,0.7293393135787888,0.0066620946180044665,0.7158791432383844,0.7433333333333333
sequence_h16_z16,tcn_ae,0.6181784825990776,0.012081725076609783,0.5727195127410146,0.6716666666666667
sequence_h32_z16,tcn_ae,0.6008466003311652,0.02095028829208139,0.5550391948857261,0.655
sequence_h08_z08,transformer_ae,0.6600780448116669,0.018621632023569156,0.5998142766969331,0.735
sequence_h16_z16,transformer_ae,0.5870879252058278,0.008771822321887945,0.904901061058224,0.435
sequence_h32_z16,transformer_ae,0.5600437382904215,0.011565406849437833,0.8383119880004615,0.42083333333333334
