site,cutoff,method,pairs,pair_median,nmi,ari,mean_iou
hill,0.3,greedy,307969,86.0,0.5959821429676047,0.5770565148146432,0.567342758329697
hill,0.3,hungarian,308409,86.0,0.5949098760823534,0.5764139029986196,0.5669267103483754
hill,0.5,greedy,243733,71.0,0.6709397990601247,0.641623666759347,0.6654073393294774
hill,0.5,hungarian,243834,71.0,0.6706813699595797,0.6414662517926008,0.6652855508604735
hill,0.7,greedy,111656,27.0,0.8526750561377151,0.8213193436593892,0.8837326944785195
hill,0.7,hungarian,111656,27.0,0.8526750561377151,0.8213193436593892,0.8837326944785195
lahaute,0.3,greedy,43893,77.0,0.6825379281741334,0.6505269461414379,0.5866144807704132
lahaute,0.3,hungarian,43921,77.0,0.6819944745355354,0.6505078230485264,0.5863477100769353
lahaute,0.5,greedy,34042,66.0,0.7453150592172612,0.7140794643456047,0.6791568455345575
lahaute,0.5,hungarian,34055,66.0,0.7453263084524309,0.7141271389049186,0.6790284247165898
lahaute,0.7,greedy,16527,28.0,0.886249556778025,0.8648503317174976,0.8838520368037458
lahaute,0.7,hungarian,16527,28.0,0.886249556778025,0.8648503317174976,0.8838520368037458
pizhou,0.3,greedy,348247,45.0,0.6688109532940962,0.6297484178117769,0.5659640284150862
pizhou,0.3,hungarian,348621,45.0,0.6685232017425935,0.6300579666080623,0.565641778518366
pizhou,0.5,greedy,274580,37.0,0.73430737596477,0.7009557745925645,0.6671027800536947
pizhou,0.5,hungarian,274716,37.0,0.7343456983449042,0.7011784762768333,0.6669770459716404
pizhou,0.7,greedy,125508,17.0,0.8854969112781496,0.8551632711216017,0.8802870625088404
pizhou,0.7,hungarian,125508,17.0,0.8854974594715902,0.8551631039078383,0.8802870625088404
suining,0.3,greedy,128953,50.0,0.6264786933844295,0.5939717724062056,0.5721922286160038
suining,0.3,hungarian,129080,50.0,0.6254477350005441,0.5927374815879664,0.5719273128535813
suining,0.5,greedy,102254,41.0,0.7017539012001026,0.6630477212359039,0.6673393524218431
suining,0.5,hungarian,102293,41.0,0.7014156729532067,0.6628135946888725,0.6672272231787123
suining,0.7,greedy,47316,17.0,0.8819854677416297,0.85054685920988,0.8848721530875526
suining,0.7,hungarian,47316,17.0,0.8819854677416297,0.85054685920988,0.8848721530875526
yandun,0.3,greedy,1083353,71.0,0.6160317330782807,0.5910968349944358,0.5566431921882086
yandun,0.3,hungarian,1085375,71.0,0.6141147724410504,0.5897118599746852,0.55612010439779
yandun,0.5,greedy,811651,56.0,0.6934901941329391,0.6667482069139614,0.6544430158393866
yandun,0.5,hungarian,812079,56.0,0.6932344118010105,0.6665959299241689,0.6542866134069921
yandun,0.7,greedy,353527,15.0,0.8713077807908405,0.8353448056772804,0.8791347861025409
yandun,0.7,hungarian,353527,15.0,0.8713077807908405,0.8353448056772804,0.8791347861025409
