site,cutoff,method,pairs,nmi,ari,weighted_nmi,weighted_ari,left_coverage,right_coverage,mean_iou
hill,0.3,greedy,307826,0.5329503431662667,0.5672165008617654,0.6290214211419066,0.6823865639152623,0.46811883206096666,0.43729855554533226,0.6584259249580006
hill,0.3,maximum_iou,308389,0.5256277163498182,0.561078105203737,0.6197094222894964,0.6755935185900102,0.4690004947227277,0.4381700787606035,0.6577237520173715
hill,0.5,greedy,243684,0.6006059964610503,0.621500189412288,0.6838734568989633,0.7379020296131973,0.35274489628741434,0.3239182974571405,0.7358744158227791
hill,0.5,maximum_iou,243833,0.5946266083001176,0.6166743710236381,0.6770845041366488,0.7336816691251892,0.35294560488432086,0.3241112059940151,0.7356019452573733
hill,0.7,greedy,111656,0.7630674263205266,0.7468456345098241,0.8915745908776048,0.9078688584940305,0.16399816197561218,0.13256516556813566,0.9503807983999054
hill,0.7,maximum_iou,111656,0.7629465338889544,0.7467587615916805,0.891533190127926,0.9078404382694225,0.16399816197561218,0.13256516556813566,0.9503807983999054
lahaute,0.3,greedy,43890,0.6378894289883934,0.6319415403172034,0.7072267664734252,0.7282073799735163,0.4300228006855627,0.41561294832752677,0.6602882995160304
lahaute,0.3,maximum_iou,43921,0.6377919397691184,0.6373918593208715,0.7048720938768991,0.7275088124970461,0.43034365574485317,0.4158745130782578,0.6599857538307179
lahaute,0.5,greedy,34042,0.6976846098560997,0.6874948090904583,0.7537196269578185,0.7810447720579841,0.3268741999670213,0.31216121163974087,0.7444305932730397
lahaute,0.5,maximum_iou,34055,0.6973022111917216,0.6876388573100276,0.7529272484837033,0.7807977076312058,0.32699643556202657,0.31222536481779056,0.7441701888125192
lahaute,0.7,greedy,16527,0.857902447730748,0.8491898808248206,0.8989800913422474,0.91373656911902,0.16235180887666217,0.13908807696912784,0.9339181465790378
lahaute,0.7,maximum_iou,16527,0.857902447730748,0.8491898808248206,0.8989800913422474,0.91373656911902,0.16235180887666217,0.13908807696912784,0.9339181465790378
pizhou,0.3,greedy,348190,0.5822889887127137,0.6153640122008316,0.6718126401698566,0.7313251219249426,0.47348227316309055,0.4188675361097976,0.65550299769864
pizhou,0.3,maximum_iou,348609,0.5776761707400274,0.6122475814624796,0.6672643845217742,0.7285023188986095,0.47406501808291746,0.41939053127267995,0.6550040626598372
pizhou,0.5,greedy,274570,0.6425246622473616,0.6643382288025745,0.7217000160901753,0.7817450697944842,0.349856060516537,0.30459263338338827,0.7332849793512511
pizhou,0.5,maximum_iou,274716,0.6389835139870652,0.6618479335223474,0.7177399272431242,0.7799182324730329,0.3499840081247325,0.3046979688827481,0.7329689566320896
pizhou,0.7,greedy,125508,0.8138328755399937,0.8071548195953083,0.8924806245481237,0.913626574098551,0.1607064426158857,0.12373896120085688,0.9414622879500972
pizhou,0.7,maximum_iou,125508,0.81357842140129,0.8069180781405296,0.8924463329673566,0.913591981764276,0.1607064426158857,0.12373896120085688,0.9414622879500972
suining,0.3,greedy,128928,0.5480542648052749,0.583102188959237,0.6504717867572218,0.7116795579350521,0.4621224037189987,0.4299486939960651,0.6595804896206656
suining,0.3,maximum_iou,129077,0.5423290632425973,0.5774954732021986,0.6449116001994718,0.7069032181431587,0.46263630990061816,0.43040706450100635,0.6590758121691238
suining,0.5,greedy,102248,0.6147559961756035,0.6300977146136341,0.7045658758284197,0.7647430664522499,0.3498199883750671,0.3196921172839094,0.7367650017093955
suining,0.5,maximum_iou,102293,0.6118491795615071,0.6279261687838174,0.7001983342163401,0.7619042919798182,0.3499395785535722,0.3197966424780925,0.7365102706637258
suining,0.7,greedy,47316,0.7943879321449998,0.7981462003376644,0.899331593810927,0.9175317435448325,0.16286042073363816,0.1318726224376992,0.946250541158207
suining,0.7,maximum_iou,47316,0.7943043533277983,0.7980248950932812,0.8992756168820082,0.9174664849225129,0.16286042073363816,0.1318726224376992,0.946250541158207
yandun,0.3,greedy,1082770,0.5224578252037362,0.5697629528669604,0.6099894658217049,0.6618525479691867,0.4794438592513554,0.48407819612634434,0.6322241529011434
yandun,0.3,maximum_iou,1085302,0.5116870429330497,0.5602545908574748,0.598044253616235,0.6521918483128157,0.4806964694282968,0.4852077452355193,0.6313975166261491
yandun,0.5,greedy,811453,0.5901034785185401,0.6255029137158772,0.6710053844046283,0.7272888511333485,0.3511945764142954,0.3493149540536739,0.721365296252407
yandun,0.5,maximum_iou,812076,0.5810331799812126,0.6184881053803475,0.6610129705282064,0.7197338983344438,0.3514620581740759,0.34955534527418175,0.721040190987949
yandun,0.7,greedy,353527,0.7631130054873656,0.7776490331035828,0.8671086105496743,0.8864145257256865,0.15704110810479843,0.13927903132193636,0.9393291544804488
yandun,0.7,maximum_iou,353527,0.763041030569465,0.7765869967479858,0.8668068467033498,0.8861939019150434,0.15704110810479843,0.13927903132193636,0.9393291544804488
