config_a,config_b,pairs,nmi,ari,agreement
endpoint_corridor_0.025,endpoint_corridor_0.050,288,0.8302875813753109,0.8001050289393876,0.9166666666666666
endpoint_corridor_0.025,endpoint_corridor_0.100,182,0.6649803364743644,0.5723605313313163,0.7802197802197802
endpoint_corridor_0.025,financial_tail_1h,237,0.7090559067139449,0.6750062442605628,0.8523206751054853
endpoint_corridor_0.025,financial_tail_2h,99,0.5480607858040194,0.4447637528180173,0.696969696969697
endpoint_corridor_0.025,financial_tail_4h,11,0.710394965825656,0.5077298616761595,0.6363636363636364
endpoint_corridor_0.025,mean_shift_1h,94,0.647947287459268,0.5740237780228045,0.723404255319149
endpoint_corridor_0.025,mean_shift_2h,5,0.737175493807016,0.375,0.8
endpoint_corridor_0.025,threshold_1h,203,0.7976974947528327,0.8006904648020935,0.916256157635468
endpoint_corridor_0.025,threshold_2h,120,0.5910106761836414,0.48038891024223873,0.725
endpoint_corridor_0.025,threshold_4h,11,0.7213148759137178,0.597233523189585,0.6363636363636364
endpoint_corridor_0.050,endpoint_corridor_0.100,411,0.7026168350714073,0.6865924792559107,0.8467153284671532
endpoint_corridor_0.050,financial_tail_1h,451,0.7288593716330151,0.6487726662878159,0.8337028824833703
endpoint_corridor_0.050,financial_tail_2h,286,0.5592302378889298,0.4465903375887358,0.6643356643356644
endpoint_corridor_0.050,financial_tail_4h,75,0.5814841430532501,0.41945358830837803,0.5333333333333333
endpoint_corridor_0.050,mean_shift_1h,169,0.5996074388889461,0.5133168651264743,0.6982248520710059
endpoint_corridor_0.050,mean_shift_2h,30,0.6379252781157503,0.574244966442953,0.6
endpoint_corridor_0.050,mean_shift_4h,5,1.0,1.0,0.2
endpoint_corridor_0.050,threshold_1h,358,0.7764520484515718,0.7791959323433308,0.9050279329608939
endpoint_corridor_0.050,threshold_2h,300,0.5857455826188877,0.4648865585088503,0.69
endpoint_corridor_0.050,threshold_4h,75,0.5969758891512716,0.5157579801285516,0.6933333333333334
endpoint_corridor_0.100,financial_tail_1h,527,0.6441665367184313,0.5033437939033154,0.715370018975332
endpoint_corridor_0.100,financial_tail_2h,453,0.5466030852247519,0.4126869436466322,0.6114790286975718
endpoint_corridor_0.100,financial_tail_4h,197,0.5436595380189428,0.4112667157632072,0.49746192893401014
endpoint_corridor_0.100,mean_shift_1h,272,0.5535445646986376,0.43447214933710937,0.5294117647058824
endpoint_corridor_0.100,mean_shift_2h,135,0.5603705249982123,0.4918947598982644,0.48148148148148145
endpoint_corridor_0.100,mean_shift_4h,51,0.6513190557040262,0.5607291613102278,0.5098039215686274
endpoint_corridor_0.100,threshold_1h,475,0.6542798910731379,0.5895972353803219,0.791578947368421
endpoint_corridor_0.100,threshold_2h,481,0.5774748297010761,0.45422882481917387,0.6694386694386695
endpoint_corridor_0.100,threshold_4h,252,0.5006346045245138,0.41513548453364013,0.6309523809523809
financial_tail_1h,financial_tail_2h,868,0.5372057822287608,0.49760442536562516,0.7211981566820277
financial_tail_1h,financial_tail_4h,15,0.6767674208574079,0.5764576457645765,0.7333333333333333
financial_tail_1h,mean_shift_1h,407,0.5745422336746339,0.5945463713038339,0.769041769041769
financial_tail_1h,mean_shift_2h,71,0.6815202668720173,0.7041848749840208,0.8169014084507042
financial_tail_1h,threshold_1h,680,0.7192502994857588,0.7056412052932798,0.8676470588235294
financial_tail_1h,threshold_2h,654,0.5582791294317807,0.5187516516575763,0.72782874617737
financial_tail_1h,threshold_4h,17,0.6771114753155246,0.5135668475579674,0.7058823529411765
financial_tail_2h,financial_tail_4h,704,0.5198655406723248,0.5093886725462692,0.7045454545454546
financial_tail_2h,mean_shift_1h,299,0.5561982799355409,0.6154448126443426,0.7725752508361204
financial_tail_2h,mean_shift_2h,408,0.530181441821904,0.639856114464707,0.7720588235294118
financial_tail_2h,mean_shift_4h,51,0.5667997320921199,0.49337041994311526,0.5882352941176471
financial_tail_2h,threshold_1h,259,0.5175001153448284,0.4897788422871088,0.7297297297297297
financial_tail_2h,threshold_2h,877,0.6475795408047609,0.6426708638995963,0.8187001140250855
financial_tail_2h,threshold_4h,514,0.49796044633550235,0.47821046963700475,0.6770428015564203
financial_tail_4h,mean_shift_1h,44,0.46508086882954014,0.32036236799794887,0.5681818181818182
financial_tail_4h,mean_shift_2h,369,0.5091204068252865,0.557528315294755,0.7100271002710027
financial_tail_4h,mean_shift_4h,386,0.5264635926117053,0.6048978461946423,0.7590673575129534
financial_tail_4h,threshold_1h,7,0.7699888529362955,0.625,0.8571428571428571
financial_tail_4h,threshold_2h,341,0.46583803229343285,0.43910463705086145,0.6510263929618768
financial_tail_4h,threshold_4h,867,0.6035465394776022,0.5867603958195406,0.7843137254901961
mean_shift_1h,mean_shift_2h,107,0.5209774202767989,0.5399154607835548,0.6074766355140186
mean_shift_1h,threshold_1h,494,0.526508098317086,0.49771639786973887,0.6963562753036437
mean_shift_1h,threshold_2h,382,0.5418739925741237,0.5817208910127455,0.7513089005235603
mean_shift_1h,threshold_4h,28,0.19616874377906893,0.02853959239423457,0.2857142857142857
mean_shift_2h,mean_shift_4h,138,0.4103552300459348,0.40875115948355806,0.6231884057971014
mean_shift_2h,threshold_1h,11,0.5882409152848671,0.3621766280107047,0.45454545454545453
mean_shift_2h,threshold_2h,502,0.48536763228213026,0.5714142057284067,0.7071713147410359
mean_shift_2h,threshold_4h,403,0.44880245454367007,0.5120646787484129,0.6674937965260546
mean_shift_4h,threshold_2h,20,0.39258840619886237,0.19108702864093774,0.15
mean_shift_4h,threshold_4h,474,0.45888373780614966,0.5379507356566847,0.679324894514768
threshold_1h,threshold_2h,334,0.4659716291335199,0.3975769552452205,0.6616766467065869
threshold_1h,threshold_4h,2,1.0,1.0,0.0
threshold_2h,threshold_4h,371,0.36822455493231865,0.32923044350306835,0.6064690026954178
