mode,config_a,config_b,pairs,nmi,ari
frozen,endpoint_corridor_0.025,endpoint_corridor_0.050,288,0.9074254916048252,0.9574988787318439
frozen,endpoint_corridor_0.025,endpoint_corridor_0.100,182,0.7423315367358938,0.830842722809781
frozen,endpoint_corridor_0.025,financial_tail_1h,237,0.7352714430343642,0.8224869354417635
frozen,endpoint_corridor_0.025,financial_tail_2h,99,0.6599920595074786,0.6878667613811847
frozen,endpoint_corridor_0.025,financial_tail_4h,11,0.8183333793438862,0.7755102040816326
frozen,endpoint_corridor_0.025,mean_shift_1h,94,0.6253603365239844,0.6775113057027028
frozen,endpoint_corridor_0.025,mean_shift_2h,5,1.0,1.0
frozen,endpoint_corridor_0.025,threshold_1h,203,0.8349131640862981,0.9053498885273561
frozen,endpoint_corridor_0.025,threshold_2h,120,0.717894811032217,0.8082343487836662
frozen,endpoint_corridor_0.025,threshold_4h,11,1.0,1.0
frozen,endpoint_corridor_0.050,endpoint_corridor_0.100,411,0.7665335400100868,0.8346526766085556
frozen,endpoint_corridor_0.050,financial_tail_1h,451,0.732733173069181,0.8204192531310778
frozen,endpoint_corridor_0.050,financial_tail_2h,286,0.6527399741704283,0.7218367342460823
frozen,endpoint_corridor_0.050,financial_tail_4h,75,0.6352657714313779,0.5444793293860254
frozen,endpoint_corridor_0.050,mean_shift_1h,169,0.6552102989875954,0.6764597384326005
frozen,endpoint_corridor_0.050,mean_shift_2h,30,0.6124492203685044,0.546663312610055
frozen,endpoint_corridor_0.050,mean_shift_4h,5,0.6434709124204981,0.2857142857142857
frozen,endpoint_corridor_0.050,threshold_1h,358,0.7761656297549414,0.8449193778249585
frozen,endpoint_corridor_0.050,threshold_2h,300,0.6684233648673992,0.7707312093707473
frozen,endpoint_corridor_0.050,threshold_4h,75,0.6796472606877991,0.7139986086418799
frozen,endpoint_corridor_0.100,financial_tail_1h,527,0.715428354807056,0.7574733484677283
frozen,endpoint_corridor_0.100,financial_tail_2h,453,0.6531314426372146,0.7135747288463334
frozen,endpoint_corridor_0.100,financial_tail_4h,197,0.6701204601717573,0.7027861544332007
frozen,endpoint_corridor_0.100,mean_shift_1h,272,0.5891185947990617,0.6068357542163823
frozen,endpoint_corridor_0.100,mean_shift_2h,135,0.5791646245047741,0.5501380077020978
frozen,endpoint_corridor_0.100,mean_shift_4h,51,0.47390929562001566,0.37605041189922345
frozen,endpoint_corridor_0.100,threshold_1h,475,0.7212825550415627,0.7914300771546608
frozen,endpoint_corridor_0.100,threshold_2h,481,0.6636154856173099,0.7536263907209289
