batch,representation,seed,k,events,pairs,nmi,ari,agreement
batch0,tcn,41,2,77994,134469,0.7906441648213298,0.8722016073182831,0.9669589273364121
batch0,tcn,41,4,77994,134469,0.5170234353544041,0.5653533183837418,0.7538168648536094
batch0,tcn,41,6,77994,134469,0.5149534149286515,0.4786919274094867,0.6923900675992236
batch1,tcn,41,2,81086,140767,0.7942666571827744,0.8749396872806467,0.967691291282758
batch1,tcn,41,4,81086,140767,0.5140185208191341,0.5574214917613376,0.7521294053293741
batch1,tcn,41,6,81086,140767,0.5143650764614832,0.47641804168556184,0.6926339269857282
batch2,tcn,41,2,78310,135534,0.7966066923077467,0.8767606248846117,0.9681777266221022
batch2,tcn,41,4,78310,135534,0.5161738356151075,0.5584656709755856,0.7515457376008972
batch2,tcn,41,6,78310,135534,0.5175079701237795,0.4828070928813879,0.6959655879705461
batch3,tcn,41,2,75238,130996,0.8074610225733165,0.8849739639082111,0.9703655073437357
batch3,tcn,41,4,75238,130996,0.5264566936385268,0.5692463192820746,0.7557864362270603
batch3,tcn,41,6,75238,130996,0.5168819631814525,0.4786755608485718,0.6942807413966838
batch4,tcn,41,2,67598,115336,0.8136335370618596,0.8895121805640495,0.971570021502393
batch4,tcn,41,4,67598,115336,0.5298037076328271,0.5718168762906543,0.7568755635707844
batch4,tcn,41,6,67598,115336,0.5154784415354868,0.4815096445368378,0.6950475133522924
batch5,tcn,41,2,70469,120883,0.8087197125372378,0.8859175461010086,0.9706162156796241
batch5,tcn,41,4,70469,120883,0.5316339093477369,0.5694636714398329,0.7566159013260756
batch5,tcn,41,6,70469,120883,0.5168828739955389,0.48459645255219486,0.6961524780159327
batch6,tcn,41,2,51084,89191,0.8033266286390408,0.881859724023841,0.9695372851520894
batch6,tcn,41,4,51084,89191,0.5339050629709536,0.570122647038101,0.7575652251908825
batch6,tcn,41,6,51084,89191,0.5167789195311004,0.4855898252117409,0.6949467995649785
batch0,tcn,42,2,77994,134469,0.8562015516991105,0.9199546933887635,0.979571499750872
batch0,tcn,42,4,77994,134469,0.6608797136977467,0.7338586647961955,0.8503298157939748
batch0,tcn,42,6,77994,134469,0.5281117844309086,0.4970913041984931,0.7139861231956808
batch1,tcn,42,2,81086,140767,0.8521786675689821,0.9171675299660575,0.9788444734916564
batch1,tcn,42,4,81086,140767,0.6509513144618477,0.7209376012111908,0.8427827544808087
batch1,tcn,42,6,81086,140767,0.5245867865818575,0.4908971783400407,0.7108129035924613
batch2,tcn,42,2,78310,135534,0.8629362762816037,0.9245676609763606,0.9807723523248779
batch2,tcn,42,4,78310,135534,0.6556456127670468,0.7251092764850713,0.8452491625717532
batch2,tcn,42,6,78310,135534,0.5258151903634167,0.49416031294488844,0.7114893679814659
batch3,tcn,42,2,75238,130996,0.862635504909062,0.9243546375833299,0.9807169684570521
batch3,tcn,42,4,75238,130996,0.664391611476653,0.7346196004238614,0.8511633943021161
batch3,tcn,42,6,75238,130996,0.530715167321706,0.4989950672186285,0.7159378912333201
batch4,tcn,42,2,67598,115336,0.874456869998469,0.9322414303407998,0.9827634043143512
batch4,tcn,42,4,67598,115336,0.6645882697324224,0.7337254942400966,0.8511566206561698
batch4,tcn,42,6,67598,115336,0.5301805267659883,0.4958156505826736,0.714971908163973
batch5,tcn,42,2,70469,120883,0.8693704780806231,0.9288773954417433,0.9818915811156242
batch5,tcn,42,4,70469,120883,0.6548272893009339,0.7208425615936263,0.842649504065915
batch5,tcn,42,6,70469,120883,0.5287829246914234,0.4973559806710524,0.7139796331990437
batch6,tcn,42,2,51084,89191,0.8672097980254121,0.9274560119533717,0.9815227993855883
batch6,tcn,42,4,51084,89191,0.6540475045569256,0.7185686548818846,0.8410041371887298
batch6,tcn,42,6,51084,89191,0.5216525077416192,0.4848931896757479,0.7048244778060566
batch0,tcn,43,2,77994,134469,0.8871440645833998,0.9405831922736115,0.9849184570421435
batch0,tcn,43,4,77994,134469,0.6992395103144522,0.7912177474203458,0.8872751340457652
batch0,tcn,43,6,77994,134469,0.5230432673974832,0.5130953913326541,0.689921097055827
batch1,tcn,43,2,81086,140767,0.8882243958179623,0.9412718602366716,0.9850959386788096
batch1,tcn,43,4,81086,140767,0.6893260519680975,0.7808358515065115,0.8816697095199869
batch1,tcn,43,6,81086,140767,0.5195335715254722,0.5078230905028674,0.6890535423785404
batch2,tcn,43,2,78310,135534,0.900363482946949,0.9489614306082991,0.9870733542874851
batch2,tcn,43,4,78310,135534,0.691433542487183,0.7816725294744961,0.8819853320937919
batch2,tcn,43,6,78310,135534,0.5186237574602781,0.5088149427557331,0.6886906606460371
batch3,tcn,43,2,75238,130996,0.9064201934469792,0.9526934216299813,0.9880301688601179
batch3,tcn,43,4,75238,130996,0.6986894481804415,0.7906104310703863,0.8872484656020031
batch3,tcn,43,6,75238,130996,0.5179820250159346,0.5056719972993994,0.6872499923661791
