site,config_a,config_b,side,population,feature,events,valid_feature_events,catalogue_events,matched_fraction,mean,q25,median,q75
hill,adaptive_corridor,endpoint_corridor_0.025,left,matched,duration_hours,5849,5849,8032,0.7282121513944223,0.7823559582834673,0.5,0.5,1.0
hill,adaptive_corridor,endpoint_corridor_0.025,left,matched,amplitude,5849,5849,8032,0.7282121513944223,0.00225953575794181,-0.3231473176375679,0.2009355274145154,0.3189067055522532
hill,adaptive_corridor,endpoint_corridor_0.025,left,matched,absolute_amplitude,5849,5849,8032,0.7282121513944223,0.35339921878138203,0.2527966927790987,0.3206078393908514,0.4180356763756794
hill,adaptive_corridor,endpoint_corridor_0.025,left,matched,power_range,5849,5849,8032,0.7282121513944223,0.3541957192237474,0.2543166406603827,0.3218493563887002,0.4182266014209692
hill,adaptive_corridor,endpoint_corridor_0.025,left,matched,power_start,5849,5849,8032,0.7282121513944223,0.5065460374064126,0.2984499635558197,0.4941886923969655,0.7086105744735054
hill,adaptive_corridor,endpoint_corridor_0.025,left,matched,upward_fraction,5849,5849,8032,0.7282121513944223,0.5024790562489314,0.0,1.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.025,left,matched,wind_prewindow_ms,5849,5849,8032,0.7282121513944223,9.148724226154833,7.403448303540548,8.894412835439049,10.582158486048382
hill,adaptive_corridor,endpoint_corridor_0.025,left,unmatched,duration_hours,2183,2183,8032,0.7282121513944223,2.0080164910673384,1.5,1.5,2.5
hill,adaptive_corridor,endpoint_corridor_0.025,left,unmatched,amplitude,2183,2183,8032,0.7282121513944223,-0.014062766843271936,-0.294386027239371,-0.2022641920006793,0.28245109668676405
hill,adaptive_corridor,endpoint_corridor_0.025,left,unmatched,absolute_amplitude,2183,2183,8032,0.7282121513944223,0.33082567445544186,0.2344594717716825,0.2884497158769248,0.38395773625028295
hill,adaptive_corridor,endpoint_corridor_0.025,left,unmatched,power_range,2183,2183,8032,0.7282121513944223,0.34156320362601744,0.24585708397022185,0.3011206138997838,0.3991976884482563
hill,adaptive_corridor,endpoint_corridor_0.025,left,unmatched,power_start,2183,2183,8032,0.7282121513944223,0.49180041801924573,0.2807227137468863,0.4848369830587636,0.6902420353543931
hill,adaptive_corridor,endpoint_corridor_0.025,left,unmatched,upward_fraction,2183,2183,8032,0.7282121513944223,0.4896930829134219,0.0,0.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.025,left,unmatched,wind_prewindow_ms,2183,2183,8032,0.7282121513944223,8.935363870419552,7.410929461320241,8.662071029345196,10.311050315697987
hill,adaptive_corridor,endpoint_corridor_0.025,right,matched,duration_hours,5849,5849,7740,0.7556847545219638,0.6241237818430501,0.5,0.5,0.5
hill,adaptive_corridor,endpoint_corridor_0.025,right,matched,amplitude,5849,5849,7740,0.7556847545219638,0.0041957432327926,-0.2856719705332881,0.2004643271625906,0.288858859297158
hill,adaptive_corridor,endpoint_corridor_0.025,right,matched,absolute_amplitude,5849,5849,7740,0.7556847545219638,0.3176046501671418,0.2375804248754529,0.2872643512228261,0.3717396346382473
hill,adaptive_corridor,endpoint_corridor_0.025,right,matched,power_range,5849,5849,7740,0.7556847545219638,0.3176046501671418,0.2375804248754529,0.2872643512228261,0.3717396346382473
hill,adaptive_corridor,endpoint_corridor_0.025,right,matched,power_start,5849,5849,7740,0.7556847545219638,0.5052869678482886,0.3058812149711277,0.4916015448086503,0.7022012992527173
hill,adaptive_corridor,endpoint_corridor_0.025,right,matched,upward_fraction,5849,5849,7740,0.7556847545219638,0.5024790562489314,0.0,1.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.025,right,matched,wind_prewindow_ms,5849,5849,7740,0.7556847545219638,9.150462098163628,7.403448303540548,8.901254177093502,10.600083589553833
hill,adaptive_corridor,endpoint_corridor_0.025,right,unmatched,duration_hours,1891,1891,7740,0.7556847545219638,0.6618191433104178,0.5,0.5,1.0
hill,adaptive_corridor,endpoint_corridor_0.025,right,unmatched,amplitude,1891,1891,7740,0.7556847545219638,-0.012205609035703537,-0.24677622808926344,-0.2021959741564764,0.24090265467546976
hill,adaptive_corridor,endpoint_corridor_0.025,right,unmatched,absolute_amplitude,1891,1891,7740,0.7556847545219638,0.26518462461502973,0.21801216236059215,0.2444033150050951,0.2903436986950859
hill,adaptive_corridor,endpoint_corridor_0.025,right,unmatched,power_range,1891,1891,7740,0.7556847545219638,0.26518462461502973,0.21801216236059215,0.2444033150050951,0.2903436986950859
hill,adaptive_corridor,endpoint_corridor_0.025,right,unmatched,power_start,1891,1891,7740,0.7556847545219638,0.5101894397709156,0.34158794679503507,0.510006890780684,0.6750752147729846
hill,adaptive_corridor,endpoint_corridor_0.025,right,unmatched,upward_fraction,1891,1891,7740,0.7556847545219638,0.48122686409307247,0.0,0.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.025,right,unmatched,wind_prewindow_ms,1891,1891,7740,0.7556847545219638,9.164266148320417,7.640231768290198,9.112720330556227,10.497141559918724
hill,adaptive_corridor,endpoint_corridor_0.050,left,matched,duration_hours,6563,6563,8032,0.8171065737051793,0.8746000304738687,0.5,0.5,1.0
hill,adaptive_corridor,endpoint_corridor_0.050,left,matched,amplitude,6563,6563,8032,0.8171065737051793,-0.0003235402017106631,-0.31933273536571555,-0.2001085541213768,0.31499450683593744
hill,adaptive_corridor,endpoint_corridor_0.050,left,matched,absolute_amplitude,6563,6563,8032,0.8171065737051793,0.35138638821264356,0.25116923456606655,0.3171261640908062,0.4160513504691745
hill,adaptive_corridor,endpoint_corridor_0.050,left,matched,power_range,6563,6563,8032,0.8171065737051793,0.35262233893941203,0.25306876362233915,0.3182903256623642,0.4165392043625099
hill,adaptive_corridor,endpoint_corridor_0.050,left,matched,power_start,6563,6563,8032,0.8171065737051793,0.5040946601714303,0.29387701725614246,0.4912726360818614,0.7052177539770154
hill,adaptive_corridor,endpoint_corridor_0.050,left,matched,upward_fraction,6563,6563,8032,0.8171065737051793,0.4997714459850678,0.0,0.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.050,left,matched,wind_prewindow_ms,6563,6563,8032,0.8171065737051793,9.109583558371579,7.383062779903414,8.834337870279949,10.533282528320946
hill,adaptive_corridor,endpoint_corridor_0.050,left,unmatched,duration_hours,1469,1469,8032,0.8171065737051793,2.191626957113683,1.5,2.0,2.5
hill,adaptive_corridor,endpoint_corridor_0.050,left,unmatched,amplitude,1469,1469,8032,0.8171065737051793,-0.01045582098491077,-0.2881396395918252,-0.200937110790308,0.2818665435348731
hill,adaptive_corridor,endpoint_corridor_0.050,left,unmatched,absolute_amplitude,1469,1469,8032,0.8171065737051793,0.32884657055749045,0.2329345349298007,0.2854922971863678,0.377781787817029
hill,adaptive_corridor,endpoint_corridor_0.050,left,unmatched,power_range,1469,1469,8032,0.8171065737051793,0.34245256963644166,0.2456511124320652,0.303530715721241,0.3971261685136436
hill,adaptive_corridor,endpoint_corridor_0.050,left,unmatched,power_start,1469,1469,8032,0.8171065737051793,0.4955853169646175,0.2898748381241508,0.4943743808027627,0.692249702785326
hill,adaptive_corridor,endpoint_corridor_0.050,left,unmatched,upward_fraction,1469,1469,8032,0.8171065737051793,0.49557522123893805,0.0,0.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.050,left,unmatched,wind_prewindow_ms,1469,1469,8032,0.8171065737051793,9.006528546162574,7.510259548823038,8.772473454475401,10.42511483033498
hill,adaptive_corridor,endpoint_corridor_0.050,right,matched,duration_hours,6563,6563,8585,0.7644729178800233,0.7416577784549748,0.5,0.5,1.0
hill,adaptive_corridor,endpoint_corridor_0.050,right,matched,amplitude,6563,6563,8585,0.7644729178800233,0.0020024787477439616,-0.30070831298828116,-0.2001085541213768,0.30175207165704254
hill,adaptive_corridor,endpoint_corridor_0.050,right,matched,absolute_amplitude,6563,6563,8585,0.7644729178800233,0.32883381500880626,0.24347306624702791,0.3011115386520607,0.38543260657269024
hill,adaptive_corridor,endpoint_corridor_0.050,right,matched,power_range,6563,6563,8585,0.7644729178800233,0.32883464069587515,0.24347306624702791,0.3011115386520607,0.38543260657269024
hill,adaptive_corridor,endpoint_corridor_0.050,right,matched,power_start,6563,6563,8585,0.7644729178800233,0.5021322919374808,0.2981770169907722,0.4894183172695878,0.7007811615432518
hill,adaptive_corridor,endpoint_corridor_0.050,right,matched,upward_fraction,6563,6563,8585,0.7644729178800233,0.4997714459850678,0.0,0.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.050,right,matched,wind_prewindow_ms,6563,6563,8585,0.7644729178800233,9.112930814046736,7.384201864401499,8.836399912834167,10.543881396452585
hill,adaptive_corridor,endpoint_corridor_0.050,right,unmatched,duration_hours,2022,2022,8585,0.7644729178800233,0.844213649851632,0.5,0.5,1.0
hill,adaptive_corridor,endpoint_corridor_0.050,right,unmatched,amplitude,2022,2022,8585,0.7644729178800233,-0.006586605633357297,-0.25226708343063575,-0.20110246879467064,0.24835726392441893
hill,adaptive_corridor,endpoint_corridor_0.050,right,unmatched,absolute_amplitude,2022,2022,8585,0.7644729178800233,0.27106209314378377,0.21985984912817025,0.24965332252391864,0.29969190956889713
hill,adaptive_corridor,endpoint_corridor_0.050,right,unmatched,power_range,2022,2022,8585,0.7644729178800233,0.2710687189402917,0.21985984912817025,0.24965332252391864,0.29969190956889713
hill,adaptive_corridor,endpoint_corridor_0.050,right,unmatched,power_start,2022,2022,8585,0.7644729178800233,0.49014303436958095,0.30852526015129644,0.48340108677960825,0.6673643427309782
hill,adaptive_corridor,endpoint_corridor_0.050,right,unmatched,upward_fraction,2022,2022,8585,0.7644729178800233,0.4930761622156281,0.0,0.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.050,right,unmatched,wind_prewindow_ms,2022,2022,8585,0.7644729178800233,8.996955878833635,7.425908118486403,8.918978651364643,10.375314752260845
hill,adaptive_corridor,endpoint_corridor_0.100,left,matched,duration_hours,7174,7174,8032,0.8931772908366534,1.0051575132422637,0.5,1.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.100,left,matched,amplitude,7174,7174,8032,0.8931772908366534,-0.004746240210012577,-0.32058715046315944,-0.20283065132472822,0.3155672731261321
hill,adaptive_corridor,endpoint_corridor_0.100,left,matched,absolute_amplitude,7174,7174,8032,0.8931772908366534,0.3525506373593731,0.2518624369303385,0.3179852095894191,0.4167879961539006
hill,adaptive_corridor,endpoint_corridor_0.100,left,matched,power_range,7174,7174,8032,0.8931772908366534,0.3545463490896984,0.2548302304917487,0.32058274642280904,0.4182850624858469
hill,adaptive_corridor,endpoint_corridor_0.100,left,matched,power_start,7174,7174,8032,0.8931772908366534,0.5058940350089193,0.29692822000254754,0.4943662118220675,0.706951094917629
hill,adaptive_corridor,endpoint_corridor_0.100,left,matched,upward_fraction,7174,7174,8032,0.8931772908366534,0.4930303875104544,0.0,0.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.100,left,matched,wind_prewindow_ms,7174,7174,8032,0.8931772908366534,9.119504255141127,7.4289814233779925,8.848290999730427,10.529723157485328
hill,adaptive_corridor,endpoint_corridor_0.100,left,unmatched,duration_hours,858,858,8032,0.8931772908366534,2.037878787878788,1.0,1.5,2.5
hill,adaptive_corridor,endpoint_corridor_0.100,left,unmatched,amplitude,858,858,8032,0.8931772908366534,0.019308312233064364,-0.2597756692637568,0.2075805708290874,0.26344268356544387
hill,adaptive_corridor,endpoint_corridor_0.100,left,unmatched,absolute_amplitude,858,858,8032,0.8931772908366534,0.30306084565546726,0.22279254858044603,0.26255400173905963,0.33778428229732793
hill,adaptive_corridor,endpoint_corridor_0.100,left,unmatched,power_range,858,858,8032,0.8931772908366534,0.3191232248086216,0.231326905955439,0.27927120485167567,0.3647350535185441
hill,adaptive_corridor,endpoint_corridor_0.100,left,unmatched,power_start,858,858,8032,0.8931772908366534,0.4744805106901324,0.273656649382218,0.4725550156745357,0.6754143756368887
hill,adaptive_corridor,endpoint_corridor_0.100,left,unmatched,upward_fraction,858,858,8032,0.8931772908366534,0.548951048951049,0.0,1.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.100,left,unmatched,wind_prewindow_ms,858,858,8032,0.8931772908366534,8.850190910866026,7.231803258260092,8.637512922286989,10.31762250264486
hill,adaptive_corridor,endpoint_corridor_0.100,right,matched,duration_hours,7174,7174,8952,0.8013851653261841,0.9761639252857541,0.5,1.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.100,right,matched,amplitude,7174,7174,8952,0.8013851653261841,-0.004835645266723049,-0.32667514966881794,-0.203386932041334,0.3206445539170417
hill,adaptive_corridor,endpoint_corridor_0.100,right,matched,absolute_amplitude,7174,7174,8952,0.8013851653261841,0.3531960466510334,0.2568345796889152,0.32378109061199684,0.41745229527570205
hill,adaptive_corridor,endpoint_corridor_0.100,right,matched,power_range,7174,7174,8952,0.8013851653261841,0.35364485877027324,0.2576173599906589,0.3240357926963032,0.41751715618631113
hill,adaptive_corridor,endpoint_corridor_0.100,right,matched,power_start,7174,7174,8952,0.8013851653261841,0.5054779415066257,0.2942352825662364,0.4943662118220675,0.7074279829384624
hill,adaptive_corridor,endpoint_corridor_0.100,right,matched,upward_fraction,7174,7174,8952,0.8013851653261841,0.4930303875104544,0.0,0.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.100,right,matched,wind_prewindow_ms,7174,7174,8952,0.8013851653261841,9.120502692091566,7.429980556170146,8.845097025235496,10.532776723305382
hill,adaptive_corridor,endpoint_corridor_0.100,right,unmatched,duration_hours,1778,1778,8952,0.8013851653261841,1.2857142857142858,0.5,1.0,1.5
hill,adaptive_corridor,endpoint_corridor_0.100,right,unmatched,amplitude,1778,1778,8952,0.8013851653261841,0.016443283782322654,-0.2552340128801871,0.20491252512171648,0.26604182920594144
hill,adaptive_corridor,endpoint_corridor_0.100,right,unmatched,absolute_amplitude,1778,1778,8952,0.8013851653261841,0.2877982532844559,0.22319980289625088,0.2619837929545969,0.322334762794384
hill,adaptive_corridor,endpoint_corridor_0.100,right,unmatched,power_range,1778,1778,8952,0.8013851653261841,0.28908445088073814,0.2245497877701469,0.2639348922950633,0.3237529085684513
hill,adaptive_corridor,endpoint_corridor_0.100,right,unmatched,power_start,1778,1778,8952,0.8013851653261841,0.46526079131590714,0.27622331923332766,0.447871385657269,0.655123268901438
hill,adaptive_corridor,endpoint_corridor_0.100,right,unmatched,upward_fraction,1778,1778,8952,0.8013851653261841,0.5281214848143982,0.0,1.0,1.0
hill,adaptive_corridor,endpoint_corridor_0.100,right,unmatched,wind_prewindow_ms,1778,1778,8952,0.8013851653261841,8.792850565610864,7.211087703704831,8.627565483252209,10.109174539645513
hill,adaptive_corridor,financial_tail_1h,left,matched,duration_hours,1598,1598,8032,0.19895418326693226,1.0206508135168961,0.5,1.0,1.0
hill,adaptive_corridor,financial_tail_1h,left,matched,amplitude,1598,1598,8032,0.19895418326693226,-0.031506515309171076,-0.3976106903518455,-0.22654869245446246,0.3636110388714334
hill,adaptive_corridor,financial_tail_1h,left,matched,absolute_amplitude,1598,1598,8032,0.19895418326693226,0.40734733867051925,0.299763827116593,0.3837734990880109,0.49278192354285194
hill,adaptive_corridor,financial_tail_1h,left,matched,power_range,1598,1598,8032,0.19895418326693226,0.40813003208343557,0.3009129908464957,0.38438459976859707,0.49278192354285194
hill,adaptive_corridor,financial_tail_1h,left,matched,power_start,1598,1598,8032,0.19895418326693226,0.5419607700281146,0.3133254286171734,0.5349814417742301,0.7888754405146059
hill,adaptive_corridor,financial_tail_1h,left,matched,upward_fraction,1598,1598,8032,0.19895418326693226,0.4693366708385482,0.0,0.0,1.0
hill,adaptive_corridor,financial_tail_1h,left,matched,wind_prewindow_ms,1598,1598,8032,0.19895418326693226,9.480977139114389,7.9254745940367375,9.323882937431335,10.830586661895117
hill,adaptive_corridor,financial_tail_1h,left,unmatched,duration_hours,6434,6434,8032,0.19895418326693226,1.139027043829655,0.5,1.0,1.5
hill,adaptive_corridor,financial_tail_1h,left,unmatched,amplitude,6434,6434,8032,0.19895418326693226,0.005107929141031143,-0.2963432533153589,0.20156464507614347,0.29605823682702104
hill,adaptive_corridor,financial_tail_1h,left,unmatched,absolute_amplitude,6434,6434,8032,0.19895418326693226,0.33234122331256505,0.240881834168365,0.29621226987976956,0.3877031740934952
hill,adaptive_corridor,financial_tail_1h,left,unmatched,power_range,6434,6434,8032,0.19895418326693226,0.33651405719396393,0.24557497770889955,0.30156721032184114,0.3916845913209776
hill,adaptive_corridor,financial_tail_1h,left,unmatched,power_start,6434,6434,8032,0.19895418326693226,0.49274708965203506,0.2888144318953804,0.48103004344995465,0.6873583055579144
hill,adaptive_corridor,financial_tail_1h,left,unmatched,upward_fraction,6434,6434,8032,0.19895418326693226,0.506372396642835,0.0,1.0,1.0
hill,adaptive_corridor,financial_tail_1h,left,unmatched,wind_prewindow_ms,6434,6434,8032,0.19895418326693226,8.99381191476542,7.298134783903759,8.70568249622981,10.416890611251198
hill,adaptive_corridor,financial_tail_1h,right,matched,duration_hours,1598,1598,2177,0.7340376665135507,1.141113892365457,1.0,1.0,1.0
hill,adaptive_corridor,financial_tail_1h,right,matched,amplitude,1598,1598,2177,0.7340376665135507,-0.027921949716718034,-0.3989185671875442,-0.23112188366876124,0.37209813629371535
hill,adaptive_corridor,financial_tail_1h,right,matched,absolute_amplitude,1598,1598,2177,0.7340376665135507,0.41716340412309694,0.3090191058836122,0.3849579078563745,0.5017559416397758
hill,adaptive_corridor,financial_tail_1h,right,matched,power_range,1598,1598,2177,0.7340376665135507,0.4232530580750421,0.3154288427380547,0.39428601029990384,0.5104791478143221
hill,adaptive_corridor,financial_tail_1h,right,matched,power_start,1598,1598,2177,0.7340376665135507,0.5413156959659848,0.30606461234714677,0.5320678091740263,0.7931750665194747
hill,adaptive_corridor,financial_tail_1h,right,matched,upward_fraction,1598,1598,2177,0.7340376665135507,0.4693366708385482,0.0,0.0,1.0
hill,adaptive_corridor,financial_tail_1h,right,matched,wind_prewindow_ms,1598,1598,2177,0.7340376665135507,9.493952760845113,7.924691567818322,9.334037741025288,10.85010201732318
hill,adaptive_corridor,financial_tail_1h,right,unmatched,duration_hours,579,579,2177,0.7340376665135507,1.4015544041450778,1.0,1.5,1.5
hill,adaptive_corridor,financial_tail_1h,right,unmatched,amplitude,579,579,2177,0.7340376665135507,-0.049853846715665166,-0.39509445853855296,-0.1702394878000453,0.30307254957116164
hill,adaptive_corridor,financial_tail_1h,right,unmatched,absolute_amplitude,579,579,2177,0.7340376665135507,0.3924323132171735,0.2351259889464447,0.3483466195369112,0.5342949908712636
hill,adaptive_corridor,financial_tail_1h,right,unmatched,power_range,579,579,2177,0.7340376665135507,0.42337194426701674,0.25341643623683763,0.381119039784307,0.5686010631616565
hill,adaptive_corridor,financial_tail_1h,right,unmatched,power_start,579,579,2177,0.7340376665135507,0.5500795105647595,0.2716568413333616,0.5378388424196106,0.8380239116281702
hill,adaptive_corridor,financial_tail_1h,right,unmatched,upward_fraction,579,579,2177,0.7340376665135507,0.4680483592400691,0.0,0.0,1.0
hill,adaptive_corridor,financial_tail_1h,right,unmatched,wind_prewindow_ms,579,579,2177,0.7340376665135507,9.714709833804807,7.4953920443852695,9.45456767082214,11.597687840461733
hill,adaptive_corridor,financial_tail_2h,left,matched,duration_hours,577,577,8032,0.07183764940239044,1.6516464471403813,1.0,1.5,2.0
hill,adaptive_corridor,financial_tail_2h,left,matched,amplitude,577,577,8032,0.07183764940239044,-0.02485609999125309,-0.426652142068614,-0.2126354892012001,0.3862876825747283
hill,adaptive_corridor,financial_tail_2h,left,matched,absolute_amplitude,577,577,8032,0.07183764940239044,0.43495923734958636,0.320817623414855,0.4023506850090579,0.5268215234728827
hill,adaptive_corridor,financial_tail_2h,left,matched,power_range,577,577,8032,0.07183764940239044,0.43828286925230026,0.32663598102072,0.4096358235677084,0.5272960629670516
hill,adaptive_corridor,financial_tail_2h,left,matched,power_start,577,577,8032,0.07183764940239044,0.5240796082356298,0.2621959299281023,0.5264054185065671,0.7694647659080617
hill,adaptive_corridor,financial_tail_2h,left,matched,upward_fraction,577,577,8032,0.07183764940239044,0.49220103986135183,0.0,0.0,1.0
hill,adaptive_corridor,financial_tail_2h,left,matched,wind_prewindow_ms,577,577,8032,0.07183764940239044,9.221119370782809,7.797370473543804,9.123334328333538,10.36129887898763
hill,adaptive_corridor,financial_tail_2h,left,unmatched,duration_hours,7455,7455,8032,0.07183764940239044,1.0739771965124079,0.5,1.0,1.5
hill,adaptive_corridor,financial_tail_2h,left,unmatched,amplitude,7455,7455,8032,0.07183764940239044,-0.0004213314118991239,-0.30828564630038496,-0.2002943597323653,0.30301748192828626
hill,adaptive_corridor,financial_tail_2h,left,unmatched,absolute_amplitude,7455,7455,8032,0.07183764940239044,0.34047659262747443,0.24489643483922094,0.3051869887199954,0.4004657712190048
hill,adaptive_corridor,financial_tail_2h,left,unmatched,power_range,7455,7455,8032,0.07183764940239044,0.343988466760123,0.2483907815684443,0.3094694894984148,0.4044121960626132
hill,adaptive_corridor,financial_tail_2h,left,unmatched,power_start,7455,7455,8032,0.07183764940239044,0.5008711135310747,0.29387701725614246,0.4902879974807518,0.6981223905259284
hill,adaptive_corridor,financial_tail_2h,left,unmatched,upward_fraction,7455,7455,8032,0.07183764940239044,0.49953051643192486,0.0,0.0,1.0
hill,adaptive_corridor,financial_tail_2h,left,unmatched,wind_prewindow_ms,7455,7455,8032,0.07183764940239044,9.080644057808694,7.382589697837831,8.811146934827171,10.508608380953468
hill,adaptive_corridor,financial_tail_2h,right,matched,duration_hours,577,577,1467,0.3933197000681663,2.300693240901213,2.0,2.0,2.5
hill,adaptive_corridor,financial_tail_2h,right,matched,amplitude,577,577,1467,0.3933197000681663,-0.025460718152296256,-0.4733690422168676,-0.1980547211135643,0.4267952031674592
hill,adaptive_corridor,financial_tail_2h,right,matched,absolute_amplitude,577,577,1467,0.3933197000681663,0.45929860432667236,0.3497890571925951,0.4454543050130208,0.5509790547688802
hill,adaptive_corridor,financial_tail_2h,right,matched,power_range,577,577,1467,0.3933197000681663,0.49668030139924624,0.3837567238185717,0.4807842840664628,0.5887173683055933
hill,adaptive_corridor,financial_tail_2h,right,matched,power_start,577,577,1467,0.3933197000681663,0.5241452487837955,0.2628143929744112,0.538646240234375,0.7693253580729167
hill,adaptive_corridor,financial_tail_2h,right,matched,upward_fraction,577,577,1467,0.3933197000681663,0.48873483535528595,0.0,0.0,1.0
hill,adaptive_corridor,financial_tail_2h,right,matched,wind_prewindow_ms,577,577,1467,0.3933197000681663,9.265866466886662,7.91223172346751,9.099243720372517,10.462214867273964
hill,adaptive_corridor,financial_tail_2h,right,unmatched,duration_hours,890,890,1467,0.3933197000681663,2.843258426966292,2.0,2.5,3.5
hill,adaptive_corridor,financial_tail_2h,right,unmatched,amplitude,890,890,1467,0.3933197000681663,-0.06208443250902273,-0.5210183450450069,-0.2587545068713201,0.42026248544886496
hill,adaptive_corridor,financial_tail_2h,right,unmatched,absolute_amplitude,890,890,1467,0.3933197000681663,0.4931659704297902,0.3504525270323823,0.48564811485401094,0.62959818618885
hill,adaptive_corridor,financial_tail_2h,right,unmatched,power_range,890,890,1467,0.3933197000681663,0.5637907555929866,0.4240909139660822,0.5632751774442368,0.703476907481318
hill,adaptive_corridor,financial_tail_2h,right,unmatched,power_start,890,890,1467,0.3933197000681663,0.5568121998801602,0.2756137693101081,0.5601233971637228,0.8695235498400702
hill,adaptive_corridor,financial_tail_2h,right,unmatched,upward_fraction,890,890,1467,0.3933197000681663,0.4606741573033708,0.0,0.0,1.0
hill,adaptive_corridor,financial_tail_2h,right,unmatched,wind_prewindow_ms,890,890,1467,0.3933197000681663,10.002106127957726,7.93042267362277,9.660141905148823,11.796972960233688
hill,adaptive_corridor,financial_tail_4h,left,matched,duration_hours,138,138,8032,0.017181274900398405,3.0543478260869565,2.0,3.0,3.5
hill,adaptive_corridor,financial_tail_4h,left,matched,amplitude,138,138,8032,0.017181274900398405,-0.023657512652275572,-0.38637292972509407,-0.0014521667922753057,0.3486638812742371
hill,adaptive_corridor,financial_tail_4h,left,matched,absolute_amplitude,138,138,8032,0.017181274900398405,0.39653953848654316,0.2720216524428216,0.3606244819751684,0.4760278187627378
hill,adaptive_corridor,financial_tail_4h,left,matched,power_range,138,138,8032,0.017181274900398405,0.4130066779315334,0.28707400943921957,0.3832547113169794,0.4784164622210075
hill,adaptive_corridor,financial_tail_4h,left,matched,power_start,138,138,8032,0.017181274900398405,0.5029849411824802,0.259234079554461,0.5237556214263474,0.7350243831026381
hill,adaptive_corridor,financial_tail_4h,left,matched,upward_fraction,138,138,8032,0.017181274900398405,0.5,0.0,0.5,1.0
hill,adaptive_corridor,financial_tail_4h,left,matched,wind_prewindow_ms,138,138,8032,0.017181274900398405,8.806295434489916,7.291082044442499,8.654539942741394,9.916286418835321
hill,adaptive_corridor,financial_tail_4h,left,unmatched,duration_hours,7894,7894,8032,0.017181274900398405,1.081580947555105,0.5,1.0,1.5
