site,config,candidate_events,matched_events,coverage,unmatched_events,matched_duration_hours_median,unmatched_duration_hours_median,matched_amplitude_median,unmatched_amplitude_median,matched_power_range_median,unmatched_power_range_median,matched_power_start_median,unmatched_power_start_median,matched_direction_median,unmatched_direction_median
hill,adaptive_corridor,8032,7979,0.9934013944223108,53,1.0,3.0,-0.2005377462635869,0.2090128757642663,0.3165921153192935,0.254065082937047,0.4922318699048913,0.4481832841513813,-1.0,1.0
hill,endpoint_corridor_0.025,7740,7628,0.9855297157622739,112,0.5,0.5,-0.2004862821274909,-0.20445841029070427,0.27470290916553447,0.24510109500608573,0.49505873528079714,0.5290500607697861,-1.0,-1.0
hill,endpoint_corridor_0.050,8585,8551,0.996039603960396,34,0.5,1.5,-0.2005144511789515,0.2020751079614611,0.2850786778546762,0.22394587475320565,0.4888472316576087,0.30501245913298236,-1.0,1.0
hill,endpoint_corridor_0.100,8952,8874,0.9912868632707775,78,1.0,1.5,9.199501811996136e-07,0.00014990765115491245,0.31037205350571784,0.2294553143045176,0.4853966489045516,0.3754274075273154,0.0,0.0
hill,financial_tail_1h,2177,2126,0.9765732659623335,51,1.0,1.0,-0.2197433781278305,0.1040157318115234,0.3961589763475501,0.1750323309414628,0.5345174618043762,0.3990796340721241,-1.0,1.0
hill,financial_tail_2h,1467,1457,0.9931833674164963,10,2.5,2.0,-0.2485436215608016,-0.11223254549330555,0.5290985682390739,0.179235434324845,0.5487063731317935,0.2154613771300385,-1.0,-1.0
hill,financial_tail_4h,1091,1078,0.9880843263061412,13,5.0,4.0,-0.2432888860287873,-0.1771511796591938,0.6424904328498288,0.2415614031363225,0.530712943699049,0.6438923092164855,-1.0,-1.0
hill,mean_shift_1h,4526,4524,0.9995581087052585,2,2.0,2.5,0.03735071818033845,-0.3566838184301404,0.43242980072463755,0.6183005512624548,0.4989811330601789,0.7779876797441123,1.0,0.0
hill,mean_shift_2h,2660,2625,0.9868421052631579,35,4.5,8.5,0.0038666921422101,0.214073508442312,0.6014086604463881,0.7857316965296649,0.4870530457427536,0.486030759949615,1.0,1.0
hill,mean_shift_4h,1328,1209,0.9103915662650602,119,10.5,17.0,-0.0108698527018229,0.1263917508332625,0.7350726981784986,0.8222700699515963,0.4293882773579031,0.4542691526551177,-1.0,1.0
hill,opsda_cui2015_1h_0.025,3665,3665,1.0,0,1.0,,0.2029122349835824,,0.3262995711616847,,0.510998968594316,,1.0,
hill,opsda_cui2015_2h_0.025,6774,6774,1.0,0,1.5,,0.2024416848887567,,0.3505860635508661,,0.4942342078167459,,1.0,
hill,opsda_cui2015_4h_0.025,9953,9279,0.9322817241032855,674,2.0,3.0,0.2015679843183876,0.200512058423913,0.3843539959451427,0.3448582745980525,0.4883032624617867,0.4783428424337635,1.0,1.0
hill,sda_florita2013_0.025,5315,5309,0.9988711194731891,6,1.0,6.25,0.2013858164911685,-0.2911814725571784,0.3253447336390398,0.2953929337211276,0.4953258215862772,0.9958918917006341,1.0,-1.0
hill,threshold_1h,7040,6994,0.993465909090909,46,1.0,1.0,0.1923415905496348,0.2039086239579795,0.3424236242321954,0.21917036858157835,0.48183929001075637,0.3683645541426064,1.0,1.0
