site,config_a,config_b,pairs,left_candidates,right_candidates,left_coverage,right_coverage,mean_iou,iou_ge_030,iou_ge_050,iou_ge_070
hill,adaptive_corridor,endpoint_corridor_0.025,5849,8032,7740,0.7282121513944223,0.7556847545219638,0.8615559029219484,1.0,1.0,0.7103778423662165
hill,adaptive_corridor,endpoint_corridor_0.050,6563,8032,8585,0.8171065737051793,0.7644729178800233,0.8779286959844632,1.0,1.0,0.7440195032759409
hill,adaptive_corridor,endpoint_corridor_0.100,7174,8032,8952,0.8931772908366534,0.8013851653261841,0.9019552583822499,1.0,1.0,0.7992751603010873
hill,adaptive_corridor,financial_tail_1h,1598,8032,2177,0.19895418326693226,0.7340376665135507,0.7441176470588234,1.0,1.0,0.42803504380475593
hill,adaptive_corridor,financial_tail_2h,577,8032,1467,0.07183764940239044,0.3933197000681663,0.6534056834750075,1.0,1.0,0.3830155979202773
hill,adaptive_corridor,financial_tail_4h,138,8032,1091,0.017181274900398405,0.12648945921173235,0.6161505528193508,1.0,1.0,0.26811594202898553
hill,adaptive_corridor,mean_shift_1h,2283,8032,4526,0.28423804780876494,0.5044189129474149,0.6764153170526364,1.0,1.0,0.3280770915462111
hill,adaptive_corridor,mean_shift_2h,298,8032,2660,0.03710159362549801,0.11203007518796992,0.6260686005387525,1.0,1.0,0.29194630872483224
hill,adaptive_corridor,mean_shift_4h,14,8032,1328,0.0017430278884462151,0.010542168674698794,0.6641208836006491,1.0,1.0,0.35714285714285715
hill,adaptive_corridor,opsda_cui2015_1h_0.025,2700,8032,3665,0.33615537848605576,0.7366984993178718,0.6341975308641976,1.0,1.0,0.22333333333333333
hill,adaptive_corridor,opsda_cui2015_2h_0.025,3804,8032,6774,0.47360557768924305,0.5615589016829052,0.6568299033598718,1.0,1.0,0.305993690851735
hill,adaptive_corridor,opsda_cui2015_4h_0.025,3998,8032,9953,0.4977589641434263,0.4016879332864463,0.6723356551458102,1.0,1.0,0.35117558779389696
hill,adaptive_corridor,sda_florita2013_0.025,3543,8032,5315,0.4411105577689243,0.6666039510818439,0.6556901827435273,1.0,1.0,0.270956816257409
hill,adaptive_corridor,threshold_1h,4671,8032,7040,0.5815488047808764,0.6634943181818181,0.7395941013956429,1.0,1.0,0.4258188824662813
hill,adaptive_corridor,threshold_2h,1700,8032,5402,0.21165338645418327,0.31469825990373934,0.6709935521994345,1.0,1.0,0.4088235294117647
hill,adaptive_corridor,threshold_4h,257,8032,3280,0.031997011952191234,0.07835365853658537,0.6252045245007021,1.0,1.0,0.2801556420233463
