window,validation_f1,validation_precision,test_f1,selected_by_validation
1,0.2810810810810811,0.3058823529411765,0.3213070115724983,False
2,0.4748858447488584,0.4369747899159664,0.43411764705882355,False
3,0.5879629629629629,0.5474137931034483,0.5166569257744009,False
4,0.5989304812834224,0.6436781609195402,0.5839721254355401,False
5,0.6814814814814815,0.6731707317073171,0.6255293405928615,True
6,0.6649214659685864,0.6978021978021978,0.6455026455026455,False
8,0.592797783933518,0.6645962732919255,0.5462184873949579,False
10,0.5637860082304527,0.479020979020979,0.5232974910394266,False
12,0.5553470919324578,0.4444444444444444,0.549625468164794,False
16,0.4989429175475687,0.43223443223443225,0.4960169941582581,False
24,0.28444444444444444,0.256,0.2705422023476803,False
32,0.18,0.135,0.165,False
