model,seed,policy,tp,fp,fn,precision,recall,f1,mean_delay_steps,sequences,truth_events
mean_rule,0,source_frozen,622,1852,178,0.2514147130153597,0.7775,0.37996334758704947,0.07556270096463022,1600,800
mean_rule,0,target_validation,517,336,283,0.6060961313012896,0.64625,0.6255293405928615,1.6054158607350097,1600,800
timesnet,41,source_frozen,459,374,341,0.5510204081632653,0.57375,0.5621555419473362,3.3877995642701526,1600,800
timesnet,41,target_validation,436,283,364,0.6063977746870653,0.545,0.5740618828176431,3.291284403669725,1600,800
timesnet,42,source_frozen,407,342,393,0.5433911882510013,0.50875,0.525500322788896,2.9754299754299756,1600,800
timesnet,42,target_validation,440,283,360,0.6085753803596127,0.55,0.5778069599474721,3.2636363636363637,1600,800
timesnet,43,source_frozen,382,287,418,0.5710014947683109,0.4775,0.5200816882232812,2.8010471204188483,1600,800
timesnet,43,target_validation,421,291,379,0.5912921348314607,0.52625,0.5568783068783069,3.0641330166270784,1600,800
kanad,41,source_frozen,692,424,108,0.6200716845878136,0.865,0.7223382045929019,1.5520231213872833,1600,800
kanad,41,target_validation,609,112,191,0.8446601941747572,0.76125,0.8007889546351085,2.1559934318555007,1600,800
kanad,42,source_frozen,657,467,143,0.5845195729537367,0.82125,0.682952182952183,1.6484018264840183,1600,800
kanad,42,target_validation,576,126,224,0.8205128205128205,0.72,0.7669773635153129,2.0347222222222223,1600,800
kanad,43,source_frozen,562,815,238,0.4081336238198983,0.7025,0.5163068442811208,1.6637010676156583,1600,800
kanad,43,target_validation,482,320,318,0.600997506234414,0.6025,0.6017478152309613,2.224066390041494,1600,800
tcn_ae,41,source_frozen,630,730,170,0.4632352941176471,0.7875,0.5833333333333334,1.1571428571428573,1600,800
tcn_ae,41,target_validation,418,64,382,0.8672199170124482,0.5225,0.6521060842433697,3.3301435406698565,1600,800
tcn_ae,42,source_frozen,629,766,171,0.45089605734767024,0.78625,0.5731207289293849,1.0763116057233704,1600,800
tcn_ae,42,target_validation,550,344,250,0.6152125279642058,0.6875,0.6493506493506493,2.3836363636363638,1600,800
tcn_ae,43,source_frozen,634,746,166,0.45942028985507244,0.7925,0.581651376146789,1.2649842271293374,1600,800
tcn_ae,43,target_validation,416,52,384,0.8888888888888888,0.52,0.6561514195583596,3.3365384615384617,1600,800
transformer_ae,41,source_frozen,622,1034,178,0.3756038647342995,0.7775,0.506514657980456,0.6977491961414791,1600,800
transformer_ae,41,target_validation,432,110,368,0.7970479704797048,0.54,0.6438152011922503,3.0208333333333335,1600,800
transformer_ae,42,source_frozen,627,1116,173,0.35972461273666095,0.78375,0.49311836413684623,0.4433811802232855,1600,800
transformer_ae,42,target_validation,410,157,390,0.7231040564373897,0.5125,0.5998536942209217,2.9926829268292683,1600,800
transformer_ae,43,source_frozen,645,1326,155,0.3272450532724505,0.80625,0.4655359076145796,0.7007751937984497,1600,800
transformer_ae,43,target_validation,418,119,382,0.7783985102420856,0.5225,0.62528047868362,2.9043062200956937,1600,800
