model,policy,f1,f1_sd,precision,recall,seeds
kanad,source_frozen,0.6405324106087352,0.10937005153255248,0.5375749604538161,0.79625,3
kanad,target_validation,0.7231713777937943,0.10650618330688931,0.7553901736406639,0.6945833333333334,3
mean_rule,source_frozen,0.37996334758704947,,0.2514147130153597,0.7775,1
mean_rule,target_validation,0.6255293405928615,,0.6060961313012896,0.64625,1
tcn_ae,source_frozen,0.5793684794698357,0.005475676680203078,0.45785054710679657,0.78875,3
tcn_ae,target_validation,0.6525360510507929,0.0034207122717548597,0.7904404446218476,0.5766666666666667,3
timesnet,source_frozen,0.5359125176531712,0.0228880458584175,0.5551376970608591,0.52,3
timesnet,target_validation,0.5695823832144741,0.011160267350895503,0.6020884299593795,0.5404166666666668,3
transformer_ae,source_frozen,0.48838964324396056,0.020894618837138775,0.35419117691447033,0.7891666666666666,3
transformer_ae,target_validation,0.6229831246989307,0.022070611688301017,0.7661835123863933,0.525,3
