site,model,training,seed,case,oracle_operating_cny_per_installed_mw,online_operating_cny_per_installed_mw
pizhou,tcn,mse,41,base,16083.34198690855,16085.14767497561
pizhou,tcn,mse,41,high,30833.047780713227,30833.04778071322
pizhou,tcn,mse,42,base,16875.254813594547,16876.088069926573
pizhou,tcn,mse,42,high,32410.181444969887,32410.181444969843
pizhou,tcn,mse,43,base,16226.788474317893,16228.64143257184
pizhou,tcn,mse,43,high,31106.666645757814,31106.666645757756
pizhou,tcn,event_weighted,41,base,23260.00906280464,23265.8057453995
pizhou,tcn,event_weighted,41,high,45383.5214768114,45383.5214768114
pizhou,tcn,event_weighted,42,base,25403.211584808345,25409.00826740313
pizhou,tcn,event_weighted,42,high,49656.39184758963,49656.39184758949
pizhou,tcn,event_weighted,43,base,17676.567866749723,17677.27096047542
pizhou,tcn,event_weighted,43,high,34119.19044212979,34119.19044212976
pizhou,timesnet,mse,41,base,15211.545704536638,15212.350907653019
pizhou,timesnet,mse,41,high,29118.798694124474,29118.79869412445
pizhou,timesnet,mse,42,base,15737.67328059502,15739.046847035717
pizhou,timesnet,mse,42,high,30086.501785548146,30086.501785548084
pizhou,timesnet,mse,43,base,15335.992107319902,15337.173638091826
pizhou,timesnet,mse,43,high,29314.231876213053,29314.231876212994
pizhou,timesnet,event_weighted,41,base,18586.14165084693,18588.558237184658
pizhou,timesnet,event_weighted,41,high,35835.627853068945,35835.627853068974
pizhou,timesnet,event_weighted,42,base,17985.57109021755,17987.764549616095
pizhou,timesnet,event_weighted,42,high,34760.50836103284,34760.50836103287
pizhou,timesnet,event_weighted,43,base,17784.30112115474,17788.140747466805
pizhou,timesnet,event_weighted,43,high,34269.91756817667,34269.91756817665
yandun,tcn,mse,41,base,9412.779654292639,9418.576336887483
yandun,tcn,mse,41,high,18229.824744464124,18229.824744464124
yandun,tcn,mse,42,base,9426.466708841066,9432.263391435905
yandun,tcn,mse,42,high,18267.99917162315,18267.999171623134
yandun,tcn,mse,43,base,7890.6209039409205,7896.417586535773
yandun,tcn,mse,43,high,15172.012800478165,15172.012800478173
yandun,tcn,event_weighted,41,base,13435.740635800155,13441.537318394992
yandun,tcn,event_weighted,41,high,26377.079076046713,26377.079076046695
yandun,tcn,event_weighted,42,base,13359.816381804341,13365.613064399198
yandun,tcn,event_weighted,42,high,26236.530410174713,26236.53041017473
yandun,tcn,event_weighted,43,base,14079.501122965055,14085.297805559898
yandun,tcn,event_weighted,43,high,27691.423765192325,27691.42376519231
yandun,timesnet,mse,41,base,6271.980903900129,6277.777586494981
yandun,timesnet,mse,41,high,11876.567360947884,11876.567360947882
yandun,timesnet,mse,42,base,7133.900267794875,7139.69695038972
yandun,timesnet,mse,42,high,13616.855237204069,13616.855237204067
yandun,timesnet,mse,43,base,6153.219289114102,6159.015971708955
yandun,timesnet,mse,43,high,11657.495395761822,11657.49539576183
yandun,timesnet,event_weighted,41,base,9211.615983297945,9217.412665892785
yandun,timesnet,event_weighted,41,high,17787.963073836694,17787.963073836687
yandun,timesnet,event_weighted,42,base,9372.510467766178,9378.307150361024
yandun,timesnet,event_weighted,42,high,18125.83346981867,18125.833469818663
yandun,timesnet,event_weighted,43,base,7668.902046269405,7674.698728864256
yandun,timesnet,event_weighted,43,high,14741.14043504133,14741.140435041332
