condition,window,original_candidate,validation_f1,frozen_test_f1,frozen_precision,frozen_recall,oracle_test_f1,oracle_precision,oracle_recall,frozen_config,oracle_config
same_family,1,False,0.49246231155778897,0.44766708701134933,0.45165394402035625,0.44375,0.44766708701134933,0.45165394402035625,0.44375,"{""threshold"": 0.05152656912803649, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}","{""threshold"": 0.05152656912803649, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}"
same_family,2,True,0.6265060240963856,0.5625374027528426,0.539609644087256,0.5875,0.5659050966608085,0.5325248070562293,0.60375,"{""threshold"": 0.06431833893060679, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}","{""threshold"": 0.06226858019828796, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}"
same_family,3,False,0.6779661016949152,0.6388028895768834,0.5439367311072056,0.77375,0.6435801811401172,0.5608170844939647,0.755,"{""threshold"": 0.0562417015433311, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}","{""threshold"": 0.058750477433204495, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
same_family,4,True,0.7738693467336684,0.7323943661971831,0.7178871548619448,0.7475,0.7323943661971831,0.7178871548619448,0.7475,"{""threshold"": 0.07176654972136018, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}","{""threshold"": 0.07176654972136018, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
same_family,5,False,0.7626666666666667,0.7285714285714285,0.7581081081081081,0.70125,0.7285714285714285,0.7581081081081081,0.70125,"{""threshold"": 0.0873720455169674, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}","{""threshold"": 0.0873720455169674, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
same_family,6,False,0.7193460490463215,0.6983914209115282,0.7528901734104047,0.65125,0.6983914209115282,0.7528901734104047,0.65125,"{""threshold"": 0.10218035057187057, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}","{""threshold"": 0.10218035057187057, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
same_family,8,True,0.7008547008547008,0.6939632545931759,0.5981900452488688,0.82625,0.720175920835624,0.6427870461236507,0.81875,"{""threshold"": 0.05287126041948794, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}","{""threshold"": 0.056049232184886964, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
same_family,10,False,0.6279491833030852,0.6206581352833638,0.489193083573487,0.84875,0.627893175074184,0.5977401129943503,0.66125,"{""threshold"": 0.06285651147365566, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.0665961372852326, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
same_family,12,False,0.5961538461538461,0.5958069234519746,0.48840927258193445,0.76375,0.5958069234519746,0.48840927258193445,0.76375,"{""threshold"": 0.07259607737263028, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.07259607737263028, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}"
same_family,16,True,0.4840764331210191,0.5215540180947312,0.4541241890639481,0.6125,0.5215540180947312,0.4541241890639481,0.6125,"{""threshold"": 0.08711715253302822, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.08711715253302822, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}"
same_family,24,False,0.2081447963800905,0.2545454545454545,0.23333333333333334,0.28,0.2545454545454545,0.23333333333333334,0.28,"{""threshold"": 0.08438683692365875, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.08438683692365875, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}"
same_family,32,False,0.13,0.17,0.1275,0.255,0.17,0.1275,0.255,"{""threshold"": 0.0, ""ratio"": 1.0, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.0, ""ratio"": 1.0, ""gap"": 0, ""minimum"": 1}"
higher_noise,1,False,0.49246231155778897,0.15832395950506187,0.08919518377693282,0.70375,0.2948717948717949,0.34271523178807944,0.25875,"{""threshold"": 0.05152656912803649, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}","{""threshold"": 0.08940052390098577, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}"
higher_noise,2,True,0.6265060240963856,0.24271631982475356,0.14714475431606905,0.6925,0.438496583143508,0.4027196652719665,0.48125,"{""threshold"": 0.06431833893060679, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}","{""threshold"": 0.094274791162461, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}"
higher_noise,3,False,0.6779661016949152,0.22060100746916797,0.1281016743998386,0.79375,0.5167597765363129,0.5854430379746836,0.4625,"{""threshold"": 0.0562417015433311, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}","{""threshold"": 0.12130590597788447, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
higher_noise,4,True,0.7738693467336684,0.36743341404358354,0.24241214057507987,0.75875,0.5883977900552486,0.6574074074074074,0.5325,"{""threshold"": 0.07176654972136018, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}","{""threshold"": 0.1188694348186254, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
higher_noise,5,False,0.7626666666666667,0.5576828669612175,0.45917542441390463,0.71,0.6207687894434882,0.5737009544008483,0.67625,"{""threshold"": 0.0873720455169674, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}","{""threshold"": 0.09718829780817025, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
higher_noise,6,False,0.7193460490463215,0.6418547895057962,0.6269368295589988,0.6575,0.6479233226837061,0.6627450980392157,0.63375,"{""threshold"": 0.10218035057187057, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}","{""threshold"": 0.107411793867747, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 3}"
higher_noise,8,True,0.7008547008547008,0.29962358845671266,0.18744113029827317,0.74625,0.5634758995247794,0.6166419019316494,0.51875,"{""threshold"": 0.05287126041948794, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}","{""threshold"": 0.12822532728314395, ""ratio"": 0.5, ""gap"": 2, ""minimum"": 1}"
higher_noise,10,False,0.6279491833030852,0.4245603208886146,0.28185170012290045,0.86,0.5219869706840391,0.38707729468599034,0.80125,"{""threshold"": 0.06285651147365566, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.07690294533967973, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}"
higher_noise,12,False,0.5961538461538461,0.5038229376257545,0.37151335311572703,0.7825,0.5386012715712988,0.42296718972895864,0.74125,"{""threshold"": 0.07259607737263028, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.08245002453525864, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}"
higher_noise,16,True,0.4840764331210191,0.5009940357852882,0.4158415841584158,0.63,0.5009940357852882,0.4158415841584158,0.63,"{""threshold"": 0.08711715253302822, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.08711715253302822, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}"
higher_noise,24,False,0.2081447963800905,0.2818719741796665,0.2474032105760151,0.3275,0.2836565096952909,0.25472636815920396,0.32,"{""threshold"": 0.08438683692365875, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.08942533656954768, ""ratio"": 0.5, ""gap"": 0, ""minimum"": 1}"
higher_noise,32,False,0.13,0.165,0.12375,0.2475,0.165,0.12375,0.2475,"{""threshold"": 0.0, ""ratio"": 1.0, ""gap"": 0, ""minimum"": 1}","{""threshold"": 0.0, ""ratio"": 1.0, ""gap"": 0, ""minimum"": 1}"
