model,seed,split,policy,tp,fp,fn,precision,recall,f1,mean_delay_steps,sequences,truth_events
rate_rule,0,test,default,84,1427,316,0.05559232296492389,0.21,0.08791208791208792,0.34523809523809523,800,400
rate_rule,0,test,threshold_only,70,640,330,0.09859154929577464,0.175,0.12612612612612611,0.5428571428571428,800,400
rate_rule,0,test,full_protocol,174,222,226,0.4393939393939394,0.435,0.4371859296482412,1.8218390804597702,800,400
rate_rule,0,shift,default,71,10022,329,0.007034578420687605,0.1775,0.013532831411417135,0.9577464788732394,800,400
rate_rule,0,shift,threshold_only,54,6195,346,0.008641382621219395,0.135,0.01624304406677696,0.4074074074074074,800,400
rate_rule,0,shift,full_protocol,286,2895,114,0.08990883370009431,0.715,0.15973191845853113,-0.055944055944055944,800,400
mean_rule,0,test,default,301,878,99,0.2553011026293469,0.7525,0.3812539582013933,1.760797342192691,800,400
mean_rule,0,test,threshold_only,227,396,173,0.36436597110754415,0.5675,0.44379276637341153,1.9911894273127753,800,400
mean_rule,0,test,full_protocol,296,103,104,0.7418546365914787,0.74,0.7409261576971214,1.162162162162162,800,400
mean_rule,0,shift,default,275,4656,125,0.055769620766578785,0.6875,0.10317013693490902,1.9127272727272728,800,400
mean_rule,0,shift,threshold_only,225,1455,175,0.13392857142857142,0.5625,0.21634615384615385,2.0533333333333332,800,400
mean_rule,0,shift,full_protocol,315,905,85,0.2581967213114754,0.7875,0.3888888888888889,0.7968253968253968,800,400
tcn_ae,41,test,default,321,2402,79,0.11788468600807932,0.8025,0.20557156580211336,2.6510903426791277,800,400
tcn_ae,41,test,threshold_only,153,110,247,0.5817490494296578,0.3825,0.46153846153846156,3.4052287581699345,800,400
tcn_ae,41,test,full_protocol,267,197,133,0.5754310344827587,0.6675,0.6180555555555556,0.14232209737827714,800,400
tcn_ae,41,shift,default,318,7674,82,0.03978978978978979,0.795,0.0757864632983794,2.720125786163522,800,400
tcn_ae,41,shift,threshold_only,145,235,255,0.3815789473684211,0.3625,0.3717948717948718,3.56551724137931,800,400
tcn_ae,41,shift,full_protocol,289,438,111,0.39752407152682256,0.7225,0.5128660159716061,0.6401384083044983,800,400
tcn_ae,42,test,default,324,2422,76,0.11798980335032774,0.81,0.20597584233947872,2.8117283950617282,800,400
tcn_ae,42,test,threshold_only,146,116,254,0.5572519083969466,0.365,0.44108761329305135,3.2739726027397262,800,400
tcn_ae,42,test,full_protocol,263,187,137,0.5844444444444444,0.6575,0.6188235294117647,0.2623574144486692,800,400
tcn_ae,42,shift,default,315,7712,85,0.03924255637224368,0.7875,0.07475970096119615,2.641269841269841,800,400
tcn_ae,42,shift,threshold_only,142,229,258,0.38274932614555257,0.355,0.36835278858625164,3.443661971830986,800,400
tcn_ae,42,shift,full_protocol,283,416,117,0.40486409155937053,0.7075,0.5150136487716106,0.7420494699646644,800,400
tcn_ae,43,test,default,323,2439,77,0.1169442433019551,0.8075,0.20430107526881722,2.73374613003096,800,400
tcn_ae,43,test,threshold_only,149,109,251,0.5775193798449613,0.3725,0.45288753799392095,3.4161073825503356,800,400
tcn_ae,43,test,full_protocol,265,202,135,0.5674518201284796,0.6625,0.6113033448673587,0.5584905660377358,800,400
tcn_ae,43,shift,default,308,7793,92,0.03801999753116899,0.77,0.07246206328667215,2.340909090909091,800,400
tcn_ae,43,shift,threshold_only,137,224,263,0.37950138504155123,0.3425,0.3600525624178712,3.27007299270073,800,400
tcn_ae,43,shift,full_protocol,274,425,126,0.39198855507868385,0.685,0.4986351228389445,1.0072992700729928,800,400
transformer_ae,41,test,default,256,3770,144,0.06358668653750621,0.64,0.11568007230004519,2.21484375,800,400
transformer_ae,41,test,threshold_only,132,200,268,0.39759036144578314,0.33,0.36065573770491804,3.3181818181818183,800,400
transformer_ae,41,test,full_protocol,170,34,230,0.8333333333333334,0.425,0.5629139072847682,2.570588235294118,800,400
transformer_ae,41,shift,default,247,9912,153,0.024313416674869574,0.6175,0.046784733402784356,2.2024291497975708,800,400
transformer_ae,41,shift,threshold_only,134,268,266,0.3333333333333333,0.335,0.3341645885286783,3.58955223880597,800,400
transformer_ae,41,shift,full_protocol,174,53,226,0.7665198237885462,0.435,0.5550239234449761,2.339080459770115,800,400
transformer_ae,42,test,default,261,4149,139,0.05918367346938776,0.6525,0.10852390852390853,2.10727969348659,800,400
transformer_ae,42,test,threshold_only,131,171,269,0.4337748344370861,0.3275,0.3732193732193732,3.312977099236641,800,400
transformer_ae,42,test,full_protocol,167,23,233,0.8789473684210526,0.4175,0.5661016949152542,2.6347305389221556,800,400
transformer_ae,42,shift,default,244,10196,156,0.023371647509578545,0.61,0.045018450184501846,1.9959016393442623,800,400
transformer_ae,42,shift,threshold_only,124,236,276,0.34444444444444444,0.31,0.3263157894736842,3.3225806451612905,800,400
transformer_ae,42,shift,full_protocol,178,31,222,0.8516746411483254,0.445,0.5845648604269293,3.0,800,400
transformer_ae,43,test,default,258,4054,142,0.05983302411873841,0.645,0.10950764006791172,2.25968992248062,800,400
transformer_ae,43,test,threshold_only,124,203,276,0.37920489296636084,0.31,0.34112792297111416,3.2016129032258065,800,400
transformer_ae,43,test,full_protocol,173,36,227,0.8277511961722488,0.4325,0.5681444991789819,3.086705202312139,800,400
transformer_ae,43,shift,default,245,10290,155,0.023255813953488372,0.6125,0.04481024234110654,2.2285714285714286,800,400
transformer_ae,43,shift,threshold_only,129,250,271,0.3403693931398417,0.3225,0.33119383825417203,3.682170542635659,800,400
transformer_ae,43,shift,full_protocol,178,60,222,0.7478991596638656,0.445,0.5579937304075235,2.9269662921348316,800,400
timesnet,41,test,default,232,1113,168,0.1724907063197026,0.58,0.2659025787965616,3.0474137931034484,800,400
timesnet,41,test,threshold_only,179,155,221,0.5359281437125748,0.4475,0.4877384196185286,3.1508379888268156,800,400
timesnet,41,test,full_protocol,209,96,191,0.6852459016393443,0.5225,0.5929078014184397,2.7607655502392343,800,400
timesnet,41,shift,default,185,2210,215,0.07724425887265135,0.4625,0.13237924865831843,2.7945945945945945,800,400
timesnet,41,shift,threshold_only,145,259,255,0.3589108910891089,0.3625,0.36069651741293535,3.110344827586207,800,400
timesnet,41,shift,full_protocol,177,122,223,0.5919732441471572,0.4425,0.5064377682403434,2.7570621468926553,800,400
timesnet,42,test,default,244,1007,156,0.1950439648281375,0.61,0.29557843731072075,3.19672131147541,800,400
timesnet,42,test,threshold_only,175,160,225,0.5223880597014925,0.4375,0.47619047619047616,3.04,800,400
timesnet,42,test,full_protocol,215,80,185,0.7288135593220338,0.5375,0.6187050359712231,3.1069767441860465,800,400
timesnet,42,shift,default,199,1794,201,0.09984947315604616,0.4975,0.16631842875052236,3.2763819095477387,800,400
timesnet,42,shift,threshold_only,141,291,259,0.3263888888888889,0.3525,0.3389423076923077,2.900709219858156,800,400
timesnet,42,shift,full_protocol,194,106,206,0.6466666666666666,0.485,0.5542857142857143,3.463917525773196,800,400
timesnet,43,test,default,215,1280,185,0.14381270903010032,0.5375,0.22691292875989447,2.6186046511627907,800,400
timesnet,43,test,threshold_only,104,47,296,0.6887417218543046,0.26,0.37749546279491836,2.894230769230769,800,400
timesnet,43,test,full_protocol,198,46,202,0.8114754098360656,0.495,0.6149068322981367,2.8737373737373737,800,400
timesnet,43,shift,default,178,2140,222,0.07679033649698015,0.445,0.1309786607799853,2.646067415730337,800,400
timesnet,43,shift,threshold_only,83,67,317,0.5533333333333333,0.2075,0.3018181818181818,2.63855421686747,800,400
timesnet,43,shift,full_protocol,165,72,235,0.6962025316455697,0.4125,0.5180533751962323,2.7515151515151515,800,400
kanad,41,test,default,272,1553,128,0.14904109589041095,0.68,0.24449438202247192,2.3786764705882355,800,400
kanad,41,test,threshold_only,122,141,278,0.46387832699619774,0.305,0.3680241327300151,3.418032786885246,800,400
kanad,41,test,full_protocol,178,70,222,0.717741935483871,0.445,0.5493827160493827,2.539325842696629,800,400
kanad,41,shift,default,270,3884,130,0.06499759268175252,0.675,0.11857707509881422,2.6555555555555554,800,400
kanad,41,shift,threshold_only,119,166,281,0.41754385964912283,0.2975,0.34744525547445254,3.8403361344537816,800,400
kanad,41,shift,full_protocol,203,93,197,0.6858108108108109,0.5075,0.5833333333333334,3.0,800,400
kanad,42,test,default,294,1206,106,0.196,0.735,0.3094736842105263,2.4829931972789114,800,400
kanad,42,test,threshold_only,182,218,218,0.455,0.455,0.455,3.4065934065934065,800,400
kanad,42,test,full_protocol,271,126,129,0.6826196473551638,0.6775,0.6800501882057717,2.206642066420664,800,400
kanad,42,shift,default,292,3309,108,0.08108858650374896,0.73,0.14596350912271933,2.7705479452054793,800,400
kanad,42,shift,threshold_only,186,337,214,0.35564053537284895,0.465,0.40303358613217766,3.8978494623655915,800,400
kanad,42,shift,full_protocol,290,344,110,0.45741324921135645,0.725,0.5609284332688588,1.7551724137931035,800,400
