run,k,representation,group,nmi,ari,agreement
primary,4,event_row_permutation,hill,0.023955025303334314,-0.006966034060274749,0.3655744788798876
primary,4,event_row_permutation,lahaute,0.0671084554854098,0.022636856837335385,0.40198076933493315
primary,4,event_row_permutation,pizhou,0.0546656622515688,0.02500003912863157,0.3665247709546877
primary,4,event_row_permutation,pizhou_seen,0.047626486349004585,0.02175933870670267,0.37038083944914646
primary,4,event_row_permutation,pizhou_unseen,0.10153908021294465,0.05132796380729081,0.3636311936953833
primary,4,event_row_permutation,suining,0.036915756034964796,-0.01106686490730017,0.3644959671378472
primary,4,event_row_permutation,yandun,0.025588346706670383,0.00614465465797299,0.34013042046469355
primary,4,gaf_pca6,hill,0.27171164520133023,0.24165806026368902,0.5670335053612775
primary,4,gaf_pca6,lahaute,0.30052599890789766,0.23751340211833114,0.5740640554703295
primary,4,gaf_pca6,pizhou,0.27341214950992393,0.25178791220664976,0.5556013647477855
primary,4,gaf_pca6,pizhou_seen,0.2749482678231953,0.24785341779955025,0.5595206313691595
primary,4,gaf_pca6,pizhou_unseen,0.31280761646572314,0.2680367942394844,0.5678753174378067
primary,4,gaf_pca6,suining,0.30125230228544425,0.25853665773016504,0.5802462772083712
primary,4,gaf_pca6,yandun,0.26873942299562503,0.2542564163281206,0.5633434906050023
primary,4,gaf_signed_pca6,hill,0.27561307168203436,0.24512259265978456,0.5684279147320543
primary,4,gaf_signed_pca6,lahaute,0.2889263023093358,0.23406569946151756,0.5747004150232347
primary,4,gaf_signed_pca6,pizhou,0.27503060857630285,0.25514712767106335,0.5579045147044583
primary,4,gaf_signed_pca6,pizhou_seen,0.27689051771862,0.250594791100255,0.5618179186789697
primary,4,gaf_signed_pca6,pizhou_unseen,0.3157571924391848,0.2735806264960654,0.570287516335175
primary,4,gaf_signed_pca6,suining,0.30187739530573127,0.2606392113056155,0.5828442224909396
primary,4,gaf_signed_pca6,yandun,0.27129014602452933,0.2587353090706208,0.567310729093313
primary,4,raw25,hill,0.6006059964610503,0.6215001894122879,0.7363819359243343
primary,4,raw25,lahaute,0.6976846098560997,0.6874948090904582,0.776132006347217
primary,4,raw25,pizhou,0.6425246622473617,0.6643382288025744,0.7386501364722213
primary,4,raw25,pizhou_seen,0.6512547788689796,0.6735648067260539,0.7470887617432336
primary,4,raw25,pizhou_unseen,0.6817104513080261,0.6836589004863768,0.7511082962340381
primary,4,raw25,suining,0.6147559961756033,0.6300977146136341,0.7312558789103055
primary,4,raw25,yandun,0.5901034785185401,0.6255029137158771,0.7168110882896812
primary,4,raw_pca6,hill,0.5969870740400625,0.6175584669920116,0.7343882354473704
primary,4,raw_pca6,lahaute,0.6962705062290212,0.685948899633453,0.7762679611014105
primary,4,raw_pca6,pizhou,0.6389474849159916,0.6599725295010554,0.7364471012471149
primary,4,raw_pca6,pizhou_seen,0.6477556182062351,0.6692459579070917,0.7444048127626854
primary,4,raw_pca6,pizhou_unseen,0.6769297476332553,0.6788300999143878,0.7494636551712545
primary,4,raw_pca6,suining,0.6135767045129431,0.6292400812225826,0.7293453766147506
primary,4,raw_pca6,yandun,0.5881149375519549,0.6242514238973286,0.716192265018728
primary,4,statistics9,hill,0.47384465426246897,0.4527530727931077,0.741551178934101
primary,4,statistics9,lahaute,0.4753761647096905,0.5168938417570396,0.8187683201713896
primary,4,statistics9,pizhou,0.5182610316173736,0.49967303490197046,0.7422801905716635
primary,4,statistics9,pizhou_seen,0.5135735452333592,0.4929593531080382,0.7462082200325879
primary,4,statistics9,pizhou_unseen,0.5368002405810377,0.5091762163435732,0.7255366588096571
primary,4,statistics9,suining,0.526979149741847,0.5165716387766811,0.7683850964919686
primary,4,statistics9,yandun,0.4730703447025163,0.4817403197344106,0.7431305810603065
primary,4,within_event_time_permutation,hill,0.48910572283621817,0.5938080913477679,0.7313142781726034
primary,4,within_event_time_permutation,lahaute,0.6005671178805436,0.6603158754751492,0.7491673013228112
primary,4,within_event_time_permutation,pizhou,0.5321589711596865,0.6443451177731495,0.7193441145857805
primary,4,within_event_time_permutation,pizhou_seen,0.5358683747512963,0.6477089664748593,0.7274631214536614
primary,4,within_event_time_permutation,pizhou_unseen,0.5715444469994042,0.6514511402010892,0.7249998841602403
primary,4,within_event_time_permutation,suining,0.5133689875185958,0.611723096089793,0.7321830609414097
primary,4,within_event_time_permutation,yandun,0.438371715377191,0.5803825656934011,0.6870208057834483
