site,model,training,seed,scenario,nameplate_mw,calendar_h,online_severe_steps,lp_severe_steps,online_total_cny_per_installed_mw,lp_total_cny_per_installed_mw,lp_minus_online_cny_per_installed_mw
pizhou,tcn,mse,41,base,87.45,2496.0,184,188,28366.41353866449,28364.607850597433,-1.8056880670555984
pizhou,tcn,mse,41,high,87.45,2496.0,184,190,43114.313644402115,43114.313644402115,0.0
pizhou,tcn,mse,41,low_tail5000,87.45,2496.0,184,118,68790.54750254724,54730.433040241915,-14060.114462305326
pizhou,tcn,event_weighted,41,base,87.45,2496.0,198,220,35547.07160908837,35541.27492649352,-5.796682594853337
pizhou,tcn,event_weighted,41,high,87.45,2496.0,198,220,57664.78734050027,57664.78734050027,0.0
pizhou,tcn,event_weighted,41,low_tail5000,87.45,2496.0,198,107,67255.01377286695,52951.78334760442,-14303.230425262533
yandun,tcn,mse,41,base,200.5,914.0,84,84,13915.802698831245,13910.006016236397,-5.79668259484788
yandun,tcn,mse,41,high,200.5,914.0,84,84,22727.051106407886,22727.051106407886,0.0
yandun,tcn,mse,41,low_tail5000,200.5,914.0,84,67,33437.391052120634,28128.861523627216,-5308.529528493418
yandun,tcn,event_weighted,41,base,200.5,914.0,84,90,17938.763680338765,17932.966997743915,-5.796682594849699
yandun,tcn,event_weighted,41,high,200.5,914.0,84,90,30874.305437990475,30874.305437990475,0.0
yandun,tcn,event_weighted,41,low_tail5000,200.5,914.0,84,66,33559.35946380111,28633.297573481505,-4926.061890319608
