step,residual_input_mw,residual_lp_mw,online_charge_mw,online_discharge_mw,online_soc_mwh,online_net_residual_mw,online_severe,lp_charge_mw,lp_discharge_mw,lp_soc_mwh,lp_net_residual_mw,lp_severe
0,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
1,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
2,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
3,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
4,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
5,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
6,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
7,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
8,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
9,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
10,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
11,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
12,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
13,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
14,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
15,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
16,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
17,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
18,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
19,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
20,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
21,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
22,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
23,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
24,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
25,-18.467734812263846,-18.467734812263846,0.0,18.467734812263846,20.05,0.0,False,0.0,18.467734812263846,20.05,0.0,False
26,-9.913737294441528,-9.913737294441528,0.0,9.913737294441528,10.423027741648408,0.0,False,0.0,9.913737294441528,10.423027741648408,0.0,False
27,70.78545363654456,70.78545363654456,20.05,0.0,5.255134933982796,50.73545363654456,True,4.145138217695411,0.0,5.255134933982796,66.64031541884916,True
28,96.886075363152,96.886075363152,20.05,0.0,14.870777138224799,76.836075363152,True,20.05,0.0,7.243073387273991,76.836075363152,True
29,58.966104779646955,58.966104779646955,20.05,0.0,24.486419342466803,38.91610477964696,False,20.05,0.0,16.858715591515995,38.91610477964696,False
30,31.231330490689675,31.231330490689675,4.145138217695405,0.0,34.10206154670881,27.08619227299427,False,20.05,0.0,26.474357795758,11.181330490689675,False
31,17.032710578275214,17.032710578275214,0.0,0.0,36.09,17.032710578275214,False,0.0,0.0,36.09,17.032710578275214,False
32,8.916844761499682,8.916844761499682,0.0,0.0,36.09,8.916844761499682,False,0.0,0.0,36.09,8.916844761499682,False
33,-15.111994780769756,-15.111994780769756,0.0,15.111994780769756,36.09,0.0,False,0.0,0.0,36.09,-15.111994780769756,False
34,-42.78111180704808,-42.78111180704808,0.0,20.05,28.21232815763556,-22.731111807048077,False,0.0,1.3901101071488196,36.09,-41.391001699899256,True
35,-65.6651680305148,-65.6651680305148,0.0,20.05,17.760543153024688,-45.61516803051481,True,0.0,20.05,35.36535501383262,-45.61516803051481,True
36,-53.43830828606263,-53.43830828606263,0.0,6.328115326379069,7.3087581484138155,-47.11019295968356,True,0.0,20.05,24.913570009221747,-33.388308286062625,False
37,-32.69219967787735,-32.69219967787735,0.0,0.0,4.010000000000001,-32.69219967787735,False,0.0,20.05,14.461785004610874,-12.642199677877347,False
38,-12.06925467223296,-12.06925467223296,0.0,0.0,4.010000000000001,-12.06925467223296,False,0.0,0.0,4.010000000000001,-12.06925467223296,False
39,3.1608606868778386,3.1608606868778386,3.1608606868778386,0.0,4.010000000000001,0.0,False,0.0,0.0,4.010000000000001,3.1608606868778386,False
40,0.4176758552669289,0.4176758552669289,0.4176758552669289,0.0,5.525895532292864,0.0,False,0.0,0.0,4.010000000000001,0.4176758552669289,False
41,9.629838487450776,9.629838487450776,9.629838487450776,0.0,5.726205835614438,0.0,False,0.0,0.0,4.010000000000001,9.629838487450776,False
42,35.868641320525676,35.868641320525676,20.05,0.0,10.34451413386709,15.818641320525675,False,0.0,0.0,4.010000000000001,35.868641320525676,False
43,54.06497510032056,54.06497510032056,20.05,0.0,19.960156338109094,34.014975100320555,False,12.841481866124791,0.0,4.010000000000001,41.22349323419577,True
44,34.05356122634135,34.05356122634135,13.583048999914038,0.0,29.575798542351098,20.470512226427314,False,20.05,0.0,10.168558353960993,14.00356122634135,False
45,7.671862558927674,7.671862558927674,0.0,0.0,36.09,7.671862558927674,False,7.671862558927674,0.0,19.784200558202997,0.0,False
46,18.30149877147959,18.30149877147959,0.0,0.0,36.09,18.30149877147959,False,18.30149877147959,0.0,23.46349658846579,0.0,False
47,8.026580832977528,8.026580832977528,0.0,0.0,36.09,8.026580832977528,False,8.026580832977528,0.0,32.24058706167887,0.0,False
48,-35.494782108614395,-35.494782108614395,0.0,20.05,36.09,-15.444782108614394,False,0.0,0.0,36.09,-35.494782108614395,False
49,-68.4594591261552,-68.4594591261552,0.0,20.05,25.63821499538913,-48.4094591261552,True,0.0,0.0,36.09,-68.4594591261552,True
50,-60.653621820064046,-60.653621820064046,0.0,20.05,15.186429990778258,-40.60362182006405,True,0.0,0.0,36.09,-60.653621820064046,True
51,-39.14255191975499,-39.14255191975499,0.0,1.3901101071488213,4.734644986167385,-37.75244181260617,False,0.0,0.0,36.09,-39.14255191975499,False
52,-23.17549108369568,-23.17549108369568,0.0,0.0,4.010000000000001,-23.17549108369568,False,0.0,0.0,36.09,-23.17549108369568,False
53,-14.221302003901416,-14.221302003901416,0.0,0.0,4.010000000000001,-14.221302003901416,False,0.0,0.0,36.09,-14.221302003901416,False
54,-9.37938546483053,-9.37938546483053,0.0,0.0,4.010000000000001,-9.37938546483053,False,0.0,0.0,36.09,-9.37938546483053,False
55,-6.402192131934973,-6.402192131934973,0.0,0.0,4.010000000000001,-6.402192131934973,False,0.0,0.0,36.09,-6.402192131934973,False
56,-5.6220307999211085,-5.6220307999211085,0.0,0.0,4.010000000000001,-5.6220307999211085,False,0.0,0.0,36.09,-5.6220307999211085,False
57,-5.989072404763313,-5.989072404763313,0.0,0.0,4.010000000000001,-5.989072404763313,False,0.0,0.0,36.09,-5.989072404763313,False
58,-8.640568678779072,-8.640568678779072,0.0,0.0,4.010000000000001,-8.640568678779072,False,0.0,0.0,36.09,-8.640568678779072,False
59,-10.025178374510638,-10.025178374510638,0.0,0.0,4.010000000000001,-10.025178374510638,False,0.0,0.0,36.09,-10.025178374510638,False
60,-12.832143030431158,-12.832143030431158,0.0,0.0,4.010000000000001,-12.832143030431158,False,0.0,0.0,36.09,-12.832143030431158,False
61,-18.014031970284933,-18.014031970284933,0.0,0.0,4.010000000000001,-18.014031970284933,False,0.0,0.0,36.09,-18.014031970284933,False
62,-21.25420035699451,-21.25420035699451,0.0,0.0,4.010000000000001,-21.25420035699451,False,0.0,0.0,36.09,-21.25420035699451,False
63,-22.015866166906427,-22.015866166906427,0.0,0.0,4.010000000000001,-22.015866166906427,False,0.0,1.3901101071488196,36.09,-20.625756059757606,False
64,-23.407720074661626,-23.407720074661626,0.0,0.0,4.010000000000001,-23.407720074661626,False,0.0,20.05,35.36535501383262,-3.357720074661625,False
65,-23.849552230169845,-23.849552230169845,0.0,0.0,4.010000000000001,-23.849552230169845,False,0.0,20.05,24.913570009221747,-3.7995522301698443,False
