step,residual_input_mw,residual_lp_mw,online_charge_mw,online_discharge_mw,online_soc_mwh,online_net_residual_mw,online_severe,lp_charge_mw,lp_discharge_mw,lp_soc_mwh,lp_net_residual_mw,lp_severe
0,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
1,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
2,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
3,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
4,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
5,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
6,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
7,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
8,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
9,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
10,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
11,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
12,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
13,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
14,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
15,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
16,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
17,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
18,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
19,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
20,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
21,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
22,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
23,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
24,,0.0,0.0,0.0,20.05,,False,0.0,0.0,20.05,0.0,False
25,-7.394968061268254,-7.394968061268254,0.0,7.394968061268254,20.05,0.0,False,0.0,7.394968061268254,20.05,0.0,False
26,-3.799742167646112,-3.799742167646112,0.0,3.799742167646112,16.19510641933467,0.0,False,0.0,3.799742167646112,16.19510641933467,0.0,False
27,72.75219141149789,72.75219141149789,20.05,0.0,14.21435389019795,52.70219141149789,True,3.3902006701013194,0.0,14.21435389019795,69.36199074139657,True
28,97.25827005859584,97.25827005859584,20.05,0.0,23.829996094439956,77.20827005859584,True,20.05,0.0,15.840237014600731,77.20827005859584,True
29,51.580969704190565,51.580969704190565,5.513875307053019,0.0,33.445638298681956,46.067094397137545,True,20.05,0.0,25.455879218842735,31.530969704190564,False
30,16.651293940814398,16.651293940814398,0.0,0.0,36.09,16.651293940814398,False,0.0,0.0,35.07152142308474,16.651293940814398,False
31,2.123674636951691,2.123674636951691,0.0,0.0,36.09,2.123674636951691,False,2.123674636951691,0.0,35.07152142308474,0.0,False
32,-1.068216963420234,-1.068216963420234,0.0,1.068216963420234,36.09,0.0,False,0.0,0.0,36.09,-1.068216963420234,False
33,-17.551108307984872,-17.551108307984872,0.0,17.551108307984872,35.53315341446651,0.0,False,0.0,0.0,36.09,-17.551108307984872,False
34,-38.059335279359516,-38.059335279359516,0.0,20.05,26.384005752237208,-18.009335279359515,False,0.0,6.2489891009058605,36.09,-31.810346178453656,False
35,-55.82916766115921,-55.82916766115921,0.0,20.05,15.932220747626335,-35.77916766115921,False,0.0,20.05,32.83248924793892,-35.77916766115921,False
36,-39.35616847186063,-39.35616847186063,0.0,2.820784835743725,5.480435743015462,-36.535383636116904,False,0.0,20.05,22.380704243328047,-19.306168471860627,False
37,-15.191121006242952,-15.191121006242952,0.0,0.0,4.010000000000001,-15.191121006242952,False,0.0,15.191121006242952,11.928919238717175,0.0,False
38,3.5347759835798387,3.5347759835798387,3.5347759835798387,0.0,4.010000000000001,0.0,False,0.0,0.0,4.010000000000001,3.5347759835798387,False
39,13.548509455332766,13.548509455332766,13.548509455332766,0.0,5.705219008990092,0.0,False,0.0,0.0,4.010000000000001,13.548509455332766,False
40,4.103669254008624,4.103669254008624,4.103669254008624,0.0,12.202855882968624,0.0,False,0.0,0.0,4.010000000000001,4.103669254008624,False
41,6.79570996435632,6.79570996435632,6.79570996435632,0.0,14.170906519930998,0.0,False,0.0,0.0,4.010000000000001,6.79570996435632,False
42,30.17757939721872,30.17757939721872,20.05,0.0,17.430014526966037,10.127579397218721,False,0.0,0.0,4.010000000000001,30.17757939721872,False
43,49.415201428775276,49.415201428775276,18.858759372232043,0.0,27.04565673120804,30.556442056543233,False,15.202397170850308,0.0,4.010000000000001,34.21280425792497,False
44,30.264713128686953,30.264713128686953,0.0,0.0,36.09,30.264713128686953,False,20.05,0.0,11.300813558188402,10.214713128686952,False
45,4.0441140165599965,4.0441140165599965,0.0,0.0,36.09,4.0441140165599965,False,4.0441140165599965,0.0,20.916455762430406,0.0,False
46,16.83928415022312,16.83928415022312,0.0,0.0,36.09,16.83928415022312,False,16.83928415022312,0.0,22.85594471087933,0.0,False
47,10.755628691876163,10.755628691876163,0.0,0.0,36.09,10.755628691876163,False,10.755628691876163,0.0,30.93178168664536,0.0,False
48,-31.050437010335283,-31.050437010335283,0.0,20.05,36.09,-11.000437010335283,False,0.0,1.3901101071488196,36.09,-29.660326903186466,False
49,-62.30038164245928,-62.30038164245928,0.0,20.05,25.63821499538913,-42.250381642459274,True,0.0,20.05,35.36535501383262,-42.250381642459274,True
50,-50.99231956471653,-50.99231956471653,0.0,20.05,15.186429990778258,-30.94231956471653,False,0.0,20.05,24.913570009221747,-30.94231956471653,False
51,-25.969047809092437,-25.969047809092437,0.0,1.3901101071488213,4.734644986167385,-24.578937701943616,False,0.0,20.05,14.461785004610874,-5.9190478090924366,False
52,-8.694395716157791,-8.694395716157791,0.0,0.0,4.010000000000001,-8.694395716157791,False,0.0,0.0,4.010000000000001,-8.694395716157791,False
53,-1.763600866296552,-1.763600866296552,0.0,0.0,4.010000000000001,-1.763600866296552,False,0.0,0.0,4.010000000000001,-1.763600866296552,False
54,-1.9287479607781222,-1.9287479607781222,0.0,0.0,4.010000000000001,-1.9287479607781222,False,0.0,0.0,4.010000000000001,-1.9287479607781222,False
55,-3.9500841593156752,-3.9500841593156752,0.0,0.0,4.010000000000001,-3.9500841593156752,False,0.0,0.0,4.010000000000001,-3.9500841593156752,False
56,-6.043758380711909,-6.043758380711909,0.0,0.0,4.010000000000001,-6.043758380711909,False,0.0,0.0,4.010000000000001,-6.043758380711909,False
57,-6.85401044482456,-6.85401044482456,0.0,0.0,4.010000000000001,-6.85401044482456,False,0.0,0.0,4.010000000000001,-6.85401044482456,False
58,-7.9292388683869435,-7.9292388683869435,0.0,0.0,4.010000000000001,-7.9292388683869435,False,0.0,0.0,4.010000000000001,-7.9292388683869435,False
59,-6.805823053637256,-6.805823053637256,0.0,0.0,4.010000000000001,-6.805823053637256,False,0.0,0.0,4.010000000000001,-6.805823053637256,False
60,-7.405962162490272,-7.405962162490272,0.0,0.0,4.010000000000001,-7.405962162490272,False,0.0,0.0,4.010000000000001,-7.405962162490272,False
61,-11.099845890074976,-11.099845890074976,0.0,0.0,4.010000000000001,-11.099845890074976,False,0.0,0.0,4.010000000000001,-11.099845890074976,False
62,-13.305435969324048,-13.305435969324048,0.0,0.0,4.010000000000001,-13.305435969324048,False,0.0,0.0,4.010000000000001,-13.305435969324048,False
63,-13.139158886491163,-13.139158886491163,0.0,0.0,4.010000000000001,-13.139158886491163,False,0.0,0.0,4.010000000000001,-13.139158886491163,False
64,-14.17196938131789,-14.17196938131789,0.0,0.0,4.010000000000001,-14.17196938131789,False,0.0,0.0,4.010000000000001,-14.17196938131789,False
