step,residual_mw,online_charge_mw,online_discharge_mw,online_soc_mwh,online_net_residual_mw,online_severe,lp_charge_mw,lp_discharge_mw,lp_soc_mwh,lp_net_residual_mw,lp_severe
0,0.55,0.2,0.0,0.2,0.35000000000000003,True,0.2,0.0,0.2,0.35000000000000003,True
1,0.25,0.13362306249131972,0.0,0.2959166304662544,0.11637693750868028,False,0.13362306249131972,0.0,0.2959166304662544,0.11637693750868028,False
2,-0.1,0.0,0.1,0.36000000000000004,0.0,False,0.0,0.041600000000000026,0.36000000000000004,-0.05839999999999998,False
3,-0.5,0.0,0.2,0.30787139648573136,-0.3,True,0.0,0.2,0.33831450093806426,-0.3,True
4,-0.35,0.0,0.2,0.20361418945719398,-0.14999999999999997,False,0.0,0.2,0.23405729390952687,-0.14999999999999997,False
5,0.18,0.18,0.0,0.09935698242865659,0.0,False,0.18,0.0,0.12980008688098948,0.0,False
6,0.52,0.2,0.0,0.18568194984828554,0.32,True,0.2,0.0,0.21612505430061843,0.32,True
7,0.1,0.1,0.0,0.28159858031453994,0.0,False,0.1,0.0,0.31204168476687283,0.0,False
8,-0.42,0.0,0.2,0.32955689554766715,-0.21999999999999997,True,0.0,0.2,0.36000000000000004,-0.21999999999999997,True
9,-0.3,0.0,0.2,0.22529968851912976,-0.09999999999999998,False,0.0,0.16799999999999993,0.25574279297146263,-0.13200000000000006,False
10,0.48,0.2,0.0,0.12104248149059238,0.27999999999999997,True,0.2,0.0,0.16816673906749127,0.27999999999999997,True
11,0.2,0.2,0.0,0.21695911195684678,0.0,False,0.2,0.0,0.26408336953374567,0.0,False
12,-0.45,0.0,0.2,0.3128757424231012,-0.25,True,0.0,0.2,0.36000000000000004,-0.25,True
13,-0.18,0.0,0.16999982623802118,0.2086185353945638,-0.010000173761978814,False,0.0,0.0,0.25574279297146263,-0.18,False
14,0.55,0.2,0.0,0.12000000000000002,0.35000000000000003,True,0.2,0.0,0.25574279297146263,0.35000000000000003,True
15,-0.15,0.0,0.15,0.21591663046625442,0.0,False,0.0,0.0,0.35165942343771706,-0.15,False
