term,estimate,cluster_se,block_t_statistic,block_t_df,block_t_pvalue,bh_qvalue_block_t,legacy_normal_pvalue,legacy_normal_bh_qvalue
Intercept,-2.2673122279382643,0.42496083342150465,-5.335343988487974,30,9.036282175271394e-06,0.00010391724501562103,9.53635934924284e-08,1.0966813251629267e-06
C(hour)[T.1],-0.10837288230728272,0.10705504697054637,-1.0123098851855057,30,0.3194853274471258,0.39365156417592284,0.3113899098809284,0.3836768532461439
C(hour)[T.2],0.24933699668598924,0.1603511462202324,1.5549436506274816,30,0.13044701652545113,0.21086809963558625,0.11995949019856453,0.1940407893796381
C(hour)[T.3],0.33125777498102416,0.19099095753554568,1.7344160124406578,30,0.09311011859460017,0.16616809085512607,0.08284429597952672,0.14838406300639773
C(hour)[T.4],0.5660890227262662,0.20620886671829197,2.745221540350237,30,0.01011648166986629,0.02916650012847531,0.006047006097005554,0.01744646841423522
C(hour)[T.5],1.0212365787277056,0.22203490076452373,4.599441687821704,30,7.201883207437543e-05,0.00045175449210290043,4.236247480024281e-06,2.657282510197049e-05
C(hour)[T.6],1.3972056629692087,0.2547213556617512,5.485231732295669,30,5.920009513413366e-06,8.169613128510445e-05,4.129277572600248e-08,5.698403050188342e-07
C(hour)[T.7],1.5705991448263759,0.26541291677815504,5.917568609289496,30,1.755940651509728e-06,4.038663498472375e-05,3.267355813803575e-09,7.514918371748223e-08
C(hour)[T.8],1.543531715638424,0.2447812338852509,6.305760009208894,30,5.950918774635461e-07,2.053066977249234e-05,2.8678311800324283e-10,9.894017571111877e-09
C(hour)[T.9],1.3989881284481864,0.24480700162040717,5.714657338998128,30,3.1029516147441784e-06,5.352591535433707e-05,1.0992530067416253e-08,1.8962114366293035e-07
C(hour)[T.10],1.0227259532413318,0.253308336582818,4.037474514412423,30,0.0003444415248445878,0.0019805387678563796,5.402971229609124e-05,0.00031067084570252464
C(hour)[T.11],1.002175645720852,0.21407256205326944,4.681476393371105,30,5.718686810126427e-05,0.0003945893898987235,2.8481619945699694e-06,1.965231776253279e-05
C(hour)[T.12],0.9723732456774768,0.20756146849514504,4.684748343357482,30,5.666287520604809e-05,0.0003945893898987235,2.80304116701905e-06,1.965231776253279e-05
C(hour)[T.13],0.9106492961198599,0.19428367148133682,4.687214778146388,30,5.6271039397317715e-05,0.0003945893898987235,2.7694827864233216e-06,1.965231776253279e-05
C(hour)[T.14],0.7913962490077928,0.16561015974181015,4.778669679695961,30,4.349634104148276e-05,0.0003945893898987235,1.7645881327685328e-06,1.7393797308718394e-05
