source,horizon_h,block_days,treated_n,control_n,occupied_blocks,risk_difference,ci95_low,ci95_high,defined_resamples
ERA5,1,3,21300,84761,73,0.03881659078636629,0.015574676658029262,0.06245667218334348,2000
ERA5,1,7,21300,84761,31,0.03881659078636629,0.013743671245169804,0.06365891465618898,2000
ERA5,1,14,21300,84761,16,0.03881659078636629,0.014091598711406621,0.06144626574246893,2000
ERA5,2,3,21300,84761,73,0.06785078929193505,0.035802609906119685,0.10027203148046945,2000
ERA5,2,7,21300,84761,31,0.06785078929193505,0.028620446123343284,0.1065988941630812,2000
ERA5,2,14,21300,84761,16,0.06785078929193505,0.03325158059215975,0.09894179774679907,2000
ERA5,4,3,21300,84761,73,0.08630011155919054,0.04534682698948364,0.1239698559533551,2000
ERA5,4,7,21300,84761,31,0.08630011155919054,0.03959338507492675,0.13351709815465718,2000
ERA5,4,14,21300,84761,16,0.08630011155919054,0.040728291710144436,0.12509799022465762,2000
NOAA,1,3,41163,19668,59,-0.0010636073431602167,-0.028205137472291624,0.025589285015291903,2000
NOAA,1,7,41163,19668,27,-0.0010636073431602167,-0.029716419322330753,0.02742829322129302,2000
NOAA,1,14,41163,19668,14,-0.0010636073431602167,-0.02650875468650558,0.02649943068221391,2000
NOAA,2,3,41163,19668,59,0.008503859942696868,-0.034285344017189974,0.05008701282371993,2000
NOAA,2,7,41163,19668,27,0.008503859942696868,-0.03708987317018409,0.0542383925164726,2000
NOAA,2,14,41163,19668,14,0.008503859942696868,-0.03702412749859469,0.052595176901383864,2000
NOAA,4,3,41163,19668,59,0.021735842312761378,-0.02917896938223813,0.07239157033746998,2000
NOAA,4,7,41163,19668,27,0.021735842312761378,-0.037996705184132465,0.07992926177861771,2000
NOAA,4,14,41163,19668,14,0.021735842312761378,-0.03309974914526647,0.07737243877629543,2000
