site,factor,seed,split,all_nmae_pct,ramp_nmae_pct,ramp_n,optimizer_steps,selected_power,selected_energy,test_cost,test_no_battery_cost,test_saving
pizhou,0,41,validation,7.0311760902404785,38.44879913330078,121,540,,,,,
pizhou,0,41,test,7.712928295135498,35.16116714477539,189,540,,,,,
pizhou,0,41,economics_low,,,0,540,0.0,0.0,12364.946188292233,12364.946188292233,0.0
pizhou,0,41,economics_base,,,0,540,0.0,0.0,24729.892376584467,24729.892376584467,0.0
pizhou,0,41,economics_high,,,0,540,0.0,0.0,49459.78475316893,49459.78475316893,0.0
pizhou,0,42,validation,7.104860305786133,38.93764877319336,121,540,,,,,
pizhou,0,42,test,7.814289093017578,35.91431427001953,189,540,,,,,
pizhou,0,42,economics_low,,,0,540,0.0,0.0,12804.037474334327,12804.037474334327,0.0
pizhou,0,42,economics_base,,,0,540,0.0,0.0,25608.074948668655,25608.074948668655,0.0
pizhou,0,42,economics_high,,,0,540,0.0,0.0,51216.14989733731,51216.14989733731,0.0
pizhou,0,43,validation,6.998622417449951,38.633609771728516,121,540,,,,,
pizhou,0,43,test,7.685620307922363,35.27069854736328,189,540,,,,,
pizhou,0,43,economics_low,,,0,540,0.0,0.0,12478.20559195774,12478.20559195774,0.0
pizhou,0,43,economics_base,,,0,540,0.0,0.0,24956.41118391548,24956.41118391548,0.0
pizhou,0,43,economics_high,,,0,540,0.0,0.0,49912.82236783096,49912.82236783096,0.0
pizhou,1,41,validation,7.4919657707214355,37.60805892944336,121,540,,,,,
pizhou,1,41,test,8.07082462310791,34.14339828491211,189,540,,,,,
pizhou,1,41,economics_low,,,0,540,0.0,0.0,14369.500264890958,14369.500264890958,0.0
pizhou,1,41,economics_base,,,0,540,0.0,0.0,28739.000529781915,28739.000529781915,0.0
pizhou,1,41,economics_high,,,0,540,0.0,0.0,57478.00105956383,57478.00105956383,0.0
pizhou,1,42,validation,7.202300548553467,38.057525634765625,121,540,,,,,
pizhou,1,42,test,7.818183898925781,34.837242126464844,189,540,,,,,
pizhou,1,42,economics_low,,,0,540,0.0,0.0,12819.39484976001,12819.39484976001,0.0
pizhou,1,42,economics_base,,,0,540,0.0,0.0,25638.78969952002,25638.78969952002,0.0
pizhou,1,42,economics_high,,,0,540,0.0,0.0,51277.57939904004,51277.57939904004,0.0
pizhou,1,43,validation,7.033844947814941,37.868507385253906,121,540,,,,,
pizhou,1,43,test,7.637770652770996,34.23332977294922,189,540,,,,,
pizhou,1,43,economics_low,,,0,540,0.0,0.0,11771.32301312804,11771.32301312804,0.0
pizhou,1,43,economics_base,,,0,540,0.0,0.0,23542.64602625608,23542.64602625608,0.0
pizhou,1,43,economics_high,,,0,540,0.0,0.0,47085.29205251216,47085.29205251216,0.0
pizhou,2,41,validation,7.269769191741943,37.21876525878906,121,540,,,,,
pizhou,2,41,test,7.964033603668213,33.90304946899414,189,540,,,,,
pizhou,2,41,economics_low,,,0,540,0.0,0.0,12294.398564859184,12294.398564859184,0.0
pizhou,2,41,economics_base,,,0,540,0.0,0.0,24588.79712971837,24588.79712971837,0.0
pizhou,2,41,economics_high,,,0,540,0.0,0.0,49177.59425943674,49177.59425943674,0.0
pizhou,2,42,validation,7.441389560699463,37.40298080444336,121,540,,,,,
pizhou,2,42,test,7.995041370391846,34.11286926269531,189,540,,,,,
pizhou,2,42,economics_low,,,0,540,0.0,0.0,13530.349924766215,13530.349924766215,0.0
pizhou,2,42,economics_base,,,0,540,0.0,0.0,27060.69984953243,27060.69984953243,0.0
pizhou,2,42,economics_high,,,0,540,0.0,0.0,54121.39969906486,54121.39969906486,0.0
pizhou,2,43,validation,7.472036838531494,36.99833679199219,121,540,,,,,
pizhou,2,43,test,7.96218204498291,33.262237548828125,189,540,,,,,
pizhou,2,43,economics_low,,,0,540,0.0,0.0,13073.1041047685,13073.1041047685,0.0
pizhou,2,43,economics_base,,,0,540,0.0,0.0,26146.208209537,26146.208209537,0.0
pizhou,2,43,economics_high,,,0,540,0.0,0.0,52292.416419074,52292.416419074,0.0
pizhou,4,41,validation,8.22398567199707,35.67913055419922,121,540,,,,,
pizhou,4,41,test,8.664040565490723,31.83527946472168,189,540,,,,,
pizhou,4,41,economics_low,,,0,540,0.0,0.0,15711.202463963127,15711.202463963127,0.0
pizhou,4,41,economics_base,,,0,540,0.0,0.0,31422.404927926254,31422.404927926254,0.0
pizhou,4,41,economics_high,,,0,540,0.0,0.0,62844.80985585251,62844.80985585251,0.0
pizhou,4,42,validation,8.325613021850586,36.47207260131836,121,540,,,,,
pizhou,4,42,test,8.76380443572998,32.94720458984375,189,540,,,,,
pizhou,4,42,economics_low,,,0,540,0.0,0.0,16713.44410325022,16713.44410325022,0.0
pizhou,4,42,economics_base,,,0,540,0.0,0.0,33426.88820650044,33426.88820650044,0.0
pizhou,4,42,economics_high,,,0,540,0.0,0.0,66853.77641300089,66853.77641300089,0.0
pizhou,4,43,validation,7.9039998054504395,36.016727447509766,121,459,,,,,
pizhou,4,43,test,8.457979202270508,32.928558349609375,189,459,,,,,
pizhou,4,43,economics_low,,,0,459,0.0,0.0,13901.158835050355,13901.158835050355,0.0
pizhou,4,43,economics_base,,,0,459,0.0,0.0,27802.31767010071,27802.31767010071,0.0
pizhou,4,43,economics_high,,,0,459,0.0,0.0,55604.63534020142,55604.63534020142,0.0
pizhou,8,41,validation,10.108085632324219,33.29262161254883,121,351,,,,,
pizhou,8,41,test,10.727462768554688,32.1699104309082,189,351,,,,,
pizhou,8,41,economics_low,,,0,351,0.0,0.0,18893.7848185825,18893.7848185825,0.0
