turbine,frequency,grid_rows,usable_rows,threshold_4h_candidates,median_abs_change,native_gaps_gt15min
1,15min,17725,7513,1241,0.058666666666666666,1
1,30min,8863,3682,574,0.05546333333333334,1
1,60min,4432,1756,242,0.05299999999999999,1
2,15min,17725,6856,1130,0.05733333333333332,1
2,30min,8863,3359,510,0.05465333333333331,1
2,60min,4432,1609,208,0.05100000000000002,1
3,15min,17725,6973,1117,0.05668666666666666,1
3,30min,8863,3428,532,0.05466666666666667,1
3,60min,4432,1646,214,0.04766666666666666,1
4,15min,17725,7128,1041,0.049333333333333326,1
4,30min,8863,3495,492,0.048666666666666664,1
4,60min,4432,1670,197,0.0465,1
5,15min,17725,7023,1076,0.054306666666666656,1
5,30min,8863,3455,499,0.05366666666666667,1
5,60min,4432,1639,208,0.049185,1
6,15min,17725,7392,1141,0.05733333333333333,1
6,30min,8863,3594,544,0.054869999999999974,1
6,60min,4432,1709,225,0.04899416666666668,1
7,15min,17725,7336,1075,0.05133333333333334,1
7,30min,8863,3594,502,0.04924666666666667,1
7,60min,4432,1714,205,0.042191666666666655,1
8,15min,17629,7181,1242,0.056,1
8,30min,8815,3529,574,0.05533333333333333,1
8,60min,4408,1698,237,0.04941666666666666,1
9,15min,17629,7038,1006,0.05143666666666666,1
9,30min,8815,3460,474,0.04828333333333333,1
9,60min,4408,1663,199,0.04378416666666668,1
10,15min,17629,7408,1129,0.05266666666666668,1
10,30min,8815,3617,515,0.04883333333333334,1
10,60min,4408,1732,217,0.04511500000000002,1
11,15min,17629,7122,1189,0.058833333333333335,1
11,30min,8815,3504,556,0.055635000000000004,1
11,60min,4408,1694,221,0.05160972222222223,1
12,15min,17629,7297,1186,0.06052000000000002,1
12,30min,8815,3569,559,0.056995000000000004,1
12,60min,4408,1710,228,0.05283333333333333,1
13,15min,17629,7504,1121,0.052000000000000005,1
13,30min,8815,3678,516,0.05066666666666668,1
13,60min,4408,1761,212,0.04435833333333328,1
14,15min,17629,7288,1185,0.056,1
14,30min,8815,3552,543,0.05404166666666663,1
14,60min,4408,1695,212,0.051288333333333325,1
15,15min,17629,7230,1222,0.05933333333333332,1
15,30min,8815,3539,569,0.05666666666666669,1
15,60min,4408,1705,213,0.051039999999999995,1
16,15min,17629,7053,997,0.050666666666666665,1
16,30min,8815,3455,456,0.048666666666666664,1
16,60min,4408,1662,195,0.04143166666666666,1
17,15min,17629,7339,1142,0.05378333333333335,1
17,30min,8815,3589,531,0.053213333333333335,1
17,60min,4408,1717,208,0.04735555555555556,1
18,15min,17629,7425,1160,0.05199666666666668,1
18,30min,8815,3635,530,0.050666666666666665,1
18,60min,4408,1732,239,0.04683333333333334,1
19,15min,17629,7155,1033,0.05066666666666669,1
19,30min,8815,3513,491,0.049483333333333344,1
19,60min,4408,1680,191,0.04183333333333335,1
20,15min,17629,7402,1183,0.05733333333333333,1
20,30min,8815,3635,539,0.05466666666666667,1
20,60min,4408,1735,214,0.04841666666666666,1
21,15min,17629,7323,1188,0.05600000000000001,1
21,30min,8815,3590,573,0.05387833333333333,1
21,60min,4408,1721,199,0.04885333333333333,1
22,15min,17629,7503,1135,0.05600000000000001,1
22,30min,8815,3673,528,0.05433333333333333,1
22,60min,4408,1755,211,0.051627222222222234,1
23,15min,17629,7199,1141,0.05615333333333333,1
23,30min,8815,3545,538,0.05333333333333334,1
23,60min,4408,1714,228,0.049,1
24,15min,17629,7443,1295,0.058820000000000004,1
24,30min,8815,3630,609,0.055673333333333325,1
24,60min,4408,1742,243,0.05266666666666667,1
