minutes,horizon_h,clock,eligible_anchors,positive_anchors,positive_rate
15,1,common_hourly_clock,196458,38174,0.19431125227784055
15,1,native_grid,785688,152383,0.19394848845852297
15,4,common_hourly_clock,165650,59359,0.35833987322668276
15,4,native_grid,662573,237724,0.3587891447432962
30,1,common_hourly_clock,194166,34850,0.1794855948003255
30,1,native_grid,388019,69862,0.1800478842530907
30,4,common_hourly_clock,164112,57838,0.3524300477722531
30,4,native_grid,328086,116004,0.3535780252738611
60,1,common_hourly_clock,188305,28732,0.15258224688669977
60,1,native_grid,188305,28732,0.15258224688669977
60,4,common_hourly_clock,160194,55441,0.3460866199732824
60,4,native_grid,160194,55441,0.3460866199732824
