site,turbine,minutes,horizon_h,clock,grid_rows,usable_rows,eligible_anchors,positive_anchors,median_abs_change
yandun,1,15,1,native_grid,17725,7513,6834,1235,0.06052333333333334
yandun,1,15,1,common_hourly_clock,17725,7513,1711,296,0.05789999999999999
yandun,1,15,4,native_grid,17725,7513,5646,1848,0.118
yandun,1,15,4,common_hourly_clock,17725,7513,1417,445,0.11462000000000001
yandun,1,30,1,native_grid,8863,3682,3373,570,0.057666666666666665
yandun,1,30,1,common_hourly_clock,8863,3682,1692,281,0.05466666666666667
yandun,1,30,4,native_grid,8863,3682,2797,883,0.11399999999999999
yandun,1,30,4,common_hourly_clock,8863,3682,1407,434,0.11236333333333329
yandun,1,60,1,native_grid,4432,1756,1630,242,0.05358333333333333
yandun,1,60,1,common_hourly_clock,4432,1756,1630,242,0.05358333333333333
yandun,1,60,4,native_grid,4432,1756,1360,443,0.1093333333333334
yandun,1,60,4,common_hourly_clock,4432,1756,1360,443,0.1093333333333334
yandun,2,15,1,native_grid,17725,6856,6270,1123,0.057450000000000015
yandun,2,15,1,common_hourly_clock,17725,6856,1570,285,0.05538
yandun,2,15,4,native_grid,17725,6856,5185,1690,0.11133333333333333
yandun,2,15,4,common_hourly_clock,17725,6856,1299,427,0.11
yandun,2,30,1,native_grid,8863,3359,3095,502,0.055
yandun,2,30,1,common_hourly_clock,8863,3359,1553,256,0.05582000000000001
yandun,2,30,4,native_grid,8863,3359,2566,828,0.11000000000000001
yandun,2,30,4,common_hourly_clock,8863,3359,1287,426,0.11266666666666666
yandun,2,60,1,native_grid,4432,1609,1497,208,0.052
yandun,2,60,1,common_hourly_clock,4432,1609,1497,208,0.052
yandun,2,60,4,native_grid,4432,1609,1248,401,0.10841666666666668
yandun,2,60,4,common_hourly_clock,4432,1609,1248,401,0.10841666666666668
yandun,3,15,1,native_grid,17725,6973,6425,1114,0.05753333333333334
yandun,3,15,1,common_hourly_clock,17725,6973,1609,284,0.057160000000000016
yandun,3,15,4,native_grid,17725,6973,5336,1653,0.10466666666666667
yandun,3,15,4,common_hourly_clock,17725,6973,1334,396,0.10500000000000001
yandun,3,30,1,native_grid,8863,3428,3172,527,0.05556999999999995
yandun,3,30,1,common_hourly_clock,8863,3428,1594,252,0.057296666666666655
yandun,3,30,4,native_grid,8863,3428,2642,804,0.10531499999999999
yandun,3,30,4,common_hourly_clock,8863,3428,1324,393,0.10833333333333335
yandun,3,60,1,native_grid,4432,1646,1530,214,0.04916666666666666
yandun,3,60,1,common_hourly_clock,4432,1646,1530,214,0.04916666666666666
yandun,3,60,4,native_grid,4432,1646,1286,382,0.10416666666666669
yandun,3,60,4,common_hourly_clock,4432,1646,1286,382,0.10416666666666669
yandun,4,15,1,native_grid,17725,7128,6520,1041,0.0499
yandun,4,15,1,common_hourly_clock,17725,7128,1634,269,0.05309333333333333
yandun,4,15,4,native_grid,17725,7128,5413,1697,0.10666666666666667
yandun,4,15,4,common_hourly_clock,17725,7128,1355,423,0.11333333333333333
yandun,4,30,1,native_grid,8863,3495,3223,488,0.04933333333333334
yandun,4,30,1,common_hourly_clock,8863,3495,1619,254,0.05137333333333334
yandun,4,30,4,native_grid,8863,3495,2681,817,0.10433333333333333
yandun,4,30,4,common_hourly_clock,8863,3495,1344,409,0.10650000000000001
yandun,4,60,1,native_grid,4432,1670,1558,197,0.0476775
yandun,4,60,1,common_hourly_clock,4432,1670,1558,197,0.0476775
yandun,4,60,4,native_grid,4432,1670,1304,384,0.1
yandun,4,60,4,common_hourly_clock,4432,1670,1304,384,0.1
yandun,5,15,1,native_grid,17725,7023,6422,1068,0.055349999999999996
yandun,5,15,1,common_hourly_clock,17725,7023,1604,276,0.05726666666666667
yandun,5,15,4,native_grid,17725,7023,5331,1617,0.10705999999999999
yandun,5,15,4,common_hourly_clock,17725,7023,1334,388,0.11
yandun,5,30,1,native_grid,8863,3455,3173,493,0.054
yandun,5,30,1,common_hourly_clock,8863,3455,1589,250,0.054423333333333324
